Player,Team,Week 15 Opponent,Games,Expected Targets/G vs Opp,Expected First Downs/G vs Opp,Expected First Read/G vs Opp,EXPECTED VOLUME COMBINED PG vs Week 15 Opp,Total Routes (Last 6 Games),Total Targets (Last 6 Games),Targets/Game (Last 6 Games),Total Receptions (Last 6 Games),Total TDs (Last 6 Games),Total First Downs (Last 6 Games),"FD/RR (0-1, Opp Weighted)",Total First Read (Last 6 Games),"First Read (0-100, Opp Weighted)",Total Yards (Last 6 Games),Yards/Game (Last 6 Games),"Target Share (0-100, Opp Weighted)","TPRR (0-1, Opp Weighted)",YPRR (Opp Weighted),FP/RR (Opp Weighted),"Air Yard % (0-100, Opp Weighted)",EFFICIENCY COMBINED (TGT% + TPRR + FD/RR×100 + 1read% + AirYard%)
Jaxon Smith-Njigba,SEA,New England Patriots,5,8.83,4.55,7.36,20.73,147,46,9.2,35,3,23,0.18,39,45.26,420,84.0,36.54,0.33,2.98,0.75,51.62,151.31
Stefon Diggs,NE,Seattle Seahawks,6,6.44,2.64,5.48,14.57,149,35,5.83,29,2,16,0.11,29,30.12,355,59.17,25.68,0.26,2.82,0.56,22.28,89.62
Mack Hollins,NE,Seattle Seahawks,2,5.05,1.97,3.94,10.95,45,11,5.5,9,0,5,0.09,10,17.59,120,60.0,14.54,0.3,3.4,0.41,20.1,61.79
Kayshon Boutte,NE,Seattle Seahawks,5,4.6,1.49,4.6,10.69,123,22,4.4,11,1,8,0.05,22,21.06,187,37.4,14.8,0.16,1.77,0.24,28.02,69.2
Hunter Henry,NE,Seattle Seahawks,6,4.45,1.78,3.53,9.75,136,24,4.0,19,2,10,0.07,18,18.22,220,36.67,15.33,0.18,1.45,0.34,13.7,54.76
Cooper Kupp,SEA,New England Patriots,5,4.09,2.02,3.2,9.31,114,20,4.0,14,1,9,0.09,16,18.94,163,32.6,16.57,0.18,1.45,0.31,18.89,63.76
Rhamondre Stevenson,NE,Seattle Seahawks,6,2.71,1.41,1.43,5.55,112,19,3.17,16,2,8,0.07,10,5.67,190,31.67,10.28,0.15,1.48,0.39,2.74,26.06
Kyle Williams,NE,Seattle Seahawks,6,1.83,0.85,1.65,4.33,74,12,2.0,6,1,4,0.09,11,10.79,73,12.17,8.6,0.2,2.56,0.46,13.88,42.17
AJ Barner,SEA,New England Patriots,5,2.01,1.18,1.02,4.21,108,13,2.6,11,2,6,0.05,7,5.85,119,23.8,7.14,0.12,1.22,0.25,6.33,24.56
Zach Charbonnet,SEA,New England Patriots,4,2.2,0.59,0.54,3.33,46,10,2.5,9,0,3,0.05,2,4.59,57,14.25,9.71,0.28,1.67,0.3,1.24,21.23
Rashid Shaheed,SEA,New England Patriots,5,1.61,0.21,1.4,3.23,83,8,1.6,3,0,1,0.01,7,9.25,61,12.2,6.71,0.11,1.86,0.13,15.93,33.46
DeMario Douglas,NE,Seattle Seahawks,6,1.74,0.22,1.01,2.97,66,12,2.0,7,1,2,0.01,7,4.64,84,14.0,5.34,0.19,2.11,0.15,6.07,17.73
George Holani,SEA,New England Patriots,1,2.29,0.19,0.19,2.66,16,4,4.0,3,0,1,0.01,1,0.4,27,27.0,7.9,0.34,2.44,0.3,4.66,13.8
Jake Bobo,SEA,New England Patriots,4,0.83,0.62,0.83,2.28,17,3,0.75,2,1,2,0.23,3,5.1,33,8.25,3.49,0.41,8.25,1.27,3.87,35.4
Austin Hooper,NE,Seattle Seahawks,6,1.04,0.37,0.51,1.93,57,7,1.17,5,0,2,0.06,4,1.87,62,10.33,4.65,0.18,2.35,0.27,3.63,16.55
TreVeyon Henderson,NE,Seattle Seahawks,6,0.65,0.0,0.37,1.02,39,4,0.67,3,0,0,0.0,1,1.48,16,2.67,1.89,0.16,0.21,0.08,-0.29,3.25
Eric Saubert,SEA,New England Patriots,5,0.52,0.21,0.0,0.73,39,3,0.6,2,0,1,0.04,0,0.0,10,2.0,2.11,0.25,1.39,0.07,3.33,9.37
Dareke Young,SEA,New England Patriots,5,0.21,0.0,0.21,0.43,10,1,0.2,0,0,0,0.0,1,2.9,0,0.0,1.69,0.5,,0.0,2.11,7.19
