Name,Team,POS,ATT,Y/A,ANY/A,DB,SCRM,YDS,TD,CMP
Jameis Winston,CLV,QB,11,5.91,9.55,12,1,65,2,8
Tyrod Taylor,NYJ,QB,3,3,9.67,3,,9,1,1
Michael Penix,ATL,QB,2,,,2,,,,
Jake Haener,NO,QB,4,16.25,10,4,,65,1,3
Josh Allen,BUF,QB,25,6.76,10.89,28,1,169,9,14
Drew Lock,NYG,QB,1,,,1,,,,
Malik Willis,GB,QB,5,0.6,4.6,5,,3,1,1
Davis Mills,HST,QB,9,2.44,1.5,10,,22,,3
Jalen Hurts,PHI,QB,13,3.46,6.93,15,1,45,3,6
Cooper Rush,DAL,QB,11,3.64,7.83,12,,40,3,7
Desmond Ridder,LV,QB,5,5,6.17,6,,25,1,2
Will Levis,TEN,QB,8,13.12,7.5,8,,105,,5
Trey Lance,DAL,QB,3,1.33,-1,4,,4,,1
Kenny Pickett,PHI,QB,2,-2.5,-5.33,3,,-5,,1
Lamar Jackson,BLT,QB,27,5.48,4.37,27,,148,3,16
Dorian Thompson-Robinson,CLV,QB,5,,-9,5,,,,
Sam Darnold,MIN,QB,17,3.24,4.78,18,,55,2,7
Andy Dalton,CAR,QB,7,3,5.86,7,,21,1,4
Jayden Daniels,WAS,QB,23,5.3,13.25,25,1,122,10,19
Bo Nix,DEN,QB,25,1.36,2.11,29,1,34,3,9
Bailey Zappe,CLV,QB,2,2.5,2.5,2,,5,,1
Trevor Lawrence,JAX,QB,4,1.75,1.75,4,,7,,1
Joe Burrow,CIN,QB,31,4.61,8.03,34,,143,8,18
Anthony Richardson,IND,QB,10,4.3,8.3,10,,43,2,4
Russell Wilson,PIT,QB,6,13.17,13.17,6,,79,,4
Joshua Dobbs,SF,QB,1,,-45,1,,,,
Mac Jones,JAX,QB,8,7,19.5,8,,56,5,6
Kirk Cousins,ATL,QB,17,6.76,10.29,17,,115,3,7
Jimmy Garoppolo,LA,QB,1,,,1,,,,
C.J. Stroud,HST,QB,14,4.43,8.93,15,,62,4,6
Daniel Jones,NYG,QB,12,2.17,1.75,12,,26,2,5
Jacoby Brissett,NE,QB,4,2.25,7.25,4,,9,1,2
Joe Flacco,IND,QB,5,6.2,10.2,5,,31,1,4
Jared Goff,DET,QB,18,6.11,14.79,19,,110,9,15
Kyler Murray,ARZ,QB,27,3.44,5.3,27,,93,7,13
Tanner McKee,PHI,QB,1,,,1,,,,
Caleb Williams,CHI,QB,24,3.46,2.15,26,,83,2,9
Gardner Minshew,LV,QB,17,7,14.06,17,,119,6,11
Tua Tagovailoa,MIA,QB,13,3.92,7.5,14,,51,3,8
Justin Fields,PIT,QB,7,1,1.75,9,1,7,1,2
Brock Purdy,SF,QB,29,4.07,5.06,33,1,118,3,16
Matthew Stafford,LA,QB,24,9.54,12.67,24,,229,6,14
Aidan O'Connell,LV,QB,10,7.4,9.4,10,,74,1,6
Patrick Mahomes,KC,QB,16,3.12,3.53,17,,50,3,8
Justin Herbert,LAC,QB,20,5,5.74,23,,100,2,8
Geno Smith,SEA,QB,19,10.21,7.45,20,,194,3,11
Drake Maye,NE,QB,6,0.67,2.57,8,1,4,1,1
Tyler Huntley,MIA,QB,2,2,12,4,2,4,1,1
Marcus Mariota,WAS,QB,4,5.75,15.75,4,,23,2,4
Dak Prescott,DAL,QB,4,10.5,10.5,4,,42,,3
Deshaun Watson,CLV,QB,4,0.5,4.4,5,,2,1,2
Spencer Rattler,NO,QB,2,5,,3,,10,,1
Carson Wentz,KC,QB,1,12,12,1,,12,,1
Mason Rudolph,TEN,QB,5,1,5,7,2,5,1,1
Aaron Rodgers,NYJ,QB,33,4.82,7,37,,159,9,19
Baker Mayfield,TB,QB,22,8.18,12.46,25,1,180,7,17
Derek Carr,NO,QB,7,3.71,3.71,7,,26,,4
Tim Boyle,NYG,QB,2,11.5,21.5,2,,23,1,1
Bryce Young,CAR,QB,23,5.17,7.46,24,,119,3,11
Jordan Love,GB,QB,28,5.64,9.04,28,,158,7,19
