Name,Team,POS,ANY/A,DB,ATT,Y/A,SCRM,YDS,CMP,TD
Chris Oladokun,KC,QB,-5,1,,,,,,
Dorian Thompson-Robinson,CLV,QB,2.38,23,21,4.52,2,95,11,
Lamar Jackson,BLT,QB,8.19,143,120,8.65,13,1038,73,9
Kenny Pickett,PHI,QB,7.41,22,20,6.85,,137,12,2
Mike White,BUF,QB,1.75,8,8,1.75,,14,2,
Joshua Dobbs,SF,QB,5.17,13,11,6.73,1,74,7,
Kirk Cousins,ATL,QB,8.04,92,88,8.66,1,762,51,6
Anthony Richardson,IND,QB,5.41,74,65,7.23,4,470,31,2
Mac Jones,JAX,QB,4.72,75,68,6.32,4,430,36,1
Joe Burrow,CIN,QB,6.87,164,146,7.01,7,1024,92,11
Russell Wilson,PIT,QB,9.49,90,81,9.68,3,784,51,6
Jimmy Garoppolo,LA,QB,12,11,11,10.18,,112,8,1
Trevor Lawrence,JAX,QB,5.39,69,65,6,3,390,32,1
Bo Nix,DEN,QB,7.48,121,105,8.46,12,888,59,5
Bailey Zappe,CLV,QB,5.08,13,13,3.54,,46,5,1
Brandon Allen,SF,QB,3,3,3,3,,9,1,
Jayden Daniels,WAS,QB,5.56,154,113,7.13,21,806,62,4
Sam Darnold,MIN,QB,7.75,106,88,9.57,7,842,52,4
Andy Dalton,CAR,QB,7.52,45,41,8.68,1,356,31,2
Jake Haener,NO,QB,0.33,6,5,2.4,,12,1,
Josh Allen,BUF,QB,8.33,148,132,7.67,14,1012,75,10
Drew Lock,NYG,QB,4.32,40,37,5.3,2,196,17,1
Skylar Thompson,MIA,QB,,7,7,,,,,
Tyrod Taylor,NYJ,QB,23,2,2,13,,26,2,1
Michael Penix,ATL,QB,8.91,23,23,8.91,,205,15,
Clayton Tune,ARZ,QB,4,2,2,4,,8,2,
Jameis Winston,CLV,QB,5.32,61,57,7.61,1,434,34,4
Will Levis,TEN,QB,4.43,69,53,7.66,4,406,28,3
Desmond Ridder,LV,QB,5.12,10,7,7,2,49,4,
Trey Lance,DAL,QB,8.12,17,16,8.12,1,130,11,
Jalen Hurts,PHI,QB,9.82,112,95,10.17,7,966,66,9
Cooper Rush,DAL,QB,4.28,51,49,6.06,1,297,21,3
Davis Mills,HST,QB,2.44,9,9,2.44,,22,2,
Malik Willis,GB,QB,8,18,13,7.85,4,102,9,1
Hendon Hooker,DET,QB,4.67,7,5,7.4,1,37,3,
Marcus Mariota,WAS,QB,6.83,24,21,8.38,1,176,16,
Tyler Huntley,MIA,QB,1.81,29,24,5.5,3,132,12,1
Geno Smith,SEA,QB,5.32,119,105,6.77,5,711,66,2
Drake Maye,NE,QB,4.99,99,80,6.53,9,522,44,5
Justin Herbert,LAC,QB,6.76,119,109,6.78,4,739,62,4
Patrick Mahomes,KC,QB,7.14,180,162,7.4,10,1198,103,7
Matthew Stafford,LA,QB,4.6,142,130,6.42,1,835,69,4
Aidan O'Connell,LV,QB,9.97,38,35,9.23,1,323,25,3
Tommy DeVito,NYG,QB,4.92,13,11,7,,77,9,
Tim Boyle,NYG,QB,0.38,8,7,0.71,,5,2,
Derek Carr,NO,QB,7,41,38,7.74,,294,21,3
Jordan Love,GB,QB,6.17,98,93,6.45,2,600,49,3
Bryce Young,CAR,QB,5.89,124,105,6.88,10,722,55,3
Mitchell Trubisky,BUF,QB,4.86,15,14,4.86,1,68,10,
Aaron Rodgers,NYJ,QB,6.21,138,127,7.21,4,916,78,3
Baker Mayfield,TB,QB,6.66,148,125,7.59,9,949,84,8
Mason Rudolph,TEN,QB,6.84,57,53,7.51,2,398,32,2
Dak Prescott,DAL,QB,4.22,82,71,7.03,2,499,32,3
Deshaun Watson,CLV,QB,3.62,81,60,5.33,4,320,36,3
Kyler Murray,ARZ,QB,5.57,132,120,6.86,5,823,71,4
Spencer Rattler,NO,QB,0.68,37,31,3.68,3,114,14,1
Carson Wentz,KC,QB,3.9,10,9,5.33,,48,5,
Jared Goff,DET,QB,10.24,97,87,9.85,3,857,59,9
Tanner McKee,PHI,QB,10.42,19,19,8.32,,158,13,2
Joe Milton,NE,QB,8.25,8,8,8.25,,66,6,
Jacoby Brissett,NE,QB,3.33,73,65,4.42,1,287,30,
Joe Flacco,IND,QB,5.13,62,55,7.18,1,395,28,
Daniel Jones,NYG,QB,5.37,93,83,5.98,4,496,48,3
C.J. Stroud,HST,QB,6.35,129,112,8.15,3,913,68,3
Nick Mullens,MIN,QB,24,1,1,24,,24,1,
Brock Purdy,SF,QB,7.09,109,95,8.64,10,821,55,4
Justin Fields,PIT,QB,4.68,41,34,5.24,4,178,18,1
Gardner Minshew,LV,QB,3.3,77,69,5.83,3,402,39,
Tua Tagovailoa,MIA,QB,6.09,66,66,6.55,,432,37,3
Caleb Williams,CHI,QB,3.43,162,120,5.92,12,710,59,3
