Name,Team,POS,ATT,Y/A,ANY/A,DB,SCRM,YDS,CMP,TD
Dorian Thompson-Robinson,CLV,QB,40,3.35,1.61,45,1,134,20,
Lamar Jackson,BLT,QB,149,9.89,10.33,169,12,1474,103,10
Kenny Pickett,PHI,QB,10,8.5,7,11,,85,6,
Kirk Cousins,ATL,QB,139,7.78,5.77,151,1,1081,98,2
Mac Jones,JAX,QB,70,6.04,4.51,76,1,423,46,
Russell Wilson,PIT,QB,82,7.12,5.35,100,6,584,49,2
Anthony Richardson,IND,QB,62,8.45,5.74,72,6,524,36,1
Joshua Dobbs,SF,QB,16,10.38,11.62,16,,166,14,1
Joe Burrow,CIN,QB,146,8.43,7.27,162,5,1231,108,8
Trevor Lawrence,JAX,QB,96,9.5,7.84,109,4,912,69,3
Jimmy Garoppolo,LA,QB,6,11.17,8.57,7,,67,4,
Bo Nix,DEN,QB,200,6.9,6.98,226,21,1380,141,9
Jayden Daniels,WAS,QB,147,9.2,6.94,185,24,1352,111,1
Brandon Allen,SF,QB,9,6.33,1.2,10,,57,3,
Andy Dalton,CAR,QB,42,5.1,2.82,47,2,214,25,1
Sam Darnold,MIN,QB,143,8.98,7.19,166,7,1284,98,7
Josh Allen,BUF,QB,159,8.39,8.12,175,13,1334,109,4
Jake Haener,NO,QB,8,8.25,4.4,13,3,66,6,
Skylar Thompson,MIA,QB,6,7.33,2.44,9,,44,5,
Drew Lock,NYG,QB,44,6.11,3.31,52,4,269,29,
Bailey Zappe,CLV,QB,7,13.71,11.38,9,1,96,6,
Michael Penix,ATL,QB,36,8.33,8.05,39,2,300,19,
Sam Howell,SEA,QB,5,3,1.67,6,,15,3,
Jameis Winston,CLV,QB,85,7.41,6.61,91,1,630,53,4
Will Levis,TEN,QB,91,5.84,3.44,110,6,531,54,3
Desmond Ridder,LV,QB,32,5.91,4.31,37,1,189,20,
Trey Lance,DAL,QB,6,7.33,-1,8,1,44,4,
Cooper Rush,DAL,QB,93,6.31,5.72,97,,587,53,
Jalen Hurts,PHI,QB,104,8.35,6.35,127,9,868,76,1
Davis Mills,HST,QB,11,10.27,8.5,12,,113,10,
Taylor Heinicke,LAC,QB,4,7,,9,2,28,3,
Malik Willis,GB,QB,26,13.96,12.52,31,2,363,21,1
Hendon Hooker,DET,QB,2,11.5,11.5,2,,23,2,
Marcus Mariota,WAS,QB,8,10.25,8,11,2,82,6,
Tyler Huntley,MIA,QB,39,7.51,4.92,51,3,293,28,
Geno Smith,SEA,QB,181,7.44,6.05,198,5,1347,130,4
Drake Maye,NE,QB,107,5.87,2.76,135,17,628,75,2
Justin Herbert,LAC,QB,171,8.73,8.11,194,7,1493,125,9
Patrick Mahomes,KC,QB,165,7.05,5.64,185,9,1163,113,5
Aidan O'Connell,LV,QB,82,6.26,5.25,85,1,513,48,2
Matthew Stafford,LA,QB,169,8.36,7.86,177,,1412,119,4
Tyson Bagent,CHI,QB,1,6,6,1,,6,1,
Tommy DeVito,NYG,QB,16,4.81,3.78,20,2,77,9,
Tim Boyle,NYG,QB,11,8.64,8.64,11,,95,8,
Jordan Love,GB,QB,135,9.81,8.82,142,4,1324,87,4
Derek Carr,NO,QB,103,9.15,8.59,110,5,942,68,5
Baker Mayfield,TB,QB,182,8.18,6.59,206,10,1489,128,7
Aaron Rodgers,NYJ,QB,146,6.45,5.22,160,,941,96,4
Bryce Young,CAR,QB,109,5.8,4.54,127,11,632,70,4
Mason Rudolph,TEN,QB,63,7,5.12,67,,441,42,1
Mitchell Trubisky,BUF,QB,6,16.83,20.17,6,,101,5,1
Jarrett Stidham,DEN,QB,,,,1,1,,,
Deshaun Watson,CLV,QB,54,4.72,2.34,65,6,255,33,
Dak Prescott,DAL,QB,90,7.17,5.7,94,1,645,68,2
Spencer Rattler,NO,QB,95,6,4.84,109,6,570,54,3
Kyler Murray,ARZ,QB,154,7.84,7.03,177,15,1207,110,4
Jared Goff,DET,QB,227,9.11,7.97,237,2,2067,169,9
Carson Wentz,KC,QB,2,5.5,1.25,5,1,11,2,
Josh Johnson,BLT,QB,2,8.5,4,3,,17,2,
Tanner McKee,PHI,QB,19,6.84,6.33,21,,130,13,1
Joe Milton,NE,QB,11,6.27,6.27,11,,69,8,
Kyle Allen,PIT,QB,1,19,19,1,,19,1,
Jacoby Brissett,NE,QB,37,4.41,3.62,46,6,163,26,
Daniel Jones,NYG,QB,101,6.67,5.57,114,3,674,70,
Joe Flacco,IND,QB,51,9.39,7.38,58,,479,38,4
C.J. Stroud,HST,QB,138,7.42,5.17,165,14,1024,92,
Brock Purdy,SF,QB,126,10,8.1,153,14,1260,94,3
Justin Fields,PIT,QB,58,8.55,6.95,73,7,496,45,1
Tua Tagovailoa,MIA,QB,109,8.32,7.56,116,2,907,82,6
Gardner Minshew,LV,QB,81,7.56,4.96,90,1,612,56,1
Caleb Williams,CHI,QB,181,6.85,5.2,215,16,1239,130,2
