Name,Team,POS,ATT,YPA,YDS,CMP,TD
Hendon Hooker,DET,QB,1,21,21,1,
Malik Willis,GB,QB,8,28.25,226,6,
Davis Mills,HST,QB,2,12,24,1,
Cooper Rush,DAL,QB,29,9.31,270,9,3
Jalen Hurts,PHI,QB,37,14.16,524,15,7
Desmond Ridder,LV,QB,10,4.4,44,2,1
Will Levis,TEN,QB,41,14.98,614,17,7
Trey Lance,DAL,QB,2,,,,
Jameis Winston,CLV,QB,33,13.52,446,12,7
Sam Howell,SEA,QB,1,,,,
Michael Penix,ATL,QB,15,13.2,198,7,1
Skylar Thompson,MIA,QB,2,,,,
Jake Haener,NO,QB,4,9,36,1,
Josh Allen,BUF,QB,68,10.46,711,22,2
Sam Darnold,MIN,QB,67,17.66,1183,35,10
Andy Dalton,CAR,QB,13,14.69,191,7,2
Brandon Allen,SF,QB,2,,,,
Jayden Daniels,WAS,QB,46,14.78,680,17,7
Bo Nix,DEN,QB,71,12.8,909,30,8
Drew Lock,NYG,QB,21,4.71,99,3,1
Bailey Zappe,CLV,QB,2,,,,
Trevor Lawrence,JAX,QB,45,13.98,629,19,5
Joe Burrow,CIN,QB,53,14.3,758,22,9
Anthony Richardson,IND,QB,49,10.08,494,12,2
Russell Wilson,PIT,QB,44,15.84,697,22,5
Joshua Dobbs,SF,QB,3,29,87,3,1
Kirk Cousins,ATL,QB,43,13.91,598,20,4
Mac Jones,JAX,QB,27,6.67,180,5,1
Jimmy Garoppolo,LA,QB,2,40.5,81,2,
Mike White,BUF,QB,1,,,,
Kenny Pickett,PHI,QB,5,30,150,4,1
Lamar Jackson,BLT,QB,69,12.7,876,28,10
Dorian Thompson-Robinson,CLV,QB,8,,,,
Caleb Williams,CHI,QB,73,8.37,611,20,6
Gardner Minshew,LV,QB,21,13.19,277,8,1
Tua Tagovailoa,MIA,QB,22,15.64,344,8,2
Justin Fields,PIT,QB,20,10.3,206,6,
Brock Purdy,SF,QB,46,16.72,769,21,2
C.J. Stroud,HST,QB,58,11.78,683,19,3
Daniel Jones,NYG,QB,31,7.77,241,7,2
Jacoby Brissett,NE,QB,17,4.71,80,3,
Joe Flacco,IND,QB,33,12.03,397,12,4
Josh Johnson,BLT,QB,1,,,,
Jared Goff,DET,QB,40,15.53,621,17,7
Kyler Murray,ARZ,QB,54,9.44,510,19,6
Tanner McKee,PHI,QB,2,10,20,1,1
Dak Prescott,DAL,QB,34,10.94,372,13,4
Deshaun Watson,CLV,QB,21,4.57,96,4,1
Spencer Rattler,NO,QB,23,7.04,162,5,1
Carson Wentz,KC,QB,1,,,,
Mason Rudolph,TEN,QB,18,12.89,232,8,2
Joe Milton,NE,QB,4,12,48,1,1
Aaron Rodgers,NYJ,QB,57,11.79,672,22,9
Derek Carr,NO,QB,41,11.88,487,13,7
Jordan Love,GB,QB,70,15.04,1053,29,6
Bryce Young,CAR,QB,52,11.9,619,21,6
Tim Boyle,NYG,QB,5,9.6,48,2,1
Mitchell Trubisky,BUF,QB,4,,,,
Baker Mayfield,TB,QB,49,12.37,606,21,7
Tommy DeVito,NYG,QB,2,,,,
Matthew Stafford,LA,QB,56,13.18,738,24,5
Aidan O'Connell,LV,QB,34,12.18,414,14,4
Patrick Mahomes,KC,QB,47,9.83,462,13,4
Justin Herbert,LAC,QB,65,14.45,939,30,10
Geno Smith,SEA,QB,63,13.13,827,28,8
Drake Maye,NE,QB,30,10.67,320,10,5
Tyler Huntley,MIA,QB,10,2.3,23,1,
Marcus Mariota,WAS,QB,5,10.8,54,2,
