Name,Team,POS,ATT,YPA,YDS,CMP,TD
Anthony Richardson,IND,QB,191,6.91,1320,114,6
Joe Flacco,IND,QB,202,6.75,1364,150,8
Daniel Jones,NYG,QB,279,6.56,1829,209,6
Jacoby Brissett,NE,QB,129,5.78,746,92,2
Kyle Allen,PIT,QB,1,19,19,1,
C.J. Stroud,HST,QB,436,6.98,3044,317,17
Jared Goff,DET,QB,462,8.68,4008,373,30
Kyler Murray,ARZ,QB,448,7.46,3341,353,15
Tanner McKee,PHI,QB,42,7.21,303,29,3
Josh Johnson,BLT,QB,2,8.5,17,2,
Tua Tagovailoa,MIA,QB,358,7.05,2523,283,17
Gardner Minshew,LV,QB,249,6.97,1736,195,8
Caleb Williams,CHI,QB,431,6.8,2930,331,14
Nick Mullens,MIN,QB,2,19,38,2,
Justin Fields,PIT,QB,129,6.98,900,100,5
Brock Purdy,SF,QB,378,8.19,3095,279,18
Justin Herbert,LAC,QB,400,7.33,2931,302,13
Geno Smith,SEA,QB,470,7.43,3493,379,13
Drake Maye,NE,QB,279,7.01,1956,215,10
Aidan O'Connell,LV,QB,193,6.21,1198,140,4
Matthew Stafford,LA,QB,429,7.05,3024,316,15
Tyson Bagent,CHI,QB,2,5.5,11,2,
Patrick Mahomes,KC,QB,486,7.13,3466,379,22
Marcus Mariota,WAS,QB,37,8.38,310,32,4
Hendon Hooker,DET,QB,8,5.12,41,5,
Tyler Huntley,MIA,QB,110,7.33,806,85,3
Mason Rudolph,TEN,QB,189,6.87,1298,138,7
Aaron Rodgers,NYJ,QB,498,6.48,3225,346,19
Baker Mayfield,TB,QB,500,7.79,3894,386,34
Deshaun Watson,CLV,QB,183,5.75,1052,133,4
Dak Prescott,DAL,QB,234,6.86,1606,172,7
Spencer Rattler,NO,QB,182,6.35,1155,125,3
Carson Wentz,KC,QB,18,6.56,118,12,
Joe Milton,NE,QB,22,8.77,193,21,
Tommy DeVito,NYG,QB,39,6.59,257,31,
Jordan Love,GB,QB,324,7.21,2336,239,19
Derek Carr,NO,QB,213,7.78,1658,176,8
Bryce Young,CAR,QB,299,5.97,1784,213,9
Mitchell Trubisky,BUF,QB,21,8.52,179,19,2
Tim Boyle,NYG,QB,40,5.7,228,25,
Clayton Tune,ARZ,QB,2,4,8,2,
Sam Howell,SEA,QB,11,2.18,24,5,
Jameis Winston,CLV,QB,242,6.92,1675,169,6
Skylar Thompson,MIA,QB,29,6.45,187,21,
Josh Allen,BUF,QB,378,7.99,3020,285,26
Jake Haener,NO,QB,33,5.76,190,17,1
Michael Penix,ATL,QB,85,6.79,577,54,2
Tyrod Taylor,NYJ,QB,21,5.67,119,17,3
Drew Lock,NYG,QB,142,6.85,972,104,5
Jalen Hurts,PHI,QB,286,8.32,2379,233,11
Cooper Rush,DAL,QB,257,6.12,1574,178,9
Taylor Heinicke,LAC,QB,5,5.6,28,3,
Malik Willis,GB,QB,45,7.2,324,34,3
Davis Mills,HST,QB,33,5.7,188,19,
Kyle Trask,TB,QB,1,5,5,1,
Desmond Ridder,LV,QB,67,6.18,414,50,1
Trey Lance,DAL,QB,36,7.39,266,25,
Will Levis,TEN,QB,243,6.08,1477,173,6
Mike White,BUF,QB,8,3.5,28,3,
Kenny Pickett,PHI,QB,32,4.41,141,21,1
Lamar Jackson,BLT,QB,371,8.88,3296,288,31
Dorian Thompson-Robinson,CLV,QB,96,4.58,440,61,
Bo Nix,DEN,QB,456,6.29,2866,346,21
Trevor Lawrence,JAX,QB,225,6.29,1416,153,6
Bailey Zappe,CLV,QB,28,6.07,170,16,1
Andy Dalton,CAR,QB,138,5.78,798,99,5
Sam Darnold,MIN,QB,427,7.34,3136,326,25
Jayden Daniels,WAS,QB,402,7.18,2888,314,18
Brandon Allen,SF,QB,24,8.29,199,17,1
Kirk Cousins,ATL,QB,375,7.76,2910,283,14
Mac Jones,JAX,QB,217,6.88,1492,166,7
Joshua Dobbs,SF,QB,43,6.37,274,29,1
Jimmy Garoppolo,LA,QB,37,6.84,253,25,2
Joe Burrow,CIN,QB,563,7.39,4160,438,34
Russell Wilson,PIT,QB,248,7.2,1785,192,11
