Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Ronnie Rivers,LA,RB,3,1,1,9,-6,15
Amari Cooper,BUF,WR,29,6,6,78,54,24
Darius Slayton,NYG,WR,51,10,7,82,96,27
Dare Ogunbowale,HST,RB,12,,,,,
Nico Collins,HST,WR,29,9,6,116,126,49
Jerry Jeudy,CLV,WR,50,12,8,110,98,50
Jake Ferguson,DAL,TE,39,11,10,62,12,54
Davante Adams,NYJ,WR,58,11,9,103,43,56
J.K. Dobbins,LAC,RB,18,2,2,6,1,5
Emari Demercado,ARZ,RB,13,2,1,,1,3
Jordan Whittington,LA,WR,4,,,,,
Josh Whyle,TEN,TE,18,5,5,28,13,15
Travis Etienne,JAX,RB,25,7,3,6,28,10
Samaje Perine,KC,RB,15,7,6,60,11,55
Saquon Barkley,PHI,RB,21,6,5,19,-10,26
Evan Engram,JAX,TE,19,4,4,38,26,12
Jamari Thrash,CLV,WR,6,,,,,
Will Dissly,LAC,TE,24,7,6,69,28,41
KhaDarel Hodge,ATL,WR,10,1,1,22,16,6
Miles Sanders,CAR,RB,12,2,2,19,10,9
Charlie Jones,CIN,WR,2,1,1,5,5,
Marquez Valdes-Scantling,NO,WR,12,1,,,21,
Connor Heyward,PIT,TE,3,,,,,
Adonai Mitchell,IND,WR,15,2,1,,20,3
Nick Westbrook-Ikhine,TEN,WR,34,7,3,39,73,11
Jake Bobo,SEA,WR,13,,,,,
Brevyn Spann-Ford,DAL,TE,11,3,3,26,22,4
Tyler Higbee,LA,TE,2,2,1,17,9,10
Parris Campbell,PHI,WR,8,1,1,6,4,2
DeAndre Carter,CHI,WR,6,1,,,31,
Ben Sims,GB,TE,2,1,1,10,3,7
Robbie Chosen,MIA,WR,1,,,,,
Kayshon Boutte,NE,WR,36,3,2,20,50,
Hunter Long,LA,TE,3,,,,,
Jonathan Mingo,DAL,WR,25,5,4,19,6,18
Cooper Kupp,LA,WR,22,,,,,
Tommy Tremble,CAR,TE,26,5,4,67,50,26
Jase McClellan,ATL,RB,1,,,,,
Adam Trautman,DEN,TE,17,5,4,31,28,8
Ja'Marr Chase,CIN,WR,55,13,11,126,130,35
D'Andre Swift,CHI,RB,20,2,1,7,-2,8
Justice Hill,BLT,RB,20,4,3,21,-10,35
Sincere McCormick,LV,RB,2,1,1,2,2,
K.J. Osborn,WAS,WR,5,,,,,
Tyler Conklin,NYJ,TE,39,7,5,60,54,14
James Conner,ARZ,RB,21,4,3,39,-10,43
Blake Watson,DEN,RB,2,1,1,13,-5,18
Chris Brooks,GB,RB,1,1,1,5,-5,10
Tom Kennedy,DET,WR,1,,,,,
Christian Watson,GB,WR,9,1,1,36,34,2
Josh Oliver,MIN,TE,25,2,1,8,6,9
Nick Chubb,CLV,RB,6,,,,,
Michael Carter,ARZ,RB,4,1,1,3,-6,9
Tyjae Spears,TEN,RB,17,8,7,20,-1,18
Laviska Shenault,LAC,WR,2,,,,,
D.J. Moore,CHI,WR,36,5,4,53,-4,55
Bucky Irving,TB,RB,22,7,6,76,-14,90
Rome Odunze,CHI,WR,30,5,3,19,42,10
Isaiah Davis,NYJ,RB,4,1,1,2,-2,4
Colby Parkinson,LA,TE,14,4,3,18,5,16
Tyler Allgeier,ATL,RB,7,2,2,10,-2,12
Foster Moreau,NO,TE,23,2,2,42,22,20
Trey Sermon,IND,RB,8,1,,,2,
Josh Downs,IND,WR,21,8,7,55,30,33
Devaughn Vele,DEN,WR,29,9,9,137,80,57
Khalil Herbert,CIN,RB,5,1,1,4,2,2
Zamir White,LV,RB,9,3,3,4,-9,13
Ameer Abdullah,LV,RB,23,3,3,3,-9,12
Devin Singletary,NYG,RB,15,3,3,14,-8,22
Isaiah Hodgins,NYG,WR,2,1,1,7,6,1
Quintin Morris,BUF,TE,4,,,,,
Ja'Tavion Sanders,CAR,TE,26,5,2,23,59,18
Jauan Jennings,SF,WR,30,11,9,163,132,51
Teagan Quitoriano,HST,TE,3,,,,,
Ashton Dulin,IND,WR,5,2,2,67,24,43
Andrew Ogletree,IND,TE,10,1,1,12,6,6
Jaylen Warren,PIT,RB,23,5,5,29,2,27
Kendrick Bourne,NE,WR,25,4,4,47,22,25
Hassan Haskins,LAC,RB,1,,,,,
Dareke Young,SEA,WR,1,,,,,
Juwan Johnson,NO,TE,27,3,3,52,41,11
David Montgomery,DET,RB,7,3,3,17,-7,24
Mack Hollins,BUF,WR,27,3,3,45,26,19
Tyler Boyd,TEN,WR,29,4,4,41,22,19
Kenneth Gainwell,PHI,RB,9,3,3,13,-2,15
Casey Washington,ATL,WR,1,1,,,30,
Jordan Mims,NO,RB,2,,,,,
Kevin Austin,NO,WR,8,,,,,
Tyler Badie,DEN,RB,1,1,1,-3,-6,3
Jalen Brooks,DAL,WR,15,3,3,72,62,10
KaVontae Turpin,DAL,WR,20,2,2,12,-7,19
Jamison Crowder,WAS,WR,5,,,,,
Jalen Nailor,MIN,WR,27,4,2,9,35,2
John Metchie,HST,WR,18,3,2,15,9,12
Marquise Brown,KC,WR,1,,,,,
Skyy Moore,KC,WR,3,,,,,
Chris Conley,SF,WR,9,2,1,4,44,
Travis Homer,CHI,RB,4,,,,,
Jaelon Darden,SEA,WR,2,,,,,
Marquez Callaway,TB,WR,1,,,,,
Luke Schoonmaker,DAL,TE,28,6,5,33,27,8
Nate Adkins,DEN,TE,14,1,1,5,5,
Mecole Hardman,KC,WR,4,,,,,
Shane Zylstra,DET,TE,3,,,,,
Malik Heath,GB,WR,2,1,1,7,7,
Jalen McMillan,TB,WR,36,5,3,18,47,
D'Ernest Johnson,JAX,RB,10,3,1,,-3,6
Theo Johnson,NYG,TE,32,2,2,16,3,13
Jahan Dotson,PHI,WR,31,3,1,4,40,8
DeVonta Smith,PHI,WR,32,7,5,106,123,20
Eric Gray,NYG,RB,8,,,,,
Trenton Irwin,CIN,WR,5,,,,,
Jameson Williams,DET,WR,24,3,2,47,46,8
James Proche,CLV,WR,1,1,1,3,-1,4
Puka Nacua,LA,WR,16,4,4,24,-5,29
Joe Mixon,HST,RB,18,3,3,18,3,15
Kristian Wilkerson,LV,WR,4,,,,,
Aaron Jones,MIN,RB,38,7,6,47,-2,72
Luke Farrell,JAX,TE,2,1,1,1,1,
Christian Kirk,JAX,WR,17,6,5,130,94,40
Luke Musgrave,GB,TE,2,,,,,
Tank Dell,HST,WR,28,5,4,52,42,14
Alexander Mattison,LV,RB,23,4,3,21,3,14
Cade Otton,TB,TE,33,10,8,75,60,30
Malik Nabers,NYG,WR,58,15,8,110,126,49
Raheem Blackshear,CAR,RB,1,,,,,
Demario Douglas,NE,WR,40,8,7,102,88,40
Gus Edwards,LAC,RB,6,,,,,
Xavier Weaver,ARZ,WR,8,,,,,
Kadarius Toney,CLV,WR,2,,,,,
Taysom Hill,NO,TE,7,1,1,15,-5,20
Brian Robinson,WAS,RB,8,1,1,6,-5,11
Aaron Shampklin,PIT,RB,2,,,,,
Alvin Kamara,NO,RB,27,8,7,22,5,22
Tucker Fisk,LAC,TE,3,,,,,
Chris Collier,LV,RB,2,1,,,,
Ray-Ray McCloud,ATL,WR,35,5,5,42,26,16
Eric Saubert,SF,TE,13,1,1,14,8,6
