Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Chris Godwin,TB,WR,29,13,9,69,88,22
Jordan Mason,SF,RB,22,,,,,
Tyler Goodson,IND,RB,10,,,,,
Tre Tucker,LV,WR,64,6,3,29,57,5
Grant DuBose,MIA,WR,3,,,,,
Tim Jones,JAX,WR,11,1,,,8,
Michael Pittman,IND,WR,56,11,7,48,80,13
Malik Washington,MIA,WR,33,9,7,56,50,11
Jonathan Taylor,IND,RB,29,,,,,
Troy Franklin,DEN,WR,17,2,,,28,
Javon Baker,NE,WR,6,,,,,
DJ Chark,LAC,WR,7,2,1,12,25,
Audric Estime,DEN,RB,2,,,,,
Charlie Kolar,BLT,TE,3,1,1,14,11,3
Darnell Washington,PIT,TE,14,1,,,11,
Zach Ertz,WAS,TE,40,11,10,106,94,17
Terrell Jennings,NE,RB,3,,,,,
Tip Reiman,ARZ,TE,10,1,1,9,5,4
Davis Allen,LA,TE,18,1,1,5,5,
Javonte Williams,DEN,RB,13,,,,,
John Samuel Shenker,LV,TE,5,1,1,7,4,3
Cam Akers,MIN,RB,10,,,,,
JaMycal Hasty,NE,RB,5,,,,,
Greg Dortch,ARZ,WR,32,5,2,18,41,7
Courtland Sutton,DEN,WR,36,14,8,91,155,5
Ian Thomas,CAR,TE,1,,,,,
Zay Flowers,BLT,WR,41,23,14,163,246,15
Tyrell Shavers,BUF,WR,2,,,,,
Michael Wilson,ARZ,WR,60,12,10,60,64,6
River Cracraft,MIA,WR,12,1,,,14,
Dalton Kincaid,BUF,TE,14,8,3,15,58,4
Gabe Davis,JAX,WR,40,10,4,32,98,5
Hunter Henry,NE,TE,50,27,17,174,183,56
Nelson Agholor,BLT,WR,17,1,1,56,5,51
Jahmyr Gibbs,DET,RB,27,1,1,15,4,11
Jakobi Meyers,LV,WR,59,24,18,173,191,53
Odell Beckham,MIA,WR,13,1,1,5,5,
D.J. Turner,LV,WR,28,2,1,12,13,7
Tim Patrick,DET,WR,38,6,4,26,52,7
Cody White,SEA,WR,1,,,,,
Tay Martin,TEN,WR,1,,,,,
Josh Reynolds,JAX,WR,24,5,3,19,29,6
Noah Gray,KC,TE,32,5,5,42,19,23
Brian Thomas,JAX,WR,79,21,10,82,172,26
DeAndre Hopkins,KC,WR,35,11,10,132,121,21
Eric Tomlinson,LAC,TE,1,1,,,5,
Xavier Hutchinson,HST,WR,44,6,4,32,61,3
Simi Fehoko,LAC,WR,11,2,1,9,17,2
Ezekiel Elliott,DAL,RB,15,,,,,
Stone Smartt,LAC,TE,10,3,2,25,40,1
T.J. Hockenson,MIN,TE,32,13,8,62,112,14
Mo Alie-Cox,IND,TE,13,2,1,12,25,1
Bryce Oliver,TEN,WR,2,1,1,4,4,
Devin Culp,TB,TE,6,2,2,42,27,15
Tyrone Tracy,NYG,RB,17,1,1,2,11,
Michael Mayer,LV,TE,19,5,4,55,37,21
Marvin Harrison,ARZ,WR,65,18,11,106,169,7
Jaylen Wright,MIA,RB,13,,,,,
Austin Hooper,NE,TE,32,11,8,48,52,7
Justin Watson,KC,WR,30,2,1,16,21,2
Rashee Rice,KC,WR,8,4,4,37,15,22
Ty Chandler,MIN,RB,15,,,,,
Britain Covey,PHI,WR,1,1,,,4,
