Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Colby Parkinson,LA,TE,13,2,1,19,49,
Rome Odunze,CHI,WR,14,5,2,48,116,9
D.J. Moore,CHI,WR,16,2,,,61,
Keaton Mitchell,BLT,RB,1,,,,,
Bucky Irving,TB,RB,8,,,,,
Josh Oliver,MIN,TE,4,1,1,14,14,
Nick Chubb,CLV,RB,3,,,,,
Michael Carter,ARZ,RB,1,,,,,
Tyjae Spears,TEN,RB,3,,,,,
Zamir White,LV,RB,1,,,,,
Ameer Abdullah,LV,RB,4,,,,,
Trey Sermon,IND,RB,5,,,,,
Josh Downs,IND,WR,11,4,3,80,78,16
Devaughn Vele,DEN,WR,6,1,1,20,20,
Khalil Herbert,CIN,RB,1,,,,,
Tyler Allgeier,ATL,RB,2,,,,,
Foster Moreau,NO,TE,5,4,2,62,116,12
Juwan Johnson,NO,TE,5,1,1,17,17,
David Montgomery,DET,RB,2,,,,,
Mack Hollins,BUF,WR,11,,,,,
Tyler Boyd,TEN,WR,8,,,,,
Andrew Ogletree,IND,TE,7,2,1,22,33,4
Jaylen Warren,PIT,RB,3,,,,,
Kendrick Bourne,NE,WR,10,2,1,14,31,-1
Jauan Jennings,SF,WR,10,2,,,22,
Teagan Quitoriano,HST,TE,2,,,,,
Ashton Dulin,IND,WR,4,1,,,39,
Tanner Conner,MIA,TE,1,,,,,
Quintin Morris,BUF,TE,3,1,,,32,
Ja'Tavion Sanders,CAR,TE,8,,,,,
Jalen Nailor,MIN,WR,4,1,1,10,15,
John Metchie,HST,WR,4,1,,,17,
Marquise Brown,KC,WR,1,1,,,20,
KaVontae Turpin,DAL,WR,8,3,1,16,61,
Jamison Crowder,WAS,WR,2,,,,,
Kevin Austin,NO,WR,3,1,1,17,16,1
Jalen Brooks,DAL,WR,7,1,,,15,
Kenneth Gainwell,PHI,RB,1,,,,,
Jordan Whittington,LA,WR,4,1,,,27,
Josh Whyle,TEN,TE,5,1,1,23,17,6
Travis Etienne,JAX,RB,5,,,,,
Samaje Perine,KC,RB,4,,,,,
Emari Demercado,ARZ,RB,1,,,,,
J.K. Dobbins,LAC,RB,5,,,,,
Dare Ogunbowale,HST,RB,3,,,,,
Nico Collins,HST,WR,9,7,5,122,137,33
Jerry Jeudy,CLV,WR,25,6,1,30,149,1
Jake Ferguson,DAL,TE,12,1,,,13,
Davante Adams,NYJ,WR,10,4,1,11,77,
Darius Slayton,NYG,WR,5,1,,,27,
Amari Cooper,BUF,WR,8,3,,,63,
Connor Heyward,PIT,TE,1,1,1,16,12,4
Adonai Mitchell,IND,WR,5,2,1,30,47,4
Nick Westbrook-Ikhine,TEN,WR,9,4,2,38,92,4
Jake Bobo,SEA,WR,4,,,,,
Brevyn Spann-Ford,DAL,TE,3,2,,,33,
Tyler Higbee,LA,TE,1,,,,,
Parris Campbell,PHI,WR,2,,,,,
Marquez Valdes-Scantling,NO,WR,5,1,1,67,45,22
Will Dissly,LAC,TE,5,1,,,12,
KhaDarel Hodge,ATL,WR,3,,,,,
Miles Sanders,CAR,RB,2,1,1,27,23,4
Saquon Barkley,PHI,RB,7,,,,,
Evan Engram,JAX,TE,5,2,1,14,44,
Jamari Thrash,CLV,WR,3,,,,,
Adam Trautman,DEN,TE,3,1,1,17,17,
Ja'Marr Chase,CIN,WR,14,3,1,5,52,
D'Andre Swift,CHI,RB,7,,,,,
Jonathan Mingo,DAL,WR,5,,,,,
Cooper Kupp,LA,WR,23,7,4,96,144,13
Tommy Tremble,CAR,TE,2,,,,,
Kayshon Boutte,NE,WR,12,3,1,48,75,20
Hunter Long,LA,TE,5,,,,,
Ben Sims,GB,TE,1,1,,,16,
DeAndre Carter,CHI,WR,3,2,,,57,
Robbie Chosen,MIA,WR,1,1,,,17,
Chris Brooks,GB,RB,1,,,,,
Christian Watson,GB,WR,6,1,,,30,
James Conner,ARZ,RB,6,,,,,
Justice Hill,BLT,RB,10,,,,,
Sincere McCormick,LV,RB,1,,,,,
K.J. Osborn,WAS,WR,2,,,,,
Tyler Conklin,NYJ,TE,10,1,,,10,
Tyler Goodson,IND,RB,2,,,,,
Jordan Mason,SF,RB,6,,,,,
Grant DuBose,MIA,WR,1,,,,,
Tim Jones,JAX,WR,2,,,,,
Michael Pittman,IND,WR,22,4,1,26,91,
Tre Tucker,LV,WR,9,2,,,50,
Malik Washington,MIA,WR,5,,,,,
Jonathan Taylor,IND,RB,6,,,,,
Troy Franklin,DEN,WR,5,2,,,48,
DJ Chark,LAC,WR,2,1,,,17,
Darnell Washington,PIT,TE,3,1,1,29,16,13
Zach Ertz,WAS,TE,10,5,2,41,77,7
Greg Dortch,ARZ,WR,10,1,,,27,
Terrell Jennings,NE,RB,1,,,,,
Tip Reiman,ARZ,TE,1,,,,,
Davis Allen,LA,TE,12,1,,,23,
Javonte Williams,DEN,RB,6,,,,,
Cam Akers,MIN,RB,2,,,,,
JaMycal Hasty,NE,RB,2,,,,,
Courtland Sutton,DEN,WR,8,2,,,40,
Zay Flowers,BLT,WR,16,3,1,21,76,
Michael Wilson,ARZ,WR,15,4,4,94,83,11
Dalton Kincaid,BUF,TE,8,7,4,99,147,18
Jakobi Meyers,LV,WR,8,4,4,88,74,14
Hunter Henry,NE,TE,14,2,,,39,
Nelson Agholor,BLT,WR,8,2,1,6,43,
Jahmyr Gibbs,DET,RB,6,,,,,
Gabe Davis,JAX,WR,7,,,,,
Odell Beckham,MIA,WR,4,3,,,60,
D.J. Turner,LV,WR,2,,,,,
Tim Patrick,DET,WR,4,1,,,21,
Josh Reynolds,JAX,WR,2,,,,,
Noah Gray,KC,TE,7,2,1,29,33,12
Brian Thomas,JAX,WR,8,2,1,14,43,
DeAndre Hopkins,KC,WR,12,5,2,47,79,17
Xavier Hutchinson,HST,WR,9,1,,,45,
Simi Fehoko,LAC,WR,1,,,,,
Ezekiel Elliott,DAL,RB,4,,,,,
Stone Smartt,LAC,TE,3,2,1,24,36,6
T.J. Hockenson,MIN,TE,4,1,1,20,14,6
Mo Alie-Cox,IND,TE,8,2,,,45,
Devin Culp,TB,TE,1,,,,,
Tyrone Tracy,NYG,RB,2,,,,,
Michael Mayer,LV,TE,4,,,,,
Marvin Harrison,ARZ,WR,16,6,2,31,134,
Jaylen Wright,MIA,RB,4,,,,,
Austin Hooper,NE,TE,9,5,2,44,95,3
Justin Watson,KC,WR,15,3,2,27,72,1
Rashee Rice,KC,WR,2,,,,,
Ty Chandler,MIN,RB,2,,,,,
Britain Covey,PHI,WR,1,,,,,
De'Von Achane,MIA,RB,5,,,,,
Mike Evans,TB,WR,13,7,5,72,101,17
Kenneth Walker,SEA,RB,8,,,,,
Keon Coleman,BUF,WR,10,2,1,14,39,
Lil'Jordan Humphrey,DEN,WR,4,1,,,13,
Jordan Addison,MIN,WR,13,3,2,53,65,12
Tyler Lockett,SEA,WR,16,2,1,33,44,7
Tank Bigsby,JAX,RB,1,,,,,
Mike Woods,CLV,WR,9,1,,,19,
Xavier Gipson,NYJ,WR,1,,,,,
Cedrick Wilson,NO,WR,5,1,1,18,19,-1
Sean Tucker,TB,RB,1,,,,,
Joseph Fortson,KC,TE,1,,,,,
John FitzPatrick,GB,TE,2,,,,,
Mecole Hardman,KC,WR,2,,,,,
Shane Zylstra,DET,TE,2,,,,,
Malik Heath,GB,WR,2,,,,,
Luke Schoonmaker,DAL,TE,5,2,,,31,
Nate Adkins,DEN,TE,3,1,,,20,
Skyy Moore,KC,WR,1,,,,,
Chris Conley,SF,WR,4,,,,,
Aaron Jones,MIN,RB,4,,,,,
Luke Farrell,JAX,TE,3,1,,,27,
Luke Musgrave,GB,TE,1,1,,,20,
Christian Kirk,JAX,WR,7,1,,,20,
Puka Nacua,LA,WR,17,3,2,33,52,1
Joe Mixon,HST,RB,5,,,,,
Eric Gray,NYG,RB,1,,,,,
Trenton Irwin,CIN,WR,2,,,,,
Jameson Williams,DET,WR,9,3,1,50,113,5
Jalen McMillan,TB,WR,12,6,3,97,161,5
D'Ernest Johnson,JAX,RB,3,,,,,
Theo Johnson,NYG,TE,2,1,,,11,
Jahan Dotson,PHI,WR,9,2,1,36,66,3
DeVonta Smith,PHI,WR,6,2,1,22,53,
Chris Collier,LV,RB,1,,,,,
Ray-Ray McCloud,ATL,WR,17,1,,,23,
Eric Saubert,SF,TE,2,,,,,
Brian Robinson,WAS,RB,3,,,,,
Alvin Kamara,NO,RB,6,,,,,
Aaron Shampklin,PIT,RB,1,,,,,
Tucker Fisk,LAC,TE,1,,,,,
Gus Edwards,LAC,RB,3,,,,,
Taysom Hill,NO,TE,1,,,,,
Demario Douglas,NE,WR,7,1,,,40,
Alexander Mattison,LV,RB,1,,,,,
Cade Otton,TB,TE,19,3,2,74,54,42
Malik Nabers,NYG,WR,7,1,,,22,
Tank Dell,HST,WR,16,4,1,7,84,
Tyquan Thornton,NE,WR,2,,,,,
Xavier Weaver,ARZ,WR,1,1,,,21,
Breece Hall,NYJ,RB,7,,,,,
Dameon Pierce,HST,RB,1,,,,,
Blake Corum,LA,RB,2,,,,,
Pierre Strong,CLV,RB,3,,,,,
Jha'Quan Jackson,TEN,WR,1,,,,,
Rakim Jarrett,TB,WR,4,2,2,49,42,7
Julian Hill,MIA,TE,1,,,,,
Erick All,CIN,TE,1,1,1,28,17,11
Braxton Berrios,MIA,WR,2,1,,,12,
Kendre Miller,NO,RB,1,,,,,
Diontae Johnson,HST,WR,5,1,,,16,
DK Metcalf,SEA,WR,16,5,2,48,99,4
Mark Andrews,BLT,TE,17,6,3,29,118,2
Parker Washington,JAX,WR,8,2,1,23,41,1
MyCole Pruitt,PIT,TE,1,,,,,
Elijah Higgins,ARZ,TE,3,,,,,
Adam Thielen,CAR,WR,6,2,1,8,35,
Dan Chisena,CAR,WR,1,1,1,23,14,9
Braelon Allen,NYJ,RB,2,,,,,
Harrison Bryant,LV,TE,1,1,,,21,
Tylan Wallace,BLT,WR,4,,,,,
Jonnu Smith,MIA,TE,10,3,1,15,47,2
Josh Palmer,LAC,WR,9,4,3,89,91,14
Antonio Gibson,NE,RB,5,,,,,
Mason Kinsey,TEN,WR,2,,,,,
David Moore,CAR,WR,8,3,2,38,35,4
Amon-Ra St. Brown,DET,WR,10,2,2,48,35,13
Chris Moore,ARZ,WR,1,,,,,
Tutu Atwell,LA,WR,10,3,1,18,84,2
Garrett Wilson,NYJ,WR,14,5,4,97,99,10
Jeff Wilson,MIA,RB,2,,,,,
Kenny McIntosh,SEA,RB,1,,,,,
Kameron Johnson,TB,WR,2,,,,,
Dyami Brown,WAS,WR,6,1,,,29,
Johnny Wilson,PHI,WR,4,,,,,
Emanuel Wilson,GB,RB,2,,,,,
Blake Whiteheart,CLV,TE,4,2,2,30,31,4
Quentin Johnston,LAC,WR,8,,,,,
AJ Barner,SEA,TE,5,,,,,
Zach Charbonnet,SEA,RB,4,,,,,
Chuba Hubbard,CAR,RB,5,,,,,
Xavier Worthy,KC,WR,15,3,,,80,
Elijah Moore,CLV,WR,21,3,1,44,74,16
Rachaad White,TB,RB,11,,,,,
Ty Johnson,BUF,RB,6,1,1,16,16,
Van Jefferson,PIT,WR,12,,,,,
Derrick Henry,BLT,RB,6,,,,,
Kareem Hunt,KC,RB,9,,,,,
Brandon Powell,MIN,WR,4,1,,,21,
Calvin Austin,PIT,WR,12,4,3,79,80,23
Ronnie Bell,SF,WR,1,,,,,
Jacob Cowing,SF,WR,1,,,,,
Geoff Swaim,CLV,TE,1,,,,,
Bijan Robinson,ATL,RB,11,,,,,
Jaleel McLaughlin,DEN,RB,2,,,,,
Cordarrelle Patterson,PIT,RB,1,,,,,
Pat Freiermuth,PIT,TE,9,3,3,47,42,11
Zay Jones,ARZ,WR,4,,,,,
Irv Smith,HST,TE,1,,,,,
Stefon Diggs,HST,WR,10,3,2,31,72,2
Ben Sinnott,WAS,TE,3,,,,,
Darnell Mooney,ATL,WR,16,6,3,64,137,3
