Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Tyjae Spears,TEN,RB,11,,,,,
Laviska Shenault,LAC,WR,3,,,,,
Josh Oliver,MIN,TE,13,,,,,
Nick Chubb,CLV,RB,7,,,,,
Michael Carter,ARZ,RB,2,,,,,
Bucky Irving,TB,RB,14,,,,,
D.J. Moore,CHI,WR,22,8,4,43,84,25
Rome Odunze,CHI,WR,21,8,3,46,90,15
Brenden Bates,CLV,TE,1,,,,,
Isaiah Davis,NYJ,RB,5,,,,,
Colby Parkinson,LA,TE,20,3,2,18,21,7
Foster Moreau,NO,TE,10,,,,,
Tyler Allgeier,ATL,RB,7,,,,,
Khalil Herbert,CIN,RB,4,,,,,
Devaughn Vele,DEN,WR,17,6,3,29,65,2
Trey Sermon,IND,RB,10,,,,,
Josh Downs,IND,WR,19,5,3,47,69,8
Zamir White,LV,RB,3,,,,,
Ameer Abdullah,LV,RB,11,,,,,
Isaiah Hodgins,NYG,WR,2,,,,,
Devin Singletary,NYG,RB,5,,,,,
Ja'Tavion Sanders,CAR,TE,17,1,1,5,4,1
Quintin Morris,BUF,TE,2,,,,,
Teagan Quitoriano,HST,TE,2,,,,,
Ashton Dulin,IND,WR,7,1,,,9,
Jauan Jennings,SF,WR,34,13,6,80,170,12
Hassan Haskins,LAC,RB,5,,,,,
Andrew Ogletree,IND,TE,8,2,1,22,24,11
Jaylen Warren,PIT,RB,4,,,,,
Mack Hollins,BUF,WR,7,4,1,23,66,7
Kendrick Bourne,NE,WR,11,4,2,27,40,7
Juwan Johnson,NO,TE,21,5,3,32,43,23
David Montgomery,DET,RB,15,,,,,
Tyler Boyd,TEN,WR,21,3,2,44,49,7
Casey Washington,ATL,WR,1,,,,,
Kenneth Gainwell,PHI,RB,3,,,,,
Jalen Brooks,DAL,WR,12,5,3,43,82,
Jordan Mims,NO,RB,1,,,,,
David Bell,CLV,WR,1,1,1,12,12,
Kevin Austin,NO,WR,8,4,2,39,49,5
Jamison Crowder,WAS,WR,3,,,,,
KaVontae Turpin,DAL,WR,10,5,4,83,65,22
Marquise Brown,KC,WR,2,,,,,
Jalen Nailor,MIN,WR,30,5,3,52,58,12
John Metchie,HST,WR,14,2,2,28,27,1
Ronnie Rivers,LA,RB,2,,,,,
Amari Cooper,BUF,WR,13,4,2,26,45,4
Darius Slayton,NYG,WR,25,8,3,54,113,13
Jake Ferguson,DAL,TE,25,5,3,41,36,24
Davante Adams,NYJ,WR,26,8,3,49,95,10
Jerry Jeudy,CLV,WR,31,12,8,157,186,30
Dare Ogunbowale,HST,RB,10,,,,,
Nico Collins,HST,WR,18,10,4,54,138,8
J.K. Dobbins,LAC,RB,14,,,,,
Emari Demercado,ARZ,RB,4,,,,,
Equanimeous St. Brown,NO,WR,1,,,,,
Samaje Perine,KC,RB,5,,,,,
Josh Whyle,TEN,TE,11,1,1,9,4,5
Travis Etienne,JAX,RB,9,,,,,
Jordan Whittington,LA,WR,11,4,2,24,36,4
Jamari Thrash,CLV,WR,4,,,,,
Saquon Barkley,PHI,RB,12,,,,,
Evan Engram,JAX,TE,8,3,3,38,32,6
Miles Sanders,CAR,RB,5,,,,,
KhaDarel Hodge,ATL,WR,8,,,,,
Will Dissly,LAC,TE,17,3,3,24,29,3
Marquez Valdes-Scantling,NO,WR,9,4,1,22,72,6
Brevyn Spann-Ford,DAL,TE,1,,,,,
Tyler Higbee,LA,TE,2,1,,,7,
Parris Campbell,PHI,WR,1,,,,,
Jake Bobo,SEA,WR,5,3,1,11,46,
Adonai Mitchell,IND,WR,7,2,,,7,
Nick Westbrook-Ikhine,TEN,WR,29,7,5,47,75,-1
Ben Sims,GB,TE,4,,,,,
DeAndre Carter,CHI,WR,1,,,,,
Hunter Long,LA,TE,3,,,,,
Kayshon Boutte,NE,WR,20,6,2,29,72,6
Tommy Tremble,CAR,TE,11,1,1,19,9,10
Jonathan Mingo,DAL,WR,10,2,1,35,35,15
Cooper Kupp,LA,WR,22,6,3,41,82,1
D'Andre Swift,CHI,RB,11,,,,,
Adam Trautman,DEN,TE,3,,,,,
Jase McClellan,ATL,RB,1,,,,,
Ja'Marr Chase,CIN,WR,41,13,8,230,167,119
Tyler Conklin,NYJ,TE,16,4,4,57,35,26
K.J. Osborn,WAS,WR,11,2,,,23,
Anthony Firkser,KC,TE,1,,,,,
Justice Hill,BLT,RB,14,,,,,
James Conner,ARZ,RB,19,,,,,
Chris Brooks,GB,RB,4,,,,,
Christian Watson,GB,WR,12,2,1,14,24,1
Dallin Holker,NO,TE,1,,,,,
Cam Akers,MIN,RB,9,,,,,
JaMycal Hasty,NE,RB,3,,,,,
Javonte Williams,DEN,RB,14,,,,,
Courtland Sutton,DEN,WR,32,19,11,162,278,16
Tom Kennedy,DET,WR,1,,,,,
Greg Dortch,ARZ,WR,20,3,1,3,40,
Darnell Washington,PIT,TE,2,1,,,8,
Zach Ertz,WAS,TE,38,16,9,111,175,12
Audric Estime,DEN,RB,2,,,,,
Charlie Kolar,BLT,TE,2,,,,,
Davis Allen,LA,TE,6,,,,,
Tip Reiman,ARZ,TE,4,,,,,
Brady Russell,SEA,TE,1,,,,,
John Samuel Shenker,LV,TE,1,,,,,
River Cracraft,MIA,WR,2,,,,,
DJ Chark,LAC,WR,4,,,,,
Jonathan Taylor,IND,RB,8,,,,,
Troy Franklin,DEN,WR,17,2,2,6,15,
Michael Pittman,IND,WR,25,9,2,50,141,13
Malik Washington,MIA,WR,3,1,1,12,12,
