Name,Team,POS,RTE,TGT,AY,REC,YDS,YAC
Connor Heyward,PIT,TE,3,1,29,,,
George Pickens,PIT,WR,46,24,714,10,341,51
Jermaine Burton,CIN,WR,13,7,199,2,88,20
Adonai Mitchell,IND,WR,25,12,345,1,36,3
Nick Westbrook-Ikhine,TEN,WR,34,12,277,6,234,75
Jake Bobo,SEA,WR,7,,,,,
Brevyn Spann-Ford,DAL,TE,10,2,24,2,31,7
Tyler Higbee,LA,TE,2,,,,,
Parris Campbell,PHI,WR,3,,,,,
Marquez Valdes-Scantling,NO,WR,22,9,294,1,28,
Will Dissly,LAC,TE,29,5,95,3,71,13
KhaDarel Hodge,ATL,WR,13,2,65,1,24,3
Miles Sanders,CAR,RB,7,1,21,,,
Charlie Jones,CIN,WR,1,,,,,
Saquon Barkley,PHI,RB,21,,,,,
Evan Engram,JAX,TE,27,5,71,3,62,23
Jamari Thrash,CLV,WR,3,1,28,,,
Jordan Whittington,LA,WR,5,2,40,1,50,28
Josh Whyle,TEN,TE,15,2,54,,,
Travis Etienne,JAX,RB,24,,,,,
Samaje Perine,KC,RB,15,,,,,
Myles Gaskin,MIN,RB,1,,,,,
J.K. Dobbins,LAC,RB,21,,,,,
Emari Demercado,ARZ,RB,9,,,,,
Dare Ogunbowale,HST,RB,6,,,,,
Nico Collins,HST,WR,10,5,165,2,70,12
Jerry Jeudy,CLV,WR,45,12,304,1,23,1
Jake Ferguson,DAL,TE,37,5,109,2,50,12
Davante Adams,NYJ,WR,52,25,522,13,338,93
Equanimeous St. Brown,NO,WR,2,,,,,
Ronnie Rivers,LA,RB,2,,,,,
Amari Cooper,BUF,WR,38,19,539,7,177,23
Darius Slayton,NYG,WR,50,14,352,3,84,10
Jonathon Brooks,CAR,RB,2,,,,,
Blake Watson,DEN,RB,1,,,,,
Chris Brooks,GB,RB,3,,,,,
Christian Watson,GB,WR,25,13,416,6,244,39
Dallin Holker,NO,TE,3,1,30,,,
James Conner,ARZ,RB,20,,,,,
Justice Hill,BLT,RB,15,,,,,
Anthony Firkser,KC,TE,1,,,,,
Sincere McCormick,LV,RB,4,,,,,
K.J. Osborn,WAS,WR,9,1,17,,,
Tyler Conklin,NYJ,TE,55,7,125,3,69,15
Jase McClellan,ATL,RB,1,,,,,
Adam Trautman,DEN,TE,10,2,43,2,32,
Ja'Marr Chase,CIN,WR,56,18,473,8,215,17
D'Andre Swift,CHI,RB,25,,,,,
Jonathan Mingo,DAL,WR,20,5,135,1,29,5
Cooper Kupp,LA,WR,19,8,140,6,183,84
Tommy Tremble,CAR,TE,27,4,76,3,70,21
Kayshon Boutte,NE,WR,27,12,355,4,117,14
Hunter Long,LA,TE,4,,,,,
Ben Sims,GB,TE,3,1,18,1,28,10
DeAndre Carter,CHI,WR,11,2,55,,,
Robbie Chosen,MIA,WR,1,,,,,
Devin Singletary,NYG,RB,16,,,,,
Isaiah Hodgins,NYG,WR,2,,,,,
Zamir White,LV,RB,1,,,,,
Ameer Abdullah,LV,RB,9,,,,,
Trey Sermon,IND,RB,17,,,,,
Josh Downs,IND,WR,38,5,118,2,43,2
Devaughn Vele,DEN,WR,27,3,50,1,32,5
Khalil Herbert,CIN,RB,2,,,,,
Tyler Allgeier,ATL,RB,5,,,,,
Stephen Sullivan,CAR,TE,1,1,16,,,
Foster Moreau,NO,TE,17,4,55,3,42,1
Isaiah Davis,NYJ,RB,4,,,,,
Colby Parkinson,LA,TE,14,4,54,1,14,6
Brenden Bates,CLV,TE,1,,,,,
Rome Odunze,CHI,WR,63,23,613,4,112,10
D.J. Moore,CHI,WR,65,17,418,4,97,2
Keaton Mitchell,BLT,RB,4,,,,,
Bucky Irving,TB,RB,14,,,,,
Josh Oliver,MIN,TE,8,2,70,,,
Nick Chubb,CLV,RB,5,,,,,
Michael Carter,ARZ,RB,2,,,,,
Tyjae Spears,TEN,RB,8,,,,,
Laviska Shenault,LAC,WR,1,,,,,
Jalen Nailor,MIN,WR,30,3,92,2,47,1
John Metchie,HST,WR,7,,,,,
Marquise Brown,KC,WR,5,2,41,,,
KaVontae Turpin,DAL,WR,20,7,207,2,50,5
Jamison Crowder,WAS,WR,5,2,30,1,6,
Jordan Mims,NO,RB,3,,,,,
Kevin Austin,NO,WR,11,4,136,,,
Jalen Brooks,DAL,WR,17,5,148,1,41,-1
Kenneth Gainwell,PHI,RB,7,,,,,
Casey Washington,ATL,WR,1,1,30,,,
Juwan Johnson,NO,TE,35,5,100,2,36,7
David Montgomery,DET,RB,4,,,,,
Mack Hollins,BUF,WR,42,10,239,4,64,6
Tyler Boyd,TEN,WR,33,1,17,,,
Andrew Ogletree,IND,TE,11,1,31,,,
Jaylen Warren,PIT,RB,22,,,,,
Kendrick Bourne,NE,WR,19,5,100,2,55,5
Hassan Haskins,LAC,RB,4,,,,,
Jauan Jennings,SF,WR,20,10,201,4,117,35
Ashton Dulin,IND,WR,4,1,40,,,
Tanner Conner,MIA,TE,2,,,,,
Quintin Morris,BUF,TE,7,1,23,,,
Ja'Tavion Sanders,CAR,TE,38,9,163,5,113,35
Anthony Miller,BLT,WR,1,,,,,
Aaron Jones,MIN,RB,17,2,41,2,49,8
Luke Farrell,JAX,TE,5,,,,,
Luke Musgrave,GB,TE,4,1,16,,,
Christian Kirk,JAX,WR,24,9,265,3,115,29
Puka Nacua,LA,WR,15,6,207,,,
Joe Mixon,HST,RB,5,,,,,
Eric Gray,NYG,RB,4,,,,,
Trenton Irwin,CIN,WR,2,,,,,
Jameson Williams,DET,WR,24,7,227,2,134,47
Jalen McMillan,TB,WR,19,7,172,2,41,4
D'Ernest Johnson,JAX,RB,12,,,,,
Theo Johnson,NYG,TE,27,4,79,3,78,21
Jahan Dotson,PHI,WR,27,3,68,1,27,1
DeVonta Smith,PHI,WR,34,10,303,4,144,20
Mecole Hardman,KC,WR,2,,,,,
Shane Zylstra,DET,TE,2,,,,,
Malik Heath,GB,WR,5,1,32,1,41,9
Luke Schoonmaker,DAL,TE,15,2,43,1,22,
Nate Adkins,DEN,TE,8,,,,,
Jack Stoll,MIA,TE,3,,,,,
David Martin-Robinson,TEN,TE,1,,,,,
Skyy Moore,KC,WR,1,,,,,
Chris Conley,SF,WR,10,3,112,,,
Travis Homer,CHI,RB,4,,,,,
Tyquan Thornton,NE,WR,3,2,51,,,
Breece Hall,NYJ,RB,41,1,27,1,26,
Trent Sherfield,MIN,WR,4,1,16,,,
Dameon Pierce,HST,RB,2,,,,,
Blake Corum,LA,RB,1,,,,,
Pierre Strong,CLV,RB,4,,,,,
Jha'Quan Jackson,TEN,WR,1,1,31,,,
Rakim Jarrett,TB,WR,2,,,,,
Julian Hill,MIA,TE,10,2,20,1,6,1
Erick All,CIN,TE,4,2,14,2,24,10
Braxton Berrios,MIA,WR,6,,,,,
Kendre Miller,NO,RB,3,,,,,
Diontae Johnson,HST,WR,16,9,233,2,60,10
DK Metcalf,SEA,WR,50,24,634,10,342,74
Mark Andrews,BLT,TE,31,9,151,7,149,54
Parker Washington,JAX,WR,38,8,166,2,23,4
MyCole Pruitt,PIT,TE,3,1,8,1,1,
