Name,Team,POS,ATT,YDS,YAC,TD,MTF
Alvin Kamara,NO,RB,2,8,3,,
Brian Robinson,WAS,RB,23,149,59,2,5
D'Andre Swift,CHI,RB,16,38,25,,
Tony Pollard,TEN,RB,17,103,82,,5
Carson Steele,KC,RB,5,16,12,,1
Ray Davis,BUF,RB,10,26,21,,2
Alexander Mattison,LV,RB,5,11,8,,
Kyren Williams,LA,RB,9,51,29,,1
Gus Edwards,LAC,RB,14,44,33,2,2
Will Shipley,PHI,RB,6,13,4,,
Chris Brooks,GB,RB,1,23,2,,
Blake Corum,LA,RB,2,7,2,,
James Cook,BUF,RB,4,16,5,,
Dameon Pierce,HST,RB,2,6,4,,
Raheem Mostert,MIA,RB,3,3,,1,
Breece Hall,NYJ,RB,4,27,15,,
Roschon Johnson,CHI,RB,1,7,4,,1
Sincere McCormick,LV,RB,4,13,16,,1
Justice Hill,BLT,RB,4,26,15,,1
Kendre Miller,NO,RB,3,13,8,,1
James Conner,ARZ,RB,52,330,169,2,17
Emari Demercado,ARZ,RB,3,9,3,,
J.K. Dobbins,LAC,RB,23,88,40,,3
Zack Moss,CIN,RB,6,23,12,,1
Samaje Perine,KC,RB,1,3,1,,
Rhamondre Stevenson,NE,RB,6,6,7,,1
Travis Etienne,JAX,RB,2,5,3,,
Ronnie Rivers,LA,RB,1,3,2,,
Dare Ogunbowale,HST,RB,2,5,6,,
Kimani Vidal,LAC,RB,3,5,3,,
Chase Brown,CIN,RB,1,2,1,,
Najee Harris,PIT,RB,6,17,13,,
Joe Mixon,HST,RB,8,43,16,,1
Isaac Guerendo,SF,RB,1,,,,
Aaron Jones,MIN,RB,7,24,14,,
Jamaal Williams,NO,RB,3,8,8,,
D'Ernest Johnson,JAX,RB,1,-1,1,,
Saquon Barkley,PHI,RB,55,392,95,2,13
Miles Sanders,CAR,RB,2,28,5,,
J.J. Taylor,HST,RB,1,,1,,
Austin Ekeler,WAS,RB,8,23,14,,
Eric Gray,NYG,RB,1,4,3,,
Craig Reynolds,DET,RB,2,13,-2,,
Rachaad White,TB,RB,22,189,114,,6
Hassan Haskins,LAC,RB,2,4,4,,
Tyrone Tracy,NYG,RB,9,16,14,,
David Montgomery,DET,RB,7,29,27,,1
Zach Charbonnet,SEA,RB,11,95,25,1,2
Chuba Hubbard,CAR,RB,3,1,6,,
Josh Jacobs,GB,RB,33,148,73,,6
Kareem Hunt,KC,RB,23,77,39,2,3
Jerome Ford,CLV,RB,6,58,51,,3
Jeremy McNichols,WAS,RB,6,6,9,,1
Derrick Henry,BLT,RB,24,107,55,,2
Rico Dowdle,DAL,RB,5,,6,,
Jaylen Wright,MIA,RB,1,-1,1,,
Ty Johnson,BUF,RB,1,-2,,,
Trey Benson,ARZ,RB,14,51,29,,3
Bijan Robinson,ATL,RB,1,,1,,
Jaleel McLaughlin,DEN,RB,1,6,2,,
Kenneth Walker,SEA,RB,10,24,19,,
De'Von Achane,MIA,RB,3,21,3,1,1
Julius Chestnut,TEN,RB,1,5,2,,
D'Onta Foreman,CLV,RB,1,,,,
Sean Tucker,TB,RB,10,132,30,,3
Isiah Pacheco,KC,RB,14,43,27,1,2
Kenneth Gainwell,PHI,RB,6,30,19,,1
Tank Bigsby,JAX,RB,3,4,8,,
Jonathan Taylor,IND,RB,21,102,51,,
Braelon Allen,NYJ,RB,6,15,10,,1
Jordan Mason,SF,RB,8,29,22,,3
Tyler Goodson,IND,RB,1,4,3,,
Isaiah Davis,NYJ,RB,1,7,7,,1
Tyjae Spears,TEN,RB,2,25,5,,1
Javonte Williams,DEN,RB,4,24,8,,
Cam Akers,MIN,RB,3,9,7,,1
Nick Chubb,CLV,RB,2,-1,2,,
Chris Rodriguez Jr.,WAS,RB,6,34,23,,1
Michael Carter,ARZ,RB,3,12,8,,
Bucky Irving,TB,RB,29,234,177,,17
Audric Estime,DEN,RB,5,16,13,,
Antonio Gibson,NE,RB,2,,3,,1
Keaton Mitchell,BLT,RB,1,7,1,,
Jahmyr Gibbs,DET,RB,6,11,12,,1
Ameer Abdullah,LV,RB,6,16,7,,
Zamir White,LV,RB,1,2,1,,
Kenny McIntosh,SEA,RB,4,29,10,,
Devin Singletary,NYG,RB,4,8,9,,1
Christian McCaffrey,SF,RB,2,4,4,,
MarShawn Lloyd,GB,RB,2,9,1,,
Ezekiel Elliott,DAL,RB,1,5,4,,1
Emanuel Wilson,GB,RB,5,29,11,,1
Khalil Herbert,CIN,RB,1,2,1,1,
Trey Sermon,IND,RB,2,6,2,,
