Name,Team,POS,ATT,YDS,YAC,MTF,TD
Jahmyr Gibbs,DET,RB,4,27,11,3,
Deuce Vaughn,DAL,RB,1,2,,,
Devin Singletary,NYG,RB,3,11,8,,
Christian McCaffrey,SF,RB,1,11,3,1,
Ezekiel Elliott,DAL,RB,5,34,14,,
Jordan Mason,SF,RB,2,13,6,,
Isaiah Davis,NYJ,RB,1,10,11,1,
Tyjae Spears,TEN,RB,6,26,20,2,
Javonte Williams,DEN,RB,3,18,6,,
JaMycal Hasty,NE,RB,1,2,4,,
Cam Akers,MIN,RB,2,-1,,,
Nick Chubb,CLV,RB,2,,5,,
Bucky Irving,TB,RB,4,15,11,3,
Audric Estime,DEN,RB,4,43,31,4,
Antonio Gibson,NE,RB,5,12,6,1,
Keaton Mitchell,BLT,RB,1,-6,,,
Kenneth Walker,SEA,RB,3,16,15,1,
De'Von Achane,MIA,RB,1,7,4,1,
Julius Chestnut,TEN,RB,1,6,1,,
Kenneth Gainwell,PHI,RB,2,12,5,,
Dalvin Cook,DAL,RB,1,4,3,,
Tank Bigsby,JAX,RB,1,-2,1,,
Jordan Mims,NO,RB,1,9,3,,
Rachaad White,TB,RB,3,10,10,,
Jaylen Warren,PIT,RB,6,9,10,,
Tyrone Tracy,NYG,RB,10,36,28,2,
David Montgomery,DET,RB,1,5,3,,
Zach Charbonnet,SEA,RB,5,39,21,4,
Chuba Hubbard,CAR,RB,1,3,1,,
Kareem Hunt,KC,RB,4,33,17,,
Ty Chandler,MIN,RB,4,10,8,,
Jerome Ford,CLV,RB,5,72,8,,1
Jeremy McNichols,WAS,RB,1,-4,,,
Derrick Henry,BLT,RB,2,7,3,,
Rico Dowdle,DAL,RB,13,105,53,3,
Ty Johnson,BUF,RB,1,13,6,1,
Chase Brown,CIN,RB,3,11,3,,
Najee Harris,PIT,RB,2,5,3,,
Isaac Guerendo,SF,RB,2,15,3,,
Joe Mixon,HST,RB,1,2,1,,
Aaron Jones,MIN,RB,1,17,2,,
Jamaal Williams,NO,RB,1,9,3,,
D'Ernest Johnson,JAX,RB,1,22,4,2,
Saquon Barkley,PHI,RB,1,19,,,1
Austin Ekeler,WAS,RB,5,27,11,,
Rasheen Ali,BLT,RB,1,9,2,,
J.K. Dobbins,LAC,RB,3,2,7,,
Zack Moss,CIN,RB,4,26,19,2,
Rhamondre Stevenson,NE,RB,4,20,14,1,
Travis Etienne,JAX,RB,1,8,2,,
Hunter Luepke,DAL,FB,1,2,4,,
Travis Homer,CHI,RB,2,10,4,,
Dare Ogunbowale,HST,RB,1,11,2,,
Kimani Vidal,LAC,RB,1,7,5,,
Blake Corum,LA,RB,1,-5,-1,1,
James Cook,BUF,RB,1,5,2,,
Dameon Pierce,HST,RB,1,2,4,,
Pierre Strong,CLV,RB,3,10,3,,
Raheem Mostert,MIA,RB,1,4,1,,
Breece Hall,NYJ,RB,2,11,4,,
Roschon Johnson,CHI,RB,3,9,10,1,
Joshua Kelley,TEN,RB,1,2,2,,
Sincere McCormick,LV,RB,1,5,2,,
Justice Hill,BLT,RB,7,44,15,1,
James Conner,ARZ,RB,1,2,2,,
Alvin Kamara,NO,RB,10,71,37,2,
Brian Robinson,WAS,RB,7,24,20,4,
D'Andre Swift,CHI,RB,14,62,42,3,
Tony Pollard,TEN,RB,10,82,38,4,1
Carson Steele,KC,RB,3,3,8,,
Ray Davis,BUF,RB,1,-1,2,,
Alexander Mattison,LV,RB,2,5,2,,
Kyren Williams,LA,RB,7,26,11,,1
Will Shipley,PHI,RB,1,1,,,
