Name,Team,POS,ATT,YDS,TD,YAC,MTF
Alvin Kamara,NO,RB,41,159,2,81,3
Brian Robinson,WAS,RB,63,214,3,101,5
Khalil Herbert,CIN,RB,14,46,,31,2
Aaron Shampklin,PIT,RB,1,5,,2,
Tony Pollard,TEN,RB,46,156,,101,3
Carson Steele,KC,RB,20,75,,44,
Ray Davis,BUF,RB,15,21,,22,2
DeeJay Dallas,ARZ,RB,3,16,,5,
Patrick Taylor,SF,RB,12,42,1,21,
D'Andre Swift,CHI,RB,48,195,2,102,9
Jase McClellan,ATL,RB,4,19,,15,1
Alexander Mattison,LV,RB,53,193,2,126,9
Raheem Blackshear,CAR,RB,11,55,,32,1
Gus Edwards,LAC,RB,21,75,2,34,3
Will Shipley,PHI,RB,6,20,,16,1
Kyren Williams,LA,RB,66,281,4,140,4
Blake Corum,LA,RB,16,70,,25,1
James Cook,BUF,RB,56,243,1,128,9
Dameon Pierce,HST,RB,6,11,,12,
Pierre Strong,CLV,RB,4,14,,8,
Raheem Mostert,MIA,RB,12,35,,20,1
Chris Brooks,GB,RB,9,63,,32,1
Jonathon Brooks,CAR,RB,2,3,,2,
George Holani,SEA,RB,1,3,,2,
Jacob Kibodi,CLV,RB,1,3,,2,
Breece Hall,NYJ,RB,32,108,,70,4
Roschon Johnson,CHI,RB,15,39,,20,
Justice Hill,BLT,RB,13,81,1,73,1
Sincere McCormick,LV,RB,17,62,,39,2
James Conner,ARZ,RB,38,181,2,103,8
Kendre Miller,NO,RB,8,56,1,29,3
Emari Demercado,ARZ,RB,8,54,,12,
J.K. Dobbins,LAC,RB,44,203,3,103,7
Zack Moss,CIN,RB,21,60,1,38,3
Rhamondre Stevenson,NE,RB,29,110,2,55,2
Travis Etienne,JAX,RB,36,152,2,81,2
Samaje Perine,KC,RB,8,25,,14,
Myles Gaskin,MIN,RB,1,2,,2,
Ronnie Rivers,LA,RB,3,16,,5,
Travis Homer,CHI,RB,2,8,,5,
Kyle Juszczyk,SF,FB,2,20,,10,
Hunter Luepke,DAL,FB,3,7,,3,
Dare Ogunbowale,HST,RB,4,17,,7,
Kimani Vidal,LAC,RB,9,36,,17,1
Chase Brown,CIN,RB,77,348,1,200,12
Najee Harris,PIT,RB,93,444,1,228,15
Isaac Guerendo,SF,RB,23,129,1,45,4
Joe Mixon,HST,RB,43,144,2,99,3
Aaron Jones,MIN,RB,53,230,,157,6
Jamaal Williams,NO,RB,13,42,,18,
Saquon Barkley,PHI,RB,115,644,6,260,14
D'Ernest Johnson,JAX,RB,12,56,,30,3
Eric Gray,NYG,RB,7,17,,12,
Craig Reynolds,DET,RB,4,21,,9,
Miles Sanders,CAR,RB,21,67,1,34,1
J.J. Taylor,HST,RB,1,7,,2,
Austin Ekeler,WAS,RB,24,117,1,38,1
Jaylen Warren,PIT,RB,53,231,1,139,7
Rasheen Ali,BLT,RB,2,7,,4,
Tyrone Tracy,NYG,RB,57,329,1,124,9
Rachaad White,TB,RB,35,146,,64,1
Hassan Haskins,LAC,RB,15,47,,32,
Josh Jacobs,GB,RB,72,304,2,195,10
David Montgomery,DET,RB,45,209,2,101,8
Zach Charbonnet,SEA,RB,36,91,1,64,3
Chuba Hubbard,CAR,RB,72,274,2,193,8
Jeremy McNichols,WAS,RB,19,113,1,38,1
Derrick Henry,BLT,RB,76,387,3,197,9
Kareem Hunt,KC,RB,67,252,3,129,5
Ty Chandler,MIN,RB,10,37,,15,1
Jerome Ford,CLV,RB,27,81,1,47,1
Rico Dowdle,DAL,RB,91,373,2,218,12
Jaylen Wright,MIA,RB,8,27,,17,
Ty Johnson,BUF,RB,9,51,,38,1
Trey Benson,ARZ,RB,6,46,,21,1
Bijan Robinson,ATL,RB,38,182,1,67,6
Jaleel McLaughlin,DEN,RB,17,83,,36,1
De'Von Achane,MIA,RB,28,80,,37,3
Kenneth Walker,SEA,RB,42,139,2,93,14
Julius Chestnut,TEN,RB,6,10,,8,
Cordarrelle Patterson,PIT,RB,6,32,,32,3
Sean Tucker,TB,RB,14,67,,32,3
Isiah Pacheco,KC,RB,30,133,,64,3
Kenneth Gainwell,PHI,RB,34,111,,64,6
D'Onta Foreman,CLV,RB,13,34,,21,2
Tank Bigsby,JAX,RB,48,219,2,176,6
