Name,Team,POS,ATT,YDS,YAC,TD,MTF
Trey Sermon,IND,RB,10,47,25,,
Alvin Kamara,NO,RB,9,5,10,1,
Brian Robinson,WAS,RB,23,87,74,1,2
D'Andre Swift,CHI,RB,66,257,121,,3
Aaron Shampklin,PIT,RB,1,1,1,,
Carson Steele,KC,RB,9,30,23,,1
Ray Davis,BUF,RB,42,170,104,3,10
DeeJay Dallas,ARZ,RB,4,8,8,,
Tony Pollard,TEN,RB,40,161,124,,3
Patrick Taylor,SF,RB,4,16,8,,1
Raheem Blackshear,CAR,RB,3,20,19,,2
Chris Collier,LV,RB,3,6,3,,
Jase McClellan,ATL,RB,3,6,3,,
Alexander Mattison,LV,RB,16,34,25,1,
Kyren Williams,LA,RB,139,566,287,7,12
Will Shipley,PHI,RB,3,16,9,,
Tony Jones,ARZ,RB,4,55,53,1,2
Gus Edwards,LAC,RB,21,113,68,,5
Chris Brooks,GB,RB,9,24,13,1,
Blake Corum,LA,RB,17,58,39,,2
James Cook,BUF,RB,53,284,117,8,9
Raheem Mostert,MIA,RB,18,78,27,1,1
Dameon Pierce,HST,RB,7,35,26,,
Roschon Johnson,CHI,RB,15,65,35,1,
Breece Hall,NYJ,RB,39,111,88,2,7
Jonathon Brooks,CAR,RB,2,6,5,,
George Holani,SEA,RB,1,-1,,,
Sincere McCormick,LV,RB,4,29,10,,
Justice Hill,BLT,RB,1,1,2,,
Kendre Miller,NO,RB,3,4,4,,1
James Conner,ARZ,RB,53,183,106,3,10
Zack Moss,CIN,RB,15,41,28,,
Emari Demercado,ARZ,RB,3,11,3,,
J.K. Dobbins,LAC,RB,28,164,65,1,4
Samaje Perine,KC,RB,3,21,5,,
Travis Etienne,JAX,RB,39,147,77,,1
Rhamondre Stevenson,NE,RB,53,218,141,1,8
Travis Homer,CHI,RB,1,4,2,,
Ronnie Rivers,LA,RB,8,36,14,,1
Kimani Vidal,LAC,RB,4,7,8,,
Dare Ogunbowale,HST,RB,3,1,2,,
Najee Harris,PIT,RB,30,125,86,1,15
Isaac Guerendo,SF,RB,11,37,26,1,1
Joe Mixon,HST,RB,32,111,91,1,10
Chase Brown,CIN,RB,45,190,90,5,8
Jamaal Williams,NO,RB,3,1,6,,
Aaron Jones,MIN,RB,71,323,152,4,7
Darrynton Evans,CHI,RB,1,4,1,,
D'Ernest Johnson,JAX,RB,4,12,13,,1
Saquon Barkley,PHI,RB,55,256,150,1,4
Austin Ekeler,WAS,RB,9,23,13,1,2
Rasheen Ali,BLT,RB,1,2,1,,
Miles Sanders,CAR,RB,11,55,20,1,2
Craig Reynolds,DET,RB,6,27,12,,1
Eric Gray,NYG,RB,3,4,3,,
Rachaad White,TB,RB,22,91,58,1,3
Hassan Haskins,LAC,RB,2,7,4,,
Tyrone Tracy,NYG,RB,48,142,99,2,8
Jaylen Warren,PIT,RB,8,40,16,,
David Montgomery,DET,RB,35,140,73,5,5
Zach Charbonnet,SEA,RB,27,117,77,3,5
Chuba Hubbard,CAR,RB,62,263,166,6,11
Josh Jacobs,GB,RB,81,318,176,9,15
Ty Chandler,MIN,RB,13,69,16,,1
Jerome Ford,CLV,RB,8,15,16,1,1
Kareem Hunt,KC,RB,19,69,46,,4
Derrick Henry,BLT,RB,35,150,-24,2,6
Jeremy McNichols,WAS,RB,7,29,20,1,3
