Name,Team,POS,ATT,YDS,YAC,TD,MTF
Gus Edwards,LAC,RB,12,36,21,,
Deuce Vaughn,DAL,RB,1,4,1,,
Ameer Abdullah,LV,RB,7,30,12,,
Zamir White,LV,RB,13,45,26,1,3
Jeff Wilson,MIA,RB,5,35,16,,
Jahmyr Gibbs,DET,RB,13,33,15,1,
Kenny McIntosh,SEA,RB,3,15,6,,
Devin Singletary,NYG,RB,11,43,38,,4
Christian McCaffrey,SF,RB,3,6,5,,
Emanuel Wilson,GB,RB,7,48,20,,2
Khalil Herbert,CIN,RB,1,,-1,,
Trey Sermon,IND,RB,10,34,30,,1
Jonathan Taylor,IND,RB,50,346,110,2,8
Braelon Allen,NYJ,RB,8,26,16,,
Jordan Mason,SF,RB,12,71,47,,1
Tyler Goodson,IND,RB,6,35,26,,1
JaMycal Hasty,NE,RB,2,10,7,,
Cam Akers,MIN,RB,17,92,51,,2
Tyjae Spears,TEN,RB,18,58,32,1,
Javonte Williams,DEN,RB,13,20,17,,2
Isaiah Davis,NYJ,RB,2,16,5,,
Terrell Jennings,NE,RB,3,3,6,,
Nick Chubb,CLV,RB,15,25,18,1,
Chris Rodriguez Jr.,WAS,RB,1,2,1,,
Michael Carter,ARZ,RB,1,,1,,
Bucky Irving,TB,RB,8,52,47,,2
Audric Estime,DEN,RB,10,39,17,2,
Keaton Mitchell,BLT,RB,1,4,1,,
Antonio Gibson,NE,RB,22,108,79,1,7
Jaleel McLaughlin,DEN,RB,2,11,5,1,2
Trey Benson,ARZ,RB,4,14,2,1,
Kenneth Walker,SEA,RB,12,37,22,2,3
De'Von Achane,MIA,RB,22,91,29,,1
Julius Chestnut,TEN,RB,3,16,11,,1
D'Onta Foreman,CLV,RB,11,31,15,,
Isiah Pacheco,KC,RB,9,20,13,,1
Kenneth Gainwell,PHI,RB,2,7,4,,
Cordarrelle Patterson,PIT,RB,5,18,10,,
Sean Tucker,TB,RB,5,14,15,,3
Clyde Edwards-Helaire,NO,RB,1,1,,,
Tank Bigsby,JAX,RB,18,85,53,2,4
Jordan Mims,NO,RB,3,9,4,,
Rachaad White,TB,RB,10,45,30,,2
Hassan Haskins,LAC,RB,2,3,2,,
Tyrone Tracy,NYG,RB,13,57,33,1,1
Jaylen Warren,PIT,RB,8,13,10,,
David Montgomery,DET,RB,7,13,13,1,
Zach Charbonnet,SEA,RB,10,50,29,,4
Chuba Hubbard,CAR,RB,6,35,19,,1
Josh Jacobs,GB,RB,20,113,72,2,3
Ty Chandler,MIN,RB,4,8,4,,
Jerome Ford,CLV,RB,8,126,54,,4
Kareem Hunt,KC,RB,28,98,59,2,1
Derrick Henry,BLT,RB,45,180,108,7,4
Jeremy McNichols,WAS,RB,5,35,25,,4
Ty Johnson,BUF,RB,1,-1,2,,
Rico Dowdle,DAL,RB,7,43,20,,1
Najee Harris,PIT,RB,14,51,23,1,2
Isaac Guerendo,SF,RB,5,32,13,2,3
Joe Mixon,HST,RB,29,153,89,1,2
Chase Brown,CIN,RB,18,48,36,1,1
Jaylen Wright,MIA,RB,4,15,6,,
Jamaal Williams,NO,RB,6,15,9,,
Aaron Jones,MIN,RB,18,81,55,,
Ke'Shawn Vaughn,SF,RB,1,1,,,
D'Ernest Johnson,JAX,RB,6,28,8,,
Saquon Barkley,PHI,RB,13,83,42,1,2
J.J. Taylor,HST,RB,4,24,6,,
Austin Ekeler,WAS,RB,3,10,4,,
Rasheen Ali,BLT,RB,1,2,1,,
Miles Sanders,CAR,RB,4,15,11,,
Craig Reynolds,DET,RB,2,5,-1,,
Eric Gray,NYG,RB,2,6,4,,
Zack Moss,CIN,RB,13,34,20,1,2
J.K. Dobbins,LAC,RB,21,106,64,3,4
Tyrion Davis-Price,PHI,RB,1,1,2,,
Samaje Perine,KC,RB,3,16,5,1,
Myles Gaskin,MIN,RB,1,-3,,,
Travis Etienne,JAX,RB,19,70,39,,3
Rhamondre Stevenson,NE,RB,24,133,52,1,3
Ronnie Rivers,LA,RB,1,2,2,,
Kimani Vidal,LAC,RB,7,33,12,,
Dare Ogunbowale,HST,RB,8,20,14,,
Chris Brooks,GB,RB,2,7,5,,
Pierre Strong,CLV,RB,2,21,2,,
Blake Corum,LA,RB,1,2,-1,,
James Cook,BUF,RB,28,141,68,2,6
Raheem Mostert,MIA,RB,10,57,25,,2
Dameon Pierce,HST,RB,5,29,28,,1
Roschon Johnson,CHI,RB,10,14,14,4,1
Breece Hall,NYJ,RB,12,68,53,1,2
George Holani,SEA,RB,1,8,3,,
Sincere McCormick,LV,RB,3,19,1,,1
Justice Hill,BLT,RB,4,15,7,,
Kendre Miller,NO,RB,2,4,1,,
James Conner,ARZ,RB,23,136,75,,8
Alvin Kamara,NO,RB,14,55,27,,2
Brian Robinson,WAS,RB,14,42,23,1,1
D'Andre Swift,CHI,RB,24,65,32,2,5
Aaron Shampklin,PIT,RB,1,-2,1,,
Carson Steele,KC,RB,9,43,25,,2
Ray Davis,BUF,RB,8,31,18,,
Tony Pollard,TEN,RB,28,114,64,2,5
Patrick Taylor,SF,RB,2,3,2,,
Alexander Mattison,LV,RB,18,59,45,1,3
Kyren Williams,LA,RB,2,2,4,,1
Will Shipley,PHI,RB,1,2,,,
