Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Tyler Allgeier,ATL,RB,47,285,0,0,164,11,0
Jermar Jefferson,DET,RB,2,7,0,0,5,0,0
Ezekiel Elliott,DAL,RB,10,33,0,0,20,0,0
MarShawn Lloyd,GB,RB,1,5,0,0,0,0,0
C.J. Ham,MIN,FB,1,8,0,0,3,0,0
Trey Sermon,IND,RB,5,10,0,0,17,3,0
Khalil Herbert,CIN,RB,4,32,1,0,12,3,0
Emanuel Wilson,GB,RB,26,156,0,0,59,6,0
Deuce Vaughn,DAL,RB,1,3,0,0,4,1,0
Jonathan Ward,PIT,RB,3,9,0,0,9,1,0
Zamir White,LV,RB,7,14,0,0,7,0,0
Ameer Abdullah,LV,RB,4,28,0,0,21,3,0
Jeff Wilson,MIA,RB,2,4,0,0,4,0,0
Kenny McIntosh,SEA,RB,3,14,0,0,8,1,0
Jahmyr Gibbs,DET,RB,76,398,5,0,175,18,0
Christian McCaffrey,SF,RB,20,47,0,0,41,4,0
Devin Singletary,NYG,RB,11,71,1,0,59,7,0
Cam Akers,MIN,RB,26,65,0,0,84,8,0
JaMycal Hasty,NE,RB,2,5,0,0,7,0,0
Javonte Williams,DEN,RB,13,34,0,0,23,3,0
Tyjae Spears,TEN,RB,18,82,0,0,48,5,0
Nick Chubb,CLV,RB,9,32,1,0,24,5,0
Chris Rodriguez Jr.,WAS,RB,1,2,1,0,5,1,0
Keaton Mitchell,BLT,RB,3,4,0,0,1,1,0
Antonio Gibson,NE,RB,24,220,0,0,171,7,0
Michael Carter,ARZ,RB,5,13,1,0,4,0,0
Audric Estime,DEN,RB,6,28,0,0,17,1,0
Bucky Irving,TB,RB,52,397,4,0,263,22,0
Jonathan Taylor,IND,RB,45,213,0,0,91,9,0
Mike Boone,CAR,RB,1,9,0,0,3,0,0
Tyler Goodson,IND,RB,5,30,0,0,26,4,0
Jordan Mason,SF,RB,31,244,1,0,123,11,0
Isaiah Davis,NYJ,RB,8,47,0,0,23,2,0
Braelon Allen,NYJ,RB,8,29,0,0,19,0,0
Kenneth Gainwell,PHI,RB,13,56,0,0,38,2,0
Isiah Pacheco,KC,RB,8,25,0,0,17,0,0
Sean Tucker,TB,RB,15,118,1,0,35,7,0
Cordarrelle Patterson,PIT,RB,9,36,0,0,26,3,0
D'Onta Foreman,CLV,RB,10,43,0,0,20,0,0
Clyde Edwards-Helaire,NO,RB,6,32,0,0,26,1,0
Jordan Mims,NO,RB,7,20,0,0,9,0,0
Tank Bigsby,JAX,RB,19,79,0,0,46,3,0
Dalvin Cook,DAL,RB,1,4,0,0,3,0,0
Jaleel McLaughlin,DEN,RB,39,160,1,0,79,9,0
Trey Benson,ARZ,RB,15,51,0,0,27,2,0
Bijan Robinson,ATL,RB,122,575,9,0,341,26,0
De'Von Achane,MIA,RB,70,299,2,0,146,16,0
Julius Chestnut,TEN,RB,6,48,0,0,22,2,0
Kenneth Walker,SEA,RB,35,137,1,0,108,19,0
Derrick Henry,BLT,RB,84,644,6,0,347,28,0
Jeremy McNichols,WAS,RB,8,48,1,0,37,5,0
Jerome Ford,CLV,RB,22,75,0,0,39,5,0
Ty Chandler,MIN,RB,20,70,0,0,27,1,0
Kareem Hunt,KC,RB,30,105,0,0,60,5,0
Ty Johnson,BUF,RB,17,103,1,0,47,3,0
Rico Dowdle,DAL,RB,36,156,0,0,92,5,0
Jaylen Wright,MIA,RB,30,103,0,0,62,6,0
Tyrone Tracy,NYG,RB,20,72,0,0,40,6,0
Jaylen Warren,PIT,RB,19,114,0,0,74,5,0
Rachaad White,TB,RB,29,106,2,0,75,8,0
Hassan Haskins,LAC,RB,2,8,0,0,6,0,0
Josh Jacobs,GB,RB,50,174,1,0,132,14,0
Zach Charbonnet,SEA,RB,23,121,2,0,69,6,0
David Montgomery,DET,RB,27,142,1,0,78,6,0
Chuba Hubbard,CAR,RB,25,167,1,0,90,10,0
