Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Braelon Allen,NYJ,RB,22,61,0,0,36,2,0
Tyler Goodson,IND,RB,8,27,1,0,9,1,0
Jordan Mason,SF,RB,42,192,0,0,157,9,0
British Brooks,HST,FB,1,2,0,0,2,0,0
Isaiah Davis,NYJ,RB,7,60,0,0,26,1,0
Mike Boone,CAR,RB,5,20,0,0,5,0,0
Jonathan Taylor,IND,RB,74,398,4,0,169,9,0
Audric Estime,DEN,RB,41,190,2,0,110,4,0
Bucky Irving,TB,RB,57,242,1,0,119,9,0
Keaton Mitchell,BLT,RB,4,15,0,0,3,0,0
Antonio Gibson,NE,RB,35,139,1,0,91,6,0
Cam Akers,MIN,RB,24,110,1,0,68,4,0
JaMycal Hasty,NE,RB,4,20,0,0,6,0,0
Javonte Williams,DEN,RB,58,236,3,0,125,6,0
Tyjae Spears,TEN,RB,27,119,1,0,78,3,0
Terrell Jennings,NE,RB,2,3,0,0,3,0,0
Nick Chubb,CLV,RB,38,119,1,0,55,1,0
Chris Rodriguez Jr.,WAS,RB,10,50,0,0,26,2,0
Devin Singletary,NYG,RB,47,174,0,0,116,7,0
Michael Carter,ARZ,RB,3,13,0,0,9,0,0
Deuce Vaughn,DAL,RB,5,21,0,0,11,1,0
Jahmyr Gibbs,DET,RB,38,162,1,0,85,5,0
Zamir White,LV,RB,26,102,1,0,57,3,0
Ameer Abdullah,LV,RB,27,138,1,0,45,2,0
Jeff Wilson,MIA,RB,5,19,0,0,10,0,0
Emanuel Wilson,GB,RB,31,164,3,0,103,3,0
Khalil Herbert,CIN,RB,13,29,0,0,23,0,0
Kenny McIntosh,SEA,RB,9,61,0,0,28,1,0
Christian McCaffrey,SF,RB,11,74,0,0,23,3,0
C.J. Ham,MIN,FB,1,2,1,0,1,0,0
Trey Sermon,IND,RB,12,37,1,0,19,0,0
Ezekiel Elliott,DAL,RB,21,71,0,0,45,1,0
MarShawn Lloyd,GB,RB,3,6,0,0,4,0,0
Tyler Allgeier,ATL,RB,32,119,1,0,63,2,0
Cody Schrader,LA,RB,1,3,0,0,2,0,0
Zach Charbonnet,SEA,RB,41,141,3,0,97,9,0
David Montgomery,DET,RB,16,78,3,0,47,4,0
Josh Jacobs,GB,RB,80,341,3,0,187,12,0
Chuba Hubbard,CAR,RB,78,335,1,0,202,7,0
Rachaad White,TB,RB,44,247,0,0,157,7,0
Hassan Haskins,LAC,RB,10,17,0,0,15,0,0
Tyrone Tracy,NYG,RB,72,342,3,0,191,11,0
Jaylen Warren,PIT,RB,45,184,1,0,107,5,0
Ty Johnson,BUF,RB,9,29,0,0,21,0,0
Rico Dowdle,DAL,RB,80,320,2,0,170,4,0
Jaylen Wright,MIA,RB,12,49,0,0,38,2,0
Ty Chandler,MIN,RB,18,38,0,0,24,1,0
Jerome Ford,CLV,RB,26,146,0,0,94,2,0
Kareem Hunt,KC,RB,82,293,7,0,168,5,0
Derrick Henry,BLT,RB,110,552,7,0,171,16,0
Jeremy McNichols,WAS,RB,17,92,1,0,35,5,0
Kenneth Walker,SEA,RB,66,242,2,0,148,11,0
De'Von Achane,MIA,RB,31,83,1,0,24,1,0
Julius Chestnut,TEN,RB,5,22,0,0,15,1,0
Bijan Robinson,ATL,RB,55,268,0,0,126,13,0
Trey Benson,ARZ,RB,5,35,0,0,16,1,0
Jaleel McLaughlin,DEN,RB,30,162,0,0,69,6,0
Dalvin Cook,DAL,RB,3,6,0,0,7,0,0
Tyler Badie,DEN,RB,5,23,0,0,13,0,0
Clyde Edwards-Helaire,NO,RB,4,10,0,0,5,0,0
Tank Bigsby,JAX,RB,39,234,3,0,165,5,0
D'Onta Foreman,CLV,RB,24,56,0,0,35,1,0
Kenneth Gainwell,PHI,RB,33,115,1,0,62,1,0
Isiah Pacheco,KC,RB,38,138,1,0,70,3,0
Sean Tucker,TB,RB,19,113,1,0,43,3,0
