Name,Team,POS,ATT,Y/A,ANY/A,DB,YDS,CMP,SCRM,TD
Shane Buechele,KC,QB,1,2,2,1,2,1,,
Clayton Tune,GB,QB,1,,,1,,,,
Josh Allen,BUF,QB,26,5.77,5.21,30,150,14,1,3
Max Brosmer,MIN,QB,,,-7,1,,,,
Michael Penix,ATL,QB,12,2.5,5.77,13,30,8,,3
Tyrod Taylor,NYJ,QB,5,5.6,9.6,5,28,3,,1
Shedeur Sanders,CLV,QB,9,7.44,7.3,10,67,3,,1
Jalen Hurts,PHI,QB,42,5.83,7.5,42,245,25,,8
Cooper Rush,BLT,QB,1,,,1,,1,,
Malik Willis,GB,QB,3,3.33,10,3,10,2,,1
Riley Leonard,IND,QB,2,6,6,2,12,1,,
Davis Mills,HST,QB,7,1.14,-5.29,7,8,1,,
Trey Lance,LAC,QB,4,3,3,4,12,1,,
Tyler Shough,NO,QB,6,7.17,10.5,7,43,4,1,1
Chris Oladokun,KC,QB,3,1.67,1.67,3,5,1,,
Lamar Jackson,BLT,QB,30,7.4,8.44,33,222,15,1,6
Bo Nix,DEN,QB,23,4.26,7.52,24,98,14,1,6
Trevor Lawrence,JAX,QB,29,8.9,9.24,30,258,17,1,5
Andy Dalton,CAR,QB,1,5,5,1,5,1,,
Sam Darnold,SEA,QB,13,7.69,5.38,13,100,8,,3
Jayden Daniels,WAS,QB,8,5.25,9,9,42,6,,2
Brandon Allen,TEN,QB,2,,,2,,,,
Mac Jones,SF,QB,4,1.75,11.75,4,7,2,,2
Kirk Cousins,ATL,QB,9,3.11,-2.5,10,28,6,,
Joshua Dobbs,NE,QB,1,,,1,,,,
Philip Rivers,IND,QB,4,3.25,2,4,13,2,,2
Joe Burrow,CIN,QB,9,3.89,5.56,9,35,4,,3
Russell Wilson,NYG,QB,4,,-2.2,5,,,,
Anthony Richardson,IND,QB,1,9,9,1,9,1,,
Joe Flacco,CIN,QB,4,,,4,,,,
Daniel Jones,IND,QB,16,4.06,6.76,18,65,5,1,3
Jacoby Brissett,ARZ,QB,11,4.73,8.36,11,52,8,,2
C.J. Stroud,HST,QB,17,1.59,1.47,19,27,6,,1
Jared Goff,DET,QB,33,4.79,5.77,35,158,14,,3
Cam Ward,TEN,QB,9,3.11,-1.58,12,28,5,,1
Kyler Murray,ARZ,QB,4,1.5,2.2,5,6,2,,1
Jake Browning,CIN,QB,3,,,3,,,,
Josh Johnson,WAS,QB,1,2,22,2,2,1,1,1
Tua Tagovailoa,MIA,QB,13,3.23,12.46,13,42,7,,6
Gardner Minshew,KC,QB,2,5.5,5.5,2,11,2,,
Caleb Williams,CHI,QB,34,4.12,6.66,37,140,15,2,7
Nick Mullens,JAX,QB,1,3,3,1,3,1,,
Justin Fields,NYJ,QB,12,9.58,14.13,16,115,8,1,6
Dillon Gabriel,CLV,QB,7,0.43,3.29,7,3,2,,1
Brock Purdy,SF,QB,7,6,11.71,7,42,5,,2
Justin Herbert,LAC,QB,15,6.73,7.06,20,101,9,2,2
Drake Maye,NE,QB,23,3.61,6.36,26,83,10,1,4
Geno Smith,LV,QB,16,7.56,6.95,20,121,10,,3
Aidan O'Connell,LV,QB,2,,,2,,,,
Matthew Stafford,LA,QB,33,4.03,12.59,34,133,22,,15
J.J. McCarthy,MIN,QB,9,4.33,-3.44,9,39,4,,1
Patrick Mahomes,KC,QB,19,4.47,6.2,20,85,13,,7
Marcus Mariota,WAS,QB,15,5.6,8.27,15,84,8,,2
Tyler Huntley,BLT,QB,2,10,17.33,4,20,2,1,2
Mason Rudolph,PIT,QB,3,8,14.67,3,24,2,,1
Aaron Rodgers,PIT,QB,15,4.47,9.8,16,67,7,1,4
Baker Mayfield,TB,QB,10,5.1,9.1,10,51,6,,2
Joe Milton,DAL,QB,2,5.5,5.5,2,11,1,,
Carson Wentz,MIN,QB,2,,,2,,,,
Dak Prescott,DAL,QB,30,4.97,7.63,30,149,17,,4
Spencer Rattler,NO,QB,7,5.57,8.43,9,39,5,2,1
Jaxson Dart,NYG,QB,15,2.93,0.69,17,44,5,1,1
Brady Cook,NYJ,QB,3,6,6,3,18,1,,
Bryce Young,CAR,QB,10,2.1,6.91,12,21,6,1,3
Jordan Love,GB,QB,15,5,15.67,15,75,11,,8
Mitchell Trubisky,BUF,QB,3,0.67,7.33,3,2,1,,1
