Name,Team,POS,ATT,Y/A,ANY/A,DB,YDS,TD,CMP,SCRM
Kirk Cousins,ATL,QB,51,7.1,7.3,54,362,2,25,
Joshua Dobbs,NE,QB,2,6,6,2,12,,2,
Mac Jones,SF,QB,40,7.42,8.26,43,297,3,27,1
Philip Rivers,IND,QB,20,4.65,4.05,21,93,,8,
Joe Burrow,CIN,QB,46,5.24,6.43,47,241,5,24,1
Russell Wilson,NYG,QB,18,7.61,4.4,23,137,,11,3
Bo Nix,DEN,QB,71,7.56,7.24,78,537,4,42,6
Trevor Lawrence,JAX,QB,100,8.2,6.89,114,820,6,56,6
Andy Dalton,CAR,QB,10,11,11,11,110,1,9,
Sam Darnold,SEA,QB,78,8.24,7.17,84,643,7,50,3
Jayden Daniels,WAS,QB,46,6.89,6.49,54,317,1,19,5
Brandon Allen,TEN,QB,5,6.2,6.2,5,31,,3,
Chris Oladokun,KC,QB,8,1.38,0.11,9,11,,3,
Lamar Jackson,BLT,QB,82,9.12,8.29,94,748,6,49,5
Kenny Pickett,LV,QB,11,2.18,0.07,15,24,,7,1
Trey Lance,LAC,QB,6,4,2.29,7,24,,3,
Tyler Shough,NO,QB,38,8.84,7.86,46,336,2,24,3
Jalen Hurts,PHI,QB,74,7.16,8.03,87,530,8,42,7
Cooper Rush,BLT,QB,10,10.5,6,10,105,,7,
Malik Willis,GB,QB,6,14.5,17.83,7,87,1,6,1
Riley Leonard,IND,QB,8,2.38,2.38,10,19,,4,2
Davis Mills,HST,QB,29,5.31,4.9,31,154,,14,1
Josh Allen,BUF,QB,125,7.22,5.49,146,902,5,78,12
Max Brosmer,MIN,QB,12,3.83,1.73,16,46,,6,1
Michael Penix,ATL,QB,54,5.61,4.52,58,303,1,20,2
Tyrod Taylor,NYJ,QB,25,3.68,1.88,28,92,,12,3
Shedeur Sanders,CLV,QB,34,8.79,7.11,41,299,,16,3
Jameis Winston,NYG,QB,26,8.15,7.18,29,212,,12,1
Jaxson Dart,NYG,QB,75,7.23,6.11,97,542,4,44,10
Brady Cook,NYJ,QB,20,3,-2.23,22,60,,8,
Bryce Young,CAR,QB,83,5.81,4.68,92,482,5,39,4
Jordan Love,GB,QB,110,8.07,7.79,120,888,6,63,6
Mitchell Trubisky,BUF,QB,7,9.43,15.14,8,66,2,6,1
Mason Rudolph,PIT,QB,10,5.5,5.5,10,55,,5,
Aaron Rodgers,PIT,QB,94,6.53,7.15,102,614,6,49,3
Baker Mayfield,TB,QB,114,4.89,4.33,139,558,6,61,16
Quinn Ewers,MIA,QB,10,5.7,4.91,12,57,,7,1
Joe Milton,DAL,QB,3,18,18,3,54,,3,
Carson Wentz,MIN,QB,35,4.83,2.59,40,169,,19,1
Dak Prescott,DAL,QB,97,9.29,8.78,105,901,5,61,4
Marcus Mariota,WAS,QB,50,4.84,4.23,54,242,2,24,2
Spencer Rattler,NO,QB,37,6.03,5.55,42,223,2,25,4
Shane Buechele,KC,QB,3,3.33,,6,10,,1,
Tyler Huntley,BLT,QB,15,8.47,8.47,16,127,,12,1
Justin Herbert,LAC,QB,139,6.5,5.39,161,903,4,79,10
Drake Maye,NE,QB,96,12.01,11.81,120,1153,11,70,13
Geno Smith,LV,QB,90,6.72,4.89,105,605,2,51,5
Aidan O'Connell,LV,QB,5,6.4,6.4,6,32,,3,1
Matthew Stafford,LA,QB,124,8.31,8.02,130,1030,8,76,2
J.J. McCarthy,MIN,QB,47,7.53,4.33,57,354,4,24,2
Patrick Mahomes,KC,QB,131,5.67,4.45,152,743,4,66,13
Tyson Bagent,CHI,QB,1,22,22,2,22,,1,1
Teddy Bridgewater,TB,QB,4,4.5,4.5,5,18,,3,1
Nick Mullens,JAX,QB,1,8,8,1,8,,1,
Zach Wilson,MIA,QB,1,,,1,,,,
Justin Fields,NYJ,QB,39,5.44,3.58,49,212,1,23,1
Dillon Gabriel,CLV,QB,47,5.72,4.75,53,269,1,29,
Brock Purdy,SF,QB,59,6.2,7.43,61,366,5,37,
Tua Tagovailoa,MIA,QB,37,5.65,5.51,42,209,1,20,3
Gardner Minshew,KC,QB,1,,-45,1,,,,
Caleb Williams,CHI,QB,91,7.21,7.34,104,656,3,51,9
Jared Goff,DET,QB,103,8.09,9.15,111,833,11,61,1
Cam Ward,TEN,QB,88,5.65,4.22,106,497,4,43,4
Kyler Murray,ARZ,QB,17,4.35,3.26,19,74,2,10,
Tanner McKee,PHI,QB,12,5.08,5.08,13,61,,7,1
Jake Browning,CIN,QB,16,8.62,10.06,19,138,2,11,2
Josh Johnson,WAS,QB,9,13.22,11.1,13,119,,5,3
Joe Flacco,CIN,QB,99,5.92,4.05,109,586,6,53,3
Daniel Jones,IND,QB,68,7.99,7.74,76,543,5,40,4
Kyle Allen,DET,QB,1,,,1,,,,
Jacoby Brissett,ARZ,QB,75,7,4.6,87,525,1,40,2
C.J. Stroud,HST,QB,76,8.32,8.14,85,632,5,50,5
