Name,Team,POS,ATT,Y/A,ANY/A,DB,YDS,CMP,SCRM,TD
Kirk Cousins,ATL,QB,7,1.57,0.38,8,11,2,,
C.J. Stroud,HST,QB,11,3.55,3.55,13,39,3,2,
Jacoby Brissett,ARZ,QB,5,5.4,4,7,27,3,1,
Joe Flacco,CIN,QB,14,8,8,14,112,10,,
Daniel Jones,IND,QB,1,16,8,2,16,1,,
Jake Browning,CIN,QB,5,2.2,0.67,6,11,3,,
Philip Rivers,IND,QB,3,6.33,6.33,3,19,1,,
Jared Goff,DET,QB,6,11.83,8.71,7,71,4,,
Cam Ward,TEN,QB,8,13.12,13.12,8,105,6,,
Caleb Williams,CHI,QB,,,,1,,,1,
Tua Tagovailoa,MIA,QB,12,8.08,8.92,13,97,10,,1
Brock Purdy,SF,QB,2,11.5,21.5,2,23,2,,1
Justin Fields,NYJ,QB,1,,,2,,,1,
Dillon Gabriel,CLV,QB,7,6.57,5,12,46,6,4,
J.J. McCarthy,MIN,QB,5,11.8,15.8,5,59,5,,1
Patrick Mahomes,KC,QB,12,3.67,3.23,14,44,5,1,
Matthew Stafford,LA,QB,8,1.38,1.38,8,11,1,,
Drake Maye,NE,QB,12,6.75,6.75,13,81,8,1,
Geno Smith,LV,QB,6,5.5,5.5,6,33,4,,
Justin Herbert,LAC,QB,6,6.33,6.33,6,38,4,,
Aidan O'Connell,LV,QB,2,,,2,,,,
Marcus Mariota,WAS,QB,1,-2,-4,3,-2,1,1,
Carson Wentz,MIN,QB,8,3.88,-0.17,15,31,4,3,
Quinn Ewers,MIA,QB,1,,-5,2,,,,
Dak Prescott,DAL,QB,20,8.15,6.35,24,163,14,1,
Spencer Rattler,NO,QB,6,1.83,1.83,6,11,1,,
Aaron Rodgers,PIT,QB,20,3.75,0.64,23,75,8,1,
Baker Mayfield,TB,QB,7,6.14,6.5,9,43,4,1,1
Mason Rudolph,PIT,QB,2,9.5,9.5,2,19,2,,
Bryce Young,CAR,QB,2,,,2,,,,
Jordan Love,GB,QB,8,9.25,9.78,10,74,5,1,1
Jaxson Dart,NYG,QB,1,,,1,,,,
Brady Cook,NYJ,QB,2,7,7,2,14,1,,
Jameis Winston,NYG,QB,1,,,1,,,,
Michael Penix,ATL,QB,3,2.67,1,5,8,1,1,
Shedeur Sanders,CLV,QB,5,10.2,6.67,7,51,3,1,
Davis Mills,HST,QB,3,4.67,4.67,3,14,2,,
Jalen Hurts,PHI,QB,10,7.9,9.9,10,79,5,,1
Cooper Rush,BLT,QB,2,8,8,2,16,2,,
Tyler Shough,NO,QB,6,6.5,4,8,39,4,,
Trey Lance,LAC,QB,,,,1,,,1,
Kenny Pickett,LV,QB,3,5,2.5,5,15,1,1,
Lamar Jackson,BLT,QB,2,17,16.67,4,34,2,1,1
Chris Oladokun,KC,QB,1,11,11,1,11,1,,
Andy Dalton,CAR,QB,3,12.67,7.25,4,38,2,,
Sam Darnold,SEA,QB,11,6.82,5.58,12,75,9,,
Trevor Lawrence,JAX,QB,3,10.33,10.33,5,31,3,2,
Bo Nix,DEN,QB,4,12,-0.8,5,48,2,,
Joe Burrow,CIN,QB,9,5.78,4.7,10,52,4,,
Mac Jones,SF,QB,2,,-3,3,,,,
