Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Elijah Arroyo,SEA,TE,3,1,1,10,6,4
Darius Slayton,NYG,WR,2,,,,,
Dare Ogunbowale,HST,RB,5,,,,,
Nico Collins,HST,WR,16,4,1,8,41,2
Jake Ferguson,DAL,TE,21,5,4,50,48,7
Jerry Jeudy,CLV,WR,21,2,2,18,15,3
Davante Adams,LA,WR,6,2,,,45,
Emari Demercado,ARZ,RB,1,,,,,
Jordan Whittington,LA,WR,2,,,,,
Josh Whyle,GB,TE,2,,,,,
Travis Etienne,JAX,RB,1,,,,,
Quentin Skinner,NYJ,WR,1,,,,,
Samaje Perine,CIN,RB,11,1,,,-5,
Jaret Patterson,LAC,RB,1,,,,,
Saquon Barkley,PHI,RB,7,,,,,
Evan Engram,DEN,TE,3,,,,,
Jamari Thrash,CLV,WR,5,1,,,3,
Matthew Golden,GB,WR,7,1,1,31,29,2
Will Dissly,LAC,TE,2,,,,,
Miles Sanders,DAL,RB,2,,,,,
Charlie Jones,CIN,WR,1,,,,,
KhaDarel Hodge,ATL,WR,2,,,,,
Pat Bryant,DEN,WR,2,,,,,
Marquez Valdes-Scantling,PIT,WR,6,,,,,
Dylan Sampson,CLV,RB,4,2,2,18,6,12
Adonai Mitchell,NYJ,WR,1,,,,,
Nick Westbrook-Ikhine,MIA,WR,3,1,,,5,
Jake Bobo,SEA,WR,1,,,,,
Brevyn Spann-Ford,DAL,TE,1,,,,,
Tyler Higbee,LA,TE,1,,,,,
Kayshon Boutte,NE,WR,7,,,,,
Jonathan Mingo,DAL,WR,2,,,,,
Cooper Kupp,SEA,WR,12,3,3,26,6,20
Tommy Tremble,CAR,TE,2,,,,,
Ja'Marr Chase,CIN,WR,28,4,3,27,18,12
Adam Trautman,DEN,TE,1,,,,,
Justice Hill,BLT,RB,4,,,,,
Anthony Firkser,DET,TE,3,,,,,
Tyler Conklin,LAC,TE,1,,,,,
Shedrick Jackson,LV,WR,1,,,,,
Kyle Williams,NE,WR,3,,,,,
Chris Brooks,GB,RB,2,,,,,
Christian Watson,GB,WR,4,1,1,8,9,-1
Nick Chubb,HST,RB,3,1,1,27,-3,30
Michael Carter,ARZ,RB,2,1,1,16,3,13
Tyjae Spears,TEN,RB,5,1,1,7,8,-1
Rome Odunze,CHI,WR,1,,,,,
Isaiah Davis,NYJ,RB,1,,,,,
Colby Parkinson,LA,TE,5,1,,,20,
Isaiah Bond,CLV,WR,11,2,2,49,44,5
Tyler Allgeier,ATL,RB,1,,,,,
KeAndre Lambert-Smith,LAC,WR,1,,,,,
Josh Downs,IND,WR,3,1,,,4,
Tetairoa McMillan,CAR,WR,6,2,1,16,28,
Devaughn Vele,NO,WR,6,2,1,11,22,1
Quinshon Judkins,CLV,RB,3,1,1,-6,-6,
Ameer Abdullah,IND,RB,1,,,,,
David Sills,ATL,WR,9,2,1,4,19,1
Trayveon Williams,CLV,RB,2,,,,,
Devin Singletary,NYG,RB,1,,,,,
Gage Larvadain,CLV,WR,8,1,1,14,12,2
Isaiah Hodgins,NYG,WR,1,1,,,11,
Tanner Conner,MIA,TE,6,1,1,14,11,3
Moliki Matavao,NO,TE,1,,,,,
Tahj Washington,MIA,WR,1,,,,,
Ja'Tavion Sanders,CAR,TE,4,,,,,
Jauan Jennings,SF,WR,5,,,,,
Jaylen Warren,PIT,RB,3,1,1,5,-2,7
Kendrick Bourne,SF,WR,5,2,1,14,18,-1
Jack Bech,LV,WR,7,3,1,10,31,
Juwan Johnson,NO,TE,12,3,,,41,
David Montgomery,DET,RB,2,,,,,
Mack Hollins,NE,WR,8,3,1,15,52,3
Kenneth Gainwell,PIT,RB,19,3,1,4,5,3
Bhayshul Tuten,JAX,RB,2,,,,,
Casey Washington,ATL,WR,4,2,,,57,
Kevin Austin,NO,WR,1,,,,,
Tyler Badie,DEN,RB,2,,,,,
Jalen Brooks,ARZ,WR,1,,,,,
KaVontae Turpin,DAL,WR,12,2,1,16,22,
John Metchie,NYJ,WR,1,,,,,
Jalen Nailor,MIN,WR,18,2,1,11,30,
Marquise Brown,KC,WR,12,4,2,17,78,6
Jayden Higgins,HST,WR,10,2,,,34,
Luke Schoonmaker,DAL,TE,2,1,1,12,12,
Tre Harris,LAC,WR,5,1,1,8,7,1
Darius Cooper,PHI,WR,1,,,,,
Shane Zylstra,DET,TE,1,,,,,
Malik Heath,GB,WR,1,,,,,
Jalen McMillan,TB,WR,1,,,,,
Theo Johnson,NYG,TE,1,,,,,
Jahan Dotson,PHI,WR,9,2,1,24,37,4
DeVonta Smith,PHI,WR,9,,,,,
Jameson Williams,DET,WR,6,2,,,38,
Woody Marks,HST,RB,5,,,,,
James Proche,TEN,WR,1,,,,,
Puka Nacua,LA,WR,6,1,,,19,
Aaron Jones,MIN,RB,4,1,1,27,25,2
Luke Musgrave,GB,TE,3,1,,,1,
DeMario Douglas,NE,WR,5,,,,,
Cade Otton,TB,TE,7,,,,,
Christian Kirk,HST,WR,6,3,1,6,29,
Xavier Weaver,ARZ,WR,3,,,,,
Alvin Kamara,NO,RB,6,1,1,11,7,4
Jimmy Horn,CAR,WR,2,2,,,26,
Ray-Ray McCloud,NYG,WR,3,,,,,
DK Metcalf,PIT,WR,23,3,1,11,30,1
Parker Washington,JAX,WR,2,1,1,20,20,
Mark Andrews,BLT,TE,3,1,1,14,14,
Travis Hunter,JAX,WR,2,,,,,
Blake Corum,LA,RB,2,,,,,
Julian Hill,MIA,TE,2,,,,,
Tyquan Thornton,KC,WR,8,2,1,21,65,1
Breece Hall,NYJ,RB,2,1,,,9,
Greg Dortch,ARZ,WR,2,,,,,
Javonte Williams,DAL,RB,18,1,,,3,
Courtland Sutton,DEN,WR,5,1,1,20,20,
Audric Estime,NO,RB,1,,,,,
Charlie Kolar,BLT,TE,1,,,,,
Zach Ertz,WAS,TE,2,,,,,
Darnell Washington,PIT,TE,3,,,,,
Davis Allen,LA,TE,1,,,,,
Jonathan Taylor,IND,RB,4,1,1,19,1,18
Troy Franklin,DEN,WR,1,,,,,
