Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
J.K. Dobbins,DEN,RB,3,,,,,
Emari Demercado,ARZ,RB,6,1,1,28,,
Efton Chism,NE,WR,3,,,,,
Bam Knight,ARZ,RB,7,,,,,
Jaret Patterson,LAC,RB,6,,,,,
Samaje Perine,CIN,RB,16,,,,,
Travis Etienne,JAX,RB,19,1,1,20,20,
Josh Whyle,GB,TE,8,,,,,
Jordan Whittington,LA,WR,16,1,1,40,29,11
Ronnie Rivers,LA,RB,1,,,,,
Elijah Arroyo,SEA,TE,10,4,3,85,90,16
Darius Slayton,NYG,WR,39,10,2,83,281,31
Brandon Smith,NYJ,WR,1,,,,,
Jake Ferguson,DAL,TE,39,7,3,55,137,7
Davante Adams,LA,WR,40,14,4,108,382,3
Dare Ogunbowale,HST,RB,1,,,,,
Jerry Jeudy,CLV,WR,42,15,3,60,352,4
Nico Collins,HST,WR,31,16,7,192,368,33
Marquez Valdes-Scantling,PIT,WR,31,7,1,19,155,4
Pat Bryant,DEN,WR,29,3,1,24,90,
Brevyn Spann-Ford,DAL,TE,7,2,,,43,
Tyler Higbee,LA,TE,15,2,,,32,
Jake Bobo,SEA,WR,1,,,,,
Adonai Mitchell,NYJ,WR,29,18,4,160,563,50
Dylan Sampson,CLV,RB,7,,,,,
Jawhar Jordan,HST,RB,1,,,,,
Nick Westbrook-Ikhine,MIA,WR,15,1,1,18,14,4
Jamari Thrash,CLV,WR,10,,,,,
Matthew Golden,GB,WR,16,6,3,96,210,14
Saquon Barkley,PHI,RB,22,1,,,31,
Evan Engram,DEN,TE,30,3,,,54,
Rasheen Ali,BLT,RB,10,,,,,
Keleki Latu,BUF,TE,2,,,,,
Miles Sanders,DAL,RB,3,,,,,
Charlie Jones,CIN,WR,1,,,,,
KhaDarel Hodge,ATL,WR,6,3,,,75,
Will Dissly,LAC,TE,8,1,,,13,
Tommy Tremble,CAR,TE,16,1,,,12,
Jonathan Mingo,DAL,WR,1,,,,,
Cooper Kupp,SEA,WR,23,1,1,32,18,14
D'Andre Swift,CHI,RB,6,,,,,
Adam Trautman,DEN,TE,12,1,1,13,12,1
Trevor Etienne,CAR,RB,2,,,,,
Ja'Marr Chase,CIN,WR,70,19,6,188,486,50
Tahj Brooks,CIN,RB,1,,,,,
Robbie Chosen,WAS,WR,4,3,,,70,
Ben Sims,MIN,TE,2,,,,,
Hunter Long,JAX,TE,8,,,,,
Sal Cannella,CLV,TE,1,,,,,
Kayshon Boutte,NE,WR,36,13,9,201,326,10
Chris Brooks,GB,RB,5,,,,,
Christian Watson,GB,WR,19,7,2,68,249,6
George Holani,SEA,RB,1,,,,,
Tom Kennedy,DET,WR,1,1,1,23,20,3
Tyler Conklin,LAC,TE,7,,,,,
Anthony Firkser,DET,TE,6,1,1,18,17,1
Justice Hill,BLT,RB,10,,,,,
Kyle Williams,NE,WR,13,6,2,70,190,
James Conner,ARZ,RB,1,,,,,
Shedrick Jackson,LV,WR,2,1,,,28,
Jacory Croskey-Merritt,WAS,RB,5,,,,,
Rome Odunze,CHI,WR,21,7,3,94,219,25
Brenden Bates,CLV,TE,2,,,,,
Isaiah Bond,CLV,WR,30,14,5,194,462,28
Isaiah Davis,NYJ,RB,10,1,,,20,
Colby Parkinson,LA,TE,24,5,2,32,99,3
Tyjae Spears,TEN,RB,18,,,,,
Josh Oliver,MIN,TE,5,1,1,18,14,4
Nick Chubb,HST,RB,9,,,,,
Michael Carter,ARZ,RB,22,1,,,36,
Bucky Irving,TB,RB,15,,,,,
Keaton Mitchell,BLT,RB,1,,,,,
DJ Moore,CHI,WR,22,6,1,25,157,2
David Sills,ATL,WR,28,2,,,45,
Zamir White,LV,RB,4,,,,,
Ameer Abdullah,IND,RB,4,,,,,
Isaiah Hodgins,NYG,WR,12,4,1,30,82,1
Devin Singletary,NYG,RB,8,,,,,
Gage Larvadain,CLV,WR,8,1,,,28,
Trayveon Williams,CLV,RB,6,,,,,
Foster Moreau,NO,TE,2,,,,,
Tyler Allgeier,ATL,RB,4,,,,,
KeAndre Lambert-Smith,LAC,WR,3,3,,,108,
Quinshon Judkins,CLV,RB,10,,,,,
Devaughn Vele,NO,WR,22,3,,,93,
Josh Downs,IND,WR,35,3,,,79,
Tetairoa McMillan,CAR,WR,47,25,7,131,526,27
Hassan Haskins,LAC,RB,1,,,,,
Jack Bech,LV,WR,17,3,1,17,62,
Andrew Ogletree,IND,TE,4,,,,,
Jaylen Warren,PIT,RB,11,,,,,
Mack Hollins,NE,WR,27,10,3,100,338,19
Kendrick Bourne,SF,WR,18,2,1,17,35,2
Juwan Johnson,NO,TE,46,11,6,146,212,26
David Montgomery,DET,RB,10,,,,,
Ja'Tavion Sanders,CAR,TE,23,3,1,18,54,2
Jahdae Walker,CHI,WR,1,,,,,
Moliki Matavao,NO,TE,2,,,,,
Tahj Washington,MIA,WR,3,1,,,44,
Tanner Conner,MIA,TE,7,4,2,43,68,14
Quintin Morris,JAX,TE,6,1,,,19,
Ashton Dulin,IND,WR,4,2,1,35,46,6
Jauan Jennings,SF,WR,24,5,,,102,
KaVontae Turpin,DAL,WR,23,3,2,37,96,3
Marquise Brown,KC,WR,23,7,3,56,189,13
John Metchie,NYJ,WR,17,1,,,19,
Jalen Nailor,MIN,WR,29,9,4,127,204,46
Bhayshul Tuten,JAX,RB,10,,,,,
Casey Washington,ATL,WR,5,3,,,84,
Kenneth Gainwell,PIT,RB,42,2,1,45,49,12
Tyler Badie,DEN,RB,16,,,,,
Jalen Brooks,ARZ,WR,5,,,,,
Kevin Austin,NO,WR,14,2,1,36,37,22
Darius Cooper,PHI,WR,4,1,,,28,
Jack Stoll,NO,TE,1,,,,,
Russell Gage,SF,WR,2,,,,,
Nate Adkins,DEN,TE,2,1,1,16,12,4
Tre Harris,LAC,WR,26,8,2,61,222,8
Luke Schoonmaker,DAL,TE,15,1,,,20,
Malik Heath,GB,WR,6,1,1,37,37,
Jalen Royals,KC,WR,2,,,,,
Shane Zylstra,DET,TE,4,1,,,12,
Jayden Higgins,HST,WR,28,9,2,47,196,3
Skyy Moore,SF,WR,5,1,,,43,
David Martin-Robinson,TEN,TE,2,,,,,
Puka Nacua,LA,WR,45,20,9,276,503,34
Woody Marks,HST,RB,18,,,,,
James Proche,TEN,WR,7,3,1,23,67,3
Xavier Restrepo,TEN,WR,1,,,,,
Luke Musgrave,GB,TE,12,,,,,
Aaron Jones,MIN,RB,10,,,,,
Luke Farrell,SF,TE,2,1,,,10,
Christian Kirk,HST,WR,21,3,,,72,
Jahan Dotson,PHI,WR,32,4,2,74,115,9
DeVonta Smith,PHI,WR,46,17,5,244,580,47
D'Ernest Johnson,NE,RB,4,,,,,
Theo Johnson,NYG,TE,41,11,4,65,194,12
Jalen McMillan,TB,WR,7,1,1,33,28,5
Mitchell Evans,CAR,TE,11,2,2,27,27,6
Jameson Williams,DET,WR,32,9,3,96,276,25
Tucker Fisk,LAC,TE,3,,,,,
Tai Felton,MIN,WR,1,,,,,
Jimmy Horn,CAR,WR,7,2,1,34,39,6
Brian Robinson,SF,RB,2,,,,,
Alvin Kamara,NO,RB,15,,,,,
Gunner Olszewski,NYG,WR,6,2,,,42,
Eric Saubert,SEA,TE,3,,,,,
Ray-Ray McCloud,NYG,WR,9,,,,,
Malik Nabers,NYG,WR,23,13,4,126,401,6
James Mitchell,CAR,TE,1,,,,,
Cade Otton,TB,TE,36,4,3,51,56,12
DeMario Douglas,NE,WR,17,2,1,44,30,20
Xavier Weaver,ARZ,WR,18,3,,,96,
Taysom Hill,NO,TE,4,,,,,
Colson Yankoff,WAS,TE,1,,,,,
Julian Hill,MIA,TE,7,1,,,23,
Dameon Pierce,KC,RB,1,,,,,
Blake Corum,LA,RB,11,,,,,
Breece Hall,NYJ,RB,13,,,,,
Trent Sherfield,ARZ,WR,3,1,,,29,
Tyquan Thornton,KC,WR,22,13,2,32,425,4
DK Metcalf,PIT,WR,47,28,10,256,631,46
Mark Andrews,BLT,TE,36,6,4,58,71,19
Parker Washington,JAX,WR,25,9,2,37,226,6
Travis Hunter,JAX,WR,12,1,1,21,17,4
Kendre Miller,NO,RB,1,,,,,
Jonathan Taylor,IND,RB,34,1,,,23,
Malik Washington,MIA,WR,26,5,2,23,112,5
Troy Franklin,DEN,WR,49,16,3,95,532,26
Michael Pittman,IND,WR,41,11,3,56,241,8
Laquon Treadwell,IND,WR,1,,,,,
Tyler Goodson,IND,RB,1,,,,,
Jordan Mason,MIN,RB,13,,,,,
Tre Tucker,LV,WR,47,11,5,149,309,28
Javonte Williams,DAL,RB,29,,,,,
Courtland Sutton,DEN,WR,59,29,14,328,634,73
Greg Dortch,ARZ,WR,17,2,1,17,58,
Zach Ertz,WAS,TE,32,4,2,36,66,18
Darnell Washington,PIT,TE,15,2,1,11,22,2
Audric Estime,NO,RB,13,,,,,
Charlie Kolar,BLT,TE,8,2,1,19,36,4
Davis Allen,LA,TE,13,2,1,20,36,6
Tip Reiman,ARZ,TE,2,,,,,
Tyrell Shavers,BUF,WR,19,5,3,91,153,2
Zavier Scott,MIN,RB,3,1,1,16,25,
Jahmyr Gibbs,DET,RB,19,,,,,
Cody White,SEA,WR,5,,,,,
Hunter Henry,NE,TE,43,6,3,62,101,16
Dalton Kincaid,BUF,TE,16,6,3,72,109,24
Jakobi Meyers,JAX,WR,44,7,2,37,138,7
Tay Martin,WAS,WR,1,,,,,
Gabe Davis,BUF,WR,9,1,,,22,
Michael Wilson,ARZ,WR,45,20,9,226,524,15
Ian Thomas,LV,TE,5,,,,,
Zay Flowers,BLT,WR,38,9,7,265,269,44
T.J. Hockenson,MIN,TE,36,5,3,69,74,22
Stone Smartt,NYJ,TE,2,,,,,
Simi Fehoko,ARZ,WR,4,,,,,
Xavier Hutchinson,HST,WR,28,6,,,137,
Brian Thomas,JAX,WR,35,20,7,199,503,55
DeAndre Hopkins,BLT,WR,26,15,6,138,327,7
Josh Reynolds,NYJ,WR,6,2,,,70,
Noah Gray,KC,TE,16,4,1,28,46,16
Chimere Dike,TEN,WR,31,8,2,40,187,7
Tim Patrick,JAX,WR,12,4,1,37,80,5
Tyrone Tracy,NYG,RB,29,,,,,
Michael Mayer,LV,TE,21,7,5,71,92,27
Devin Culp,TB,TE,3,,,,,
Jelani Woods,NYJ,TE,1,,,,,
Ollie Gordon,MIA,RB,7,,,,,
Marvin Harrison,ARZ,WR,26,14,7,186,348,18
Mo Alie-Cox,IND,TE,8,3,1,16,29,
Rashee Rice,KC,WR,17,3,1,24,69,6
Britain Covey,PHI,WR,2,,,,,
Austin Hooper,NE,TE,18,5,4,100,99,17
Justin Watson,HST,WR,2,,,,,
Jaylen Wright,MIA,RB,2,,,,,
Tyler Lockett,LV,WR,28,3,2,33,27,8
Jordan Addison,MIN,WR,34,12,6,222,313,76
Lil'Jordan Humphrey,DEN,WR,18,2,1,34,68,2
Keon Coleman,BUF,WR,23,12,3,69,284,8
Xavier Smith,LA,WR,21,4,1,48,161,6
Kenneth Walker,SEA,RB,12,,,,,
De'Von Achane,MIA,RB,25,3,2,20,37,5
Mike Evans,TB,WR,18,13,5,134,334,14
John FitzPatrick,GB,TE,7,,,,,
Brashard Smith,KC,RB,5,1,,,11,
Sean Tucker,TB,RB,5,,,,,
Treyton Welch,NO,TE,1,,,,,
Xavier Gipson,PHI,WR,1,,,,,
Cedrick Wilson,MIA,WR,3,,,,,
Tank Bigsby,PHI,RB,3,,,,,
Ashton Jeanty,LV,RB,22,1,1,60,26,34
Kyle Monangai,CHI,RB,6,,,,,
Ben Sinnott,WAS,TE,5,2,1,36,47,14
Jaydon Blue,DAL,RB,2,,,,,
Stefon Diggs,NE,WR,35,6,4,95,130,16
Jaylin Noel,HST,WR,15,2,,,59,
Zay Jones,ARZ,WR,11,2,1,43,75,3
Isaac TeSlaa,DET,WR,18,9,4,74,200,1
Allen Lazard,NYJ,WR,11,3,,,111,
Hunter Renfrow,CAR,WR,20,3,,,53,
Andrei Iosivas,CIN,WR,50,4,3,67,92,9
Jeremy Ruckert,NYJ,TE,14,,,,,
Kalif Raymond,DET,WR,11,1,1,30,24,6
Darnell Mooney,ATL,WR,37,7,1,38,200,11
Najee Harris,LAC,RB,1,,,,,
Chase Brown,CIN,RB,37,2,1,5,11,
Curtis Samuel,BUF,WR,3,1,,,44,
Tanner Hudson,CIN,TE,13,3,2,47,59,14
Dylan Drummond,ATL,WR,10,1,,,38,
Drew Sample,CIN,TE,20,,,,,
Daniel Bellinger,NYG,TE,21,4,3,91,86,15
Austin Ekeler,WAS,RB,2,,,,,
Devontez Walker,BLT,WR,5,2,,,83,
Dontayvion Wicks,GB,WR,12,3,2,52,90,6
Malik Davis,DAL,RB,4,,,,,
Dawson Knox,BUF,TE,22,3,3,67,57,11
Emeka Egbuka,TB,WR,39,22,4,132,571,25
Cam Skattebo,NYG,RB,11,,,,,
Marcedes Lewis,DEN,TE,1,,,,,
Noah Brown,WAS,WR,3,1,,,30,
Dont'e Thornton,LV,WR,20,10,1,36,298,-1
John Bates,WAS,TE,7,1,1,19,13,6
Trey McBride,ARZ,TE,50,11,5,81,217,14
Kyren Williams,LA,RB,33,1,1,30,27,3
Payne Durham,TB,TE,9,1,,,19,
Tucker Kraft,GB,TE,12,3,3,58,49,9
Will Shipley,PHI,RB,6,,,,,
Raheem Mostert,LV,RB,7,,,,,
Jalen Coker,CAR,WR,20,4,4,114,93,21
Dallas Goedert,PHI,TE,39,5,3,72,94,20
Arian Smith,NYJ,WR,10,3,,,99,
Marvin Mims,DEN,WR,29,8,4,111,260,9
Cedric Tillman,CLV,WR,23,4,1,26,110,10
Calvin Ridley,TEN,WR,17,3,1,38,89,6
Chris Godwin,TB,WR,22,3,1,31,67,11
Terry McLaurin,WAS,WR,20,9,4,140,251,33
Harold Fannin,CLV,TE,31,4,3,86,65,32
Kyle Pitts,ATL,TE,43,11,6,119,198,33
Dante Pettis,NO,WR,14,2,1,26,63,3
TreVeyon Henderson,NE,RB,16,,,,,
Jayden Reed,GB,WR,12,5,3,73,102,11
Devin Neal,NO,RB,10,,,,,
Oronde Gadsden,LAC,TE,29,8,6,197,168,69
Jonnu Smith,PIT,TE,30,1,,,28,
Harrison Bryant,HST,TE,6,2,,,30,
Tylan Wallace,BLT,WR,6,1,,,31,
Josiah Deguara,ARZ,TE,8,1,1,7,9,
Adam Thielen,PIT,WR,24,4,2,45,65,13
Elijah Higgins,ARZ,TE,26,1,,,16,
Chris Moore,WAS,WR,12,2,1,22,55,
Tutu Atwell,LA,WR,13,1,1,88,26,62
CJ Dippre,NE,TE,1,,,,,
David Moore,CAR,WR,4,,,,,
Amon-Ra St. Brown,DET,WR,30,8,4,75,177,7
Isaiah Williams,NYJ,WR,13,1,1,15,14,1
Charlie Woerner,ATL,TE,11,1,1,18,3,15
Mason Kinsey,TEN,WR,5,3,2,48,71,4
Omarion Hampton,LAC,RB,13,,,,,
Josh Palmer,BUF,WR,15,1,,,27,
Antonio Gibson,NE,RB,2,,,,,
Corey Kiner,ARZ,RB,1,,,,,
Kameron Johnson,TB,WR,1,1,1,34,23,11
Dyami Brown,JAX,WR,9,2,,,70,
Luther Burden,CHI,WR,7,1,1,65,47,18
Garrett Wilson,NYJ,WR,7,4,1,23,108,
Cameron Latu,PHI,TE,1,,,,,
Chris Manhertz,NYG,TE,1,,,,,
Blake Whiteheart,CLV,TE,6,1,,,26,
Mason Taylor,NYJ,TE,15,2,,,33,
Emanuel Wilson,GB,RB,8,,,,,
Quentin Johnston,LAC,WR,37,13,5,192,439,14
