Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Dyami Brown,JAX,WR,8,5,3,36,70,-2
Luther Burden,CHI,WR,1,,,,,
Garrett Wilson,NYJ,WR,5,3,2,22,33,
Blake Whiteheart,CLV,TE,1,,,,,
Mason Taylor,NYJ,TE,7,,,,,
Emanuel Wilson,GB,RB,1,,,,,
Quentin Johnston,LAC,WR,7,5,1,16,57,1
Harrison Bryant,HST,TE,2,,,,,
Tylan Wallace,BLT,WR,1,,,,,
Jonnu Smith,PIT,TE,1,,,,,
Elijah Higgins,ARZ,TE,7,,,,,
Adam Thielen,PIT,WR,3,,,,,
Josiah Deguara,ARZ,TE,1,,,,,
David Moore,CAR,WR,1,,,,,
Amon-Ra St. Brown,DET,WR,1,,,,,
Isaiah Williams,NYJ,WR,2,1,,,14,
Chris Moore,WAS,WR,6,1,1,11,14,-3
Tutu Atwell,LA,WR,2,1,1,9,13,-4
Josh Palmer,BUF,WR,3,2,2,24,26,-2
Omarion Hampton,LAC,RB,5,,,,,
LeQuint Allen,JAX,RB,3,,,,,
Colston Loveland,CHI,TE,2,,,,,
Bijan Robinson,ATL,RB,6,,,,,
Calvin Austin,PIT,WR,1,,,,,
Isiah Pacheco,KC,RB,1,,,,,
Pat Freiermuth,PIT,TE,1,,,,,
Darren Waller,MIA,TE,1,,,,,
Xavier Worthy,KC,WR,1,,,,,
Elijah Moore,BUF,WR,1,1,,,13,
Rachaad White,TB,RB,3,,,,,
AJ Barner,SEA,TE,6,,,,,
Zach Charbonnet,SEA,RB,3,,,,,
Chuba Hubbard,CAR,RB,6,,,,,
Derrick Henry,BLT,RB,2,,,,,
Robert Tonyan,KC,TE,1,,,,,
Kareem Hunt,KC,RB,2,,,,,
Van Jefferson,TEN,WR,3,1,,,11,
Andre Baccellia,ARZ,WR,2,,,,,
Elic Ayomanor,TEN,WR,3,1,,,16,
Tanner Hudson,CIN,TE,2,,,,,
Curtis Samuel,BUF,WR,1,1,1,14,14,
Chase Brown,CIN,RB,3,,,,,
Stefon Diggs,NE,WR,7,,,,,
Jaydon Blue,DAL,RB,2,,,,,
Kyle Monangai,CHI,RB,1,,,,,
Ashton Jeanty,LV,RB,4,,,,,
Ben Sinnott,WAS,TE,4,1,,,25,
Zay Jones,ARZ,WR,2,,,,,
Jaylin Noel,HST,WR,3,,,,,
Andrei Iosivas,CIN,WR,8,,,,,
Hunter Renfrow,CAR,WR,2,,,,,
Isaac TeSlaa,DET,WR,1,,,,,
Allen Lazard,NYJ,WR,2,,,,,
Darnell Mooney,ATL,WR,4,2,,,35,
Jalen Coker,CAR,WR,6,,,,,
Raheem Mostert,LV,RB,3,,,,,
Arian Smith,NYJ,WR,4,1,1,23,21,2
Marvin Mims,DEN,WR,2,,,,,
Dallas Goedert,PHI,TE,16,,,,,
Cedric Tillman,CLV,WR,4,1,,,3,
Calvin Ridley,TEN,WR,2,1,,,11,
Harold Fannin,CLV,TE,3,,,,,
Terry McLaurin,WAS,WR,5,3,2,29,40,-1
Chris Godwin,TB,WR,1,,,,,
Devin Neal,NO,RB,4,,,,,
Oronde Gadsden,LAC,TE,5,,,,,
TreVeyon Henderson,NE,RB,5,,,,,
Jayden Reed,GB,WR,1,,,,,
