Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Jacory Croskey-Merritt,WAS,RB,6,,,,,
Rome Odunze,CHI,WR,3,2,1,-4,-8,-1
Isaiah Bond,CLV,WR,8,3,3,11,-10,21
Colby Parkinson,LA,TE,10,10,8,90,-30,115
Tyjae Spears,TEN,RB,12,8,7,58,-24,80
Josh Oliver,MIN,TE,1,1,1,12,-4,16
Michael Carter,ARZ,RB,8,,,,,
Bucky Irving,TB,RB,8,,,,,
Keaton Mitchell,BLT,RB,2,1,1,7,-5,12
DJ Moore,CHI,WR,12,10,7,47,-27,66
David Sills,ATL,WR,4,2,1,9,-2,10
Ameer Abdullah,IND,RB,1,,,,,
Devin Singletary,NYG,RB,2,,,,,
Tyler Allgeier,ATL,RB,4,,,,,
KeAndre Lambert-Smith,LAC,WR,4,1,1,1,-2,3
Khalil Herbert,NYJ,RB,1,,,,,
Quinshon Judkins,CLV,RB,3,,,,,
Devaughn Vele,NO,WR,1,,,,,
Josh Downs,IND,WR,3,1,,,-2,
Tetairoa McMillan,CAR,WR,8,2,1,5,-3,7
Jack Bech,LV,WR,2,,,,,
Jaylen Warren,PIT,RB,7,1,1,5,-4,9
Kendrick Bourne,SF,WR,1,1,1,6,-3,9
Juwan Johnson,NO,TE,3,2,2,19,-6,25
David Montgomery,DET,RB,2,,,,,
Ja'Tavion Sanders,CAR,TE,3,2,2,7,-8,15
Jauan Jennings,SF,WR,4,,,,,
KaVontae Turpin,DAL,WR,5,3,2,8,-7,13
Marquise Brown,KC,WR,14,6,6,19,-20,39
John Metchie,NYJ,WR,9,6,6,24,-25,49
Jalen Nailor,MIN,WR,5,,,,,
Bhayshul Tuten,JAX,RB,1,,,,,
Casey Washington,ATL,WR,1,,,,,
Kenneth Gainwell,PIT,RB,11,4,3,10,-15,21
Tyler Badie,DEN,RB,2,,,,,
Jalen Brooks,ARZ,WR,2,,,,,
Owen Wright,TB,RB,1,,,,,
Kevin Austin,NO,WR,1,1,1,3,-2,5
J.K. Dobbins,DEN,RB,1,,,,,
Emari Demercado,ARZ,RB,6,,,,,
Bam Knight,ARZ,RB,7,,,,,
Jaret Patterson,LAC,RB,1,,,,,
Travis Etienne,JAX,RB,7,1,1,11,-4,15
Josh Whyle,GB,TE,2,1,1,1,-5,6
Jordan Whittington,LA,WR,3,2,2,9,-2,11
Quentin Skinner,NYJ,WR,1,,,,,
Elijah Arroyo,SEA,TE,1,,,,,
Darius Slayton,NYG,WR,8,,,,,
Jake Ferguson,DAL,TE,4,3,3,35,-10,45
Davante Adams,LA,WR,3,1,,,,
Jerry Jeudy,CLV,WR,9,2,2,4,-7,11
Pat Bryant,DEN,WR,7,3,3,13,-4,17
Marquez Valdes-Scantling,PIT,WR,8,3,3,15,-3,18
Nico Collins,HST,WR,4,3,3,5,-10,15
Tyler Higbee,LA,TE,7,6,5,45,-15,55
Adonai Mitchell,NYJ,WR,4,1,,,-4,
Nick Westbrook-Ikhine,MIA,WR,5,2,2,-1,-9,8
Dylan Sampson,CLV,RB,8,1,1,9,-4,13
Jawhar Jordan,HST,RB,2,1,1,-4,-5,1
Connor Heyward,PIT,TE,1,1,1,3,-1,4
Jamari Thrash,CLV,WR,1,,,,,
Matthew Golden,GB,WR,8,4,4,8,-9,17
Saquon Barkley,PHI,RB,3,1,1,2,,2
Evan Engram,DEN,TE,7,5,4,21,-16,34
Rasheen Ali,BLT,RB,2,1,1,2,-6,8
Will Dissly,LAC,TE,1,1,1,14,-4,18
Tommy Tremble,CAR,TE,2,1,1,9,-2,11
Cooper Kupp,SEA,WR,5,2,2,11,-6,17
D'Andre Swift,CHI,RB,6,,,,,
Ja'Marr Chase,CIN,WR,21,19,17,112,-41,151
Tahj Brooks,CIN,RB,1,,,,,
Kayshon Boutte,NE,WR,1,,,,,
Chris Brooks,GB,RB,3,1,1,1,-5,6
Christian Watson,GB,WR,2,,,,,
Tyler Conklin,LAC,TE,2,2,1,3,-7,7
Anthony Firkser,DET,TE,1,1,1,-4,-5,1
Justice Hill,BLT,RB,2,1,1,2,-1,3
Kyle Williams,NE,WR,1,,,,,
James Conner,ARZ,RB,1,,,,,
Jonathan Taylor,IND,RB,2,,,,,
Malik Washington,MIA,WR,15,12,12,45,-38,83
Troy Franklin,DEN,WR,26,20,19,128,24,101
Michael Pittman,IND,WR,8,5,4,15,-8,19
Tyler Goodson,IND,RB,1,,,,,
Jordan Mason,MIN,RB,7,,,,,
Tre Tucker,LV,WR,17,10,9,30,-26,54
Javonte Williams,DAL,RB,2,,,,,
Courtland Sutton,DEN,WR,6,1,1,1,-3,4
Greg Dortch,ARZ,WR,16,13,12,61,-35,93
Zach Ertz,WAS,TE,3,1,1,3,-5,8
Darnell Washington,PIT,TE,4,3,3,-2,-11,9
Audric Estime,NO,RB,1,,,,,
Davis Allen,LA,TE,2,2,2,19,-7,26
Tip Reiman,ARZ,TE,1,,,,,
Zavier Scott,MIN,RB,3,2,2,7,-3,10
Jahmyr Gibbs,DET,RB,11,7,6,76,-23,95
Cody White,SEA,WR,1,,,,,
Hunter Henry,NE,TE,2,2,2,32,-5,37
Dalton Kincaid,BUF,TE,7,6,6,68,-19,87
Jakobi Meyers,JAX,WR,6,4,4,25,-10,35
Gabe Davis,BUF,WR,1,,,,,
Michael Wilson,ARZ,WR,13,2,2,2,-6,8
Ian Thomas,LV,TE,2,1,1,5,-4,9
Zay Flowers,BLT,WR,16,15,13,76,-43,111
T.J. Hockenson,MIN,TE,7,6,6,31,-5,36
Xavier Hutchinson,HST,WR,2,,,,,
Brian Thomas,JAX,WR,6,1,,,-3,
DeAndre Hopkins,BLT,WR,2,,,,,
Noah Gray,KC,TE,6,3,3,3,-10,13
Chimere Dike,TEN,WR,24,18,16,60,-41,100
Tim Patrick,JAX,WR,1,1,1,-1,-4,3
Tyrone Tracy,NYG,RB,4,,,,,
Michael Mayer,LV,TE,6,5,4,20,-18,33
Marvin Harrison,ARZ,WR,6,2,2,10,-11,21
Ollie Gordon,MIA,RB,3,1,1,3,-4,7
Rashee Rice,KC,WR,19,18,17,112,-44,154
Britain Covey,PHI,WR,1,1,1,12,-5,17
Austin Hooper,NE,TE,1,1,1,24,-2,26
Jaylen Wright,MIA,RB,4,,,,,
Tyler Lockett,LV,WR,5,3,3,5,-6,11
Jordan Addison,MIN,WR,6,2,1,5,-4,8
Keon Coleman,BUF,WR,3,2,1,8,-6,11
Xavier Smith,LA,WR,2,,,,,
Kenneth Walker,SEA,RB,7,3,3,39,-10,49
De'Von Achane,MIA,RB,21,9,7,42,-21,58
Mike Evans,TB,WR,1,,,,,
Brashard Smith,KC,RB,11,9,9,78,-22,100
Sean Tucker,TB,RB,2,,,,,
Jack Stoll,NO,TE,1,,,,,
Nate Adkins,DEN,TE,1,1,1,-2,-3,1
Tre Harris,LAC,WR,6,3,3,25,-6,31
Malik Heath,GB,WR,1,1,1,13,-1,14
Jalen Royals,KC,WR,3,1,1,2,-2,4
Shane Zylstra,DET,TE,2,,,,,
