Name,Team,POS,ATT,YDS,YAC,MTF,TD
Saquon Barkley,PHI,RB,2,4,3,,
Adam Prentice,DEN,FB,7,37,15,,
Kyle Juszczyk,SF,FB,2,-3,1,,
Hunter Luepke,DAL,FB,3,7,4,,
Patrick Ricard,BLT,FB,1,3,1,,
J.K. Dobbins,DEN,RB,1,2,2,,
Ashton Jeanty,LV,RB,1,,,,
Alec Ingold,MIA,FB,2,9,8,1,
Kendre Miller,NO,RB,1,3,,,
James Conner,ARZ,RB,1,1,1,,
Quinshon Judkins,CLV,RB,6,11,4,,1
C.J. Ham,MIN,FB,2,2,1,,2
Tyler Allgeier,ATL,RB,2,7,1,,
Reggie Gilliam,BUF,FB,2,4,2,,
Andrew Beck,NYJ,FB,1,5,1,,
Jahmyr Gibbs,DET,RB,1,4,,,1
Antonio Gibson,NE,RB,1,3,2,,
Chris Rodriguez,WAS,RB,1,-2,,,
Raheim Sanders,CLV,RB,1,2,2,,
Jordan Mason,MIN,RB,1,9,1,,
British Brooks,HST,FB,4,15,11,1,
Jonathan Taylor,IND,RB,1,2,2,,
Julius Chestnut,TEN,RB,1,1,1,,
Ty Johnson,BUF,RB,4,25,1,,
Kareem Hunt,KC,RB,7,13,12,1,
Derrick Henry,BLT,RB,1,,,,
Chuba Hubbard,CAR,RB,4,21,7,,
Zach Charbonnet,SEA,RB,2,2,2,,
Ollie Gordon,MIA,RB,1,-1,,,
Rachaad White,TB,RB,1,11,6,,
Jaylen Warren,PIT,RB,1,3,2,,
