Name,Team,POS,ATT,YDS,TD,YAC,MTF
Raheim Sanders,CLV,RB,6,21,1,14,1
Braelon Allen,NYJ,RB,5,10,,9,
Jordan Mason,MIN,RB,55,255,1,112,12
Isaiah Davis,NYJ,RB,11,94,1,63,1
Tyler Goodson,IND,RB,1,3,,,
Jacory Croskey-Merritt,WAS,RB,34,258,2,101,8
British Brooks,HST,FB,1,4,,3,
Jonathan Taylor,IND,RB,60,249,,174,5
Omarion Hampton,LAC,RB,27,105,,63,7
Bucky Irving,TB,RB,34,169,,63,2
Antonio Gibson,NE,RB,7,24,,16,
Audric Estime,NO,RB,13,70,1,60,5
Keaton Mitchell,BLT,RB,18,60,,21,1
Tyjae Spears,TEN,RB,23,95,1,49,4
Javonte Williams,DAL,RB,60,271,,147,7
Cam Akers,SEA,RB,1,14,,14,1
DJ Giddens,IND,RB,5,12,,11,1
Nick Chubb,HST,RB,20,43,,44,
Chris Rodriguez,WAS,RB,23,109,,76,5
Michael Carter,ARZ,RB,11,22,,11,1
Terrell Jennings,NE,RB,3,2,,5,
Devin Singletary,NYG,RB,30,78,1,55,1
Trayveon Williams,CLV,RB,2,-2,,2,
Jahmyr Gibbs,DET,RB,92,331,3,184,22
Zavier Scott,MIN,RB,9,13,,12,
Zamir White,LV,RB,5,16,,9,1
Christian McCaffrey,SF,RB,146,548,3,304,26
Ameer Abdullah,IND,RB,9,35,,25,
Brittain Brown,CHI,RB,2,23,1,4,1
AJ Dillon,PHI,RB,1,5,,3,
Emanuel Wilson,GB,RB,41,201,,100,4
Quinshon Judkins,CLV,RB,51,192,,104,6
Khalil Herbert,NYJ,RB,4,12,,6,
Tyler Allgeier,ATL,RB,90,355,6,183,10
Chuba Hubbard,CAR,RB,35,125,,56,3
David Montgomery,DET,RB,64,277,,128,9
Ollie Gordon,MIA,RB,16,59,,30,2
Zach Charbonnet,SEA,RB,50,223,3,157,13
Josh Jacobs,GB,RB,74,223,1,127,6
Hassan Haskins,LAC,RB,4,10,,8,1
Rachaad White,TB,RB,37,149,,68,3
Jaylen Warren,PIT,RB,73,429,4,213,17
Tyrone Tracy,NYG,RB,58,212,,120,11
Rico Dowdle,CAR,RB,52,231,1,139,11
Jaylen Wright,MIA,RB,23,49,,45,5
Ty Johnson,BUF,RB,23,78,1,51,1
Kareem Hunt,KC,RB,40,173,,99,5
Ty Chandler,MIN,RB,6,21,,9,1
Jerome Ford,CLV,RB,4,6,,5,
Jeremy McNichols,WAS,RB,6,17,,9,1
Derrick Henry,BLT,RB,132,708,3,317,14
Kenneth Walker,SEA,RB,84,406,1,214,22
De'Von Achane,MIA,RB,107,546,3,244,21
Trey Benson,ARZ,RB,4,7,,10,
LeQuint Allen,JAX,RB,3,10,,3,
Bijan Robinson,ATL,RB,181,1006,6,629,48
Jaleel McLaughlin,DEN,RB,17,61,,37,4
Tyler Badie,DEN,RB,3,15,,8,
Tank Bigsby,PHI,RB,8,61,1,25,1
Owen Wright,TB,RB,3,6,,1,
Clyde Edwards-Helaire,KC,RB,1,-2,,,
Bhayshul Tuten,JAX,RB,31,118,1,63,3
Sean Tucker,TB,RB,25,58,,45,1
Isiah Pacheco,KC,RB,42,160,,73,4
Kenneth Gainwell,PIT,RB,38,118,4,73,5
Samaje Perine,CIN,RB,7,39,,19,2
Brashard Smith,KC,RB,17,47,,22,1
Bam Knight,ARZ,RB,11,31,,16,1
Jaret Patterson,LAC,RB,4,5,,6,1
Rhamondre Stevenson,NE,RB,21,78,,36,1
Kaleb Johnson,PIT,RB,14,35,,28,2
Emari Demercado,ARZ,RB,2,2,,1,
J.K. Dobbins,DEN,RB,37,252,,95,9
Travis Etienne,JAX,RB,74,337,1,135,7
Ashton Jeanty,LV,RB,103,398,1,248,17
Kyle Monangai,CHI,RB,76,350,2,172,7
Jaydon Blue,DAL,RB,13,22,,28,2
Myles Gaskin,SEA,RB,2,6,,10,
Dare Ogunbowale,HST,RB,1,3,,3,
RJ Harvey,DEN,RB,27,101,,41,6
Kimani Vidal,LAC,RB,31,89,1,42,2
Ronnie Rivers,LA,RB,1,2,,1,
Aaron Jones,MIN,RB,44,159,1,74,6
Dylan Sampson,CLV,RB,26,108,,69,3
Jawhar Jordan,HST,RB,11,69,,58,4
Chase Brown,CIN,RB,55,258,,131,12
Woody Marks,HST,RB,54,154,1,102,2
Miles Sanders,DAL,RB,3,10,,11,1
Rasheen Ali,BLT,RB,1,2,,1,
Craig Reynolds,DET,RB,1,1,,,
D'Ernest Johnson,NE,RB,3,5,,3,
Saquon Barkley,PHI,RB,84,356,3,197,10
Trevor Etienne,CAR,RB,3,15,,6,1
D'Andre Swift,CHI,RB,116,575,4,279,16
Cam Skattebo,NYG,RB,29,123,,105,11
Tony Pollard,TEN,RB,86,439,1,225,12
Ray Davis,BUF,RB,22,150,,68,4
DeeJay Dallas,JAX,RB,1,4,,3,
Alvin Kamara,NO,RB,33,142,,60,6
Brian Robinson,SF,RB,42,199,,114,4
Malik Davis,DAL,RB,14,59,,16,
Kyren Williams,LA,RB,73,418,2,218,18
Dylan Laube,LV,RB,1,1,,2,
Will Shipley,PHI,RB,5,16,,7,
Tahj Brooks,CIN,RB,7,20,,17,2
Breece Hall,NYJ,RB,79,355,,172,16
Roschon Johnson,CHI,RB,1,11,,2,
Evan Hull,NO,RB,3,12,,6,
George Holani,SEA,RB,8,22,1,22,3
Nate Carter,ATL,RB,5,26,,9,1
Chris Brooks,GB,RB,16,74,,30,
Blake Corum,LA,RB,45,288,1,118,8
Dameon Pierce,KC,RB,4,18,,20,
James Cook,BUF,RB,78,458,2,248,15
Raheem Mostert,LV,RB,7,56,,51,
Kendre Miller,NO,RB,14,55,,32,5
James Conner,ARZ,RB,1,3,,2,
Devin Neal,NO,RB,16,64,,31,3
Kene Nwangwu,NYJ,RB,2,10,,6,
