Name,Team,POS,ATT,YDS,YAC,TD,MTF
Ashton Jeanty,LV,RB,1,-3,1,,
Rhamondre Stevenson,NE,RB,2,17,8,1,2
Travis Etienne,JAX,RB,4,8,5,,
Dare Ogunbowale,HST,RB,1,-7,,,
RJ Harvey,DEN,RB,2,,2,,
Chase Brown,CIN,RB,4,44,7,,
Aaron Jones,MIN,RB,2,14,8,,
Saquon Barkley,PHI,RB,4,42,5,1,
D'Andre Swift,CHI,RB,2,5,8,,1
Breece Hall,NYJ,RB,3,18,1,,1
TreVeyon Henderson,NE,RB,7,68,30,1,2
Jonathan Taylor,IND,RB,2,20,6,1,
Isaiah Davis,NYJ,RB,1,-3,,,
Javonte Williams,DAL,RB,2,8,3,,
Tyjae Spears,TEN,RB,1,1,1,,
Omarion Hampton,LAC,RB,1,4,3,,1
Antonio Gibson,NE,RB,2,23,21,,1
Keaton Mitchell,BLT,RB,3,25,4,1,
Jahmyr Gibbs,DET,RB,4,26,17,,5
Zavier Scott,MIN,RB,1,9,2,,
Christian McCaffrey,SF,RB,1,6,2,,
Quinshon Judkins,CLV,RB,2,5,3,,1
Jaylen Warren,PIT,RB,1,3,,,
Josh Jacobs,GB,RB,1,1,1,,
Jaylen Wright,MIA,RB,1,4,2,,1
Bijan Robinson,ATL,RB,1,,1,,
Kenneth Walker,SEA,RB,1,-6,,,
De'Von Achane,MIA,RB,3,20,7,,
Bhayshul Tuten,JAX,RB,1,7,4,,
Kenneth Gainwell,PIT,RB,5,72,15,,1
Isiah Pacheco,KC,RB,1,10,1,,
Brashard Smith,KC,RB,2,10,3,,1
