Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Tyrone Tracy,NYG,RB,30,129,0,0,72,2,0
Jaylen Warren,PIT,RB,44,144,1,0,88,2,0
Hassan Haskins,LAC,RB,4,5,0,0,5,0,0
Rachaad White,TB,RB,30,101,1,0,60,4,0
Josh Jacobs,GB,RB,69,262,5,0,130,7,0
Ollie Gordon,MIA,RB,30,92,1,0,64,4,0
Chuba Hubbard,CAR,RB,56,209,0,0,89,0,0
Zach Charbonnet,SEA,RB,63,253,3,0,163,14,0
David Montgomery,DET,RB,43,147,4,0,102,5,0
Jeremy McNichols,WAS,RB,14,119,1,0,92,5,0
Derrick Henry,BLT,RB,50,167,1,0,81,1,0
Jerome Ford,CLV,RB,8,10,0,0,10,0,0
Ty Chandler,MIN,RB,6,11,0,0,8,0,0
Kareem Hunt,KC,RB,53,161,2,0,83,5,0
Ty Johnson,BUF,RB,15,45,1,0,29,2,0
Rico Dowdle,CAR,RB,79,302,2,0,157,9,0
Jaylen Wright,MIA,RB,17,56,1,0,31,2,0
Bijan Robinson,ATL,RB,27,151,0,0,61,2,0
Trey Benson,ARZ,RB,10,22,0,0,19,3,0
LeQuint Allen,JAX,RB,12,69,0,0,22,1,0
De'Von Achane,MIA,RB,37,199,1,0,107,5,0
Julius Chestnut,TEN,RB,4,7,0,0,2,1,0
Jaleel McLaughlin,DEN,RB,3,9,1,0,4,0,0
Kalel Mullings,TEN,RB,2,4,0,0,2,0,0
Kenneth Walker,SEA,RB,47,168,0,0,111,14,0
Kenneth Gainwell,PIT,RB,21,61,0,0,19,0,0
Brashard Smith,KC,RB,8,27,0,0,18,0,0
Sean Tucker,TB,RB,15,41,3,0,21,0,0
Isiah Pacheco,KC,RB,18,82,0,0,49,3,0
Bhayshul Tuten,JAX,RB,36,123,4,0,88,4,0
Clyde Edwards-Helaire,KC,RB,1,4,0,0,1,0,0
Tank Bigsby,PHI,RB,9,32,0,0,22,1,0
Tyler Badie,DEN,RB,2,9,0,0,5,0,0
Jonathan Taylor,IND,RB,135,585,6,0,275,16,0
British Brooks,HST,FB,8,23,0,0,17,0,0
Jacory Croskey-Merritt,WAS,RB,44,147,4,0,91,6,0
Isaiah Davis,NYJ,RB,8,41,0,0,22,2,0
Velus Jones,SEA,RB,1,1,0,0,1,0,0
Jordan Mason,MIN,RB,42,229,2,0,121,6,0
Braelon Allen,NYJ,RB,8,60,1,0,26,0,0
Raheim Sanders,CLV,RB,11,43,0,0,28,2,0
Tyler Goodson,IND,RB,1,0,0,0,1,0,0
DJ Giddens,IND,RB,15,60,0,0,34,1,0
Nick Chubb,HST,RB,41,171,0,0,95,4,0
Cam Akers,SEA,RB,3,15,0,0,17,1,0
Javonte Williams,DAL,RB,77,315,2,0,169,5,0
Chris Rodriguez,WAS,RB,32,127,4,0,89,5,0
Michael Carter,ARZ,RB,29,128,1,0,51,1,0
Keaton Mitchell,BLT,RB,4,12,0,0,3,1,0
Tyjae Spears,TEN,RB,21,75,0,0,48,3,0
Antonio Gibson,NE,RB,10,47,1,0,17,0,0
Terrell Jennings,NE,RB,13,58,0,0,28,1,0
Audric Estime,NO,RB,13,48,0,0,26,1,0
Omarion Hampton,LAC,RB,27,74,1,0,53,2,0
Bucky Irving,TB,RB,45,150,0,0,67,2,0
Zamir White,LV,RB,3,6,0,0,4,0,0
Christian McCaffrey,SF,RB,75,345,3,0,144,9,0
Andrew Beck,NYJ,FB,1,5,0,0,1,0,0
Reggie Gilliam,BUF,FB,1,5,0,0,2,0,0
Jahmyr Gibbs,DET,RB,49,319,4,0,126,10,0
Zavier Scott,MIN,RB,8,36,0,0,22,0,0
Ameer Abdullah,IND,RB,5,25,1,0,19,1,0
Trayveon Williams,CLV,RB,3,12,0,0,6,0,0
Corey Kiner,ARZ,RB,7,39,0,0,22,0,0
Devin Singletary,NYG,RB,30,84,0,0,52,0,0
Jacardia Wright,SEA,RB,2,13,0,0,6,1,0
Tyler Allgeier,ATL,RB,20,61,0,0,33,3,0
Phil Mafah,DAL,RB,2,9,0,0,5,0,0
C.J. Ham,MIN,FB,2,4,1,0,1,0,0
Khalil Herbert,NYJ,RB,6,20,0,0,10,0,0
AJ Dillon,PHI,RB,1,0,0,0,0,0,0
Emanuel Wilson,GB,RB,37,104,1,0,58,2,0
Quinshon Judkins,CLV,RB,71,230,2,0,144,7,0
Brittain Brown,CHI,RB,2,4,0,0,3,0,0
Malik Davis,DAL,RB,24,141,2,0,51,2,0
Brian Robinson,SF,RB,26,93,1,0,48,5,0
Alvin Kamara,NO,RB,40,122,0,0,60,2,0
Ray Davis,BUF,RB,11,58,0,0,32,1,0
DeeJay Dallas,JAX,RB,2,17,0,0,2,0,0
Tony Pollard,TEN,RB,67,254,3,0,132,4,0
Cam Skattebo,NYG,RB,34,138,2,0,83,3,0
D'Andre Swift,CHI,RB,29,101,1,0,42,3,0
Trevor Etienne,CAR,RB,6,22,0,0,6,0,0
Sione Vaki,DET,RB,1,4,0,0,2,0,0
Tahj Brooks,CIN,RB,4,6,0,0,5,0,0
Will Shipley,PHI,RB,3,11,0,0,8,0,0
Kyren Williams,LA,RB,93,350,5,0,150,6,0
Raheem Mostert,LV,RB,11,46,0,0,25,1,0
Dameon Pierce,KC,RB,4,8,0,0,7,0,0
Blake Corum,LA,RB,49,254,3,0,126,8,0
Chris Brooks,GB,RB,8,32,0,0,20,0,0
James Cook,BUF,RB,91,448,6,0,191,10,0
Nate Carter,ATL,RB,3,23,0,0,6,0,0
George Holani,SEA,RB,6,29,0,0,17,1,0
Roschon Johnson,CHI,RB,1,6,0,0,3,0,0
Breece Hall,NYJ,RB,60,291,2,0,115,3,0
Evan Hull,NO,RB,7,21,0,0,13,0,0
Justice Hill,BLT,RB,4,13,1,0,7,0,0
