Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Kareem Hunt,KC,RB,36,178,1,0,99,4,0
Ty Chandler,MIN,RB,3,10,0,0,4,0,0
Jeremy McNichols,WAS,RB,15,53,0,0,35,3,0
Derrick Henry,BLT,RB,99,515,3,0,236,14,0
Rico Dowdle,CAR,RB,52,213,2,0,139,13,0
Jaylen Wright,MIA,RB,23,72,0,0,46,3,0
Ty Johnson,BUF,RB,9,25,1,0,19,0,0
Rachaad White,TB,RB,34,205,0,0,79,8,0
Jaylen Warren,PIT,RB,59,312,1,0,166,14,0
Tyrone Tracy,NYG,RB,62,253,1,0,144,11,0
Chuba Hubbard,CAR,RB,27,93,0,0,40,0,0
Zach Charbonnet,SEA,RB,30,168,4,0,106,9,0
Ollie Gordon,MIA,RB,17,64,1,0,27,0,0
David Montgomery,DET,RB,70,297,3,0,139,9,0
Josh Jacobs,GB,RB,56,237,3,0,117,10,0
Bhayshul Tuten,JAX,RB,11,30,0,0,23,4,0
Sean Tucker,TB,RB,12,62,0,0,30,2,0
Isiah Pacheco,KC,RB,37,125,1,0,66,3,0
Kenneth Gainwell,PIT,RB,28,164,2,0,103,8,0
Brashard Smith,KC,RB,11,36,0,0,12,0,0
Tank Bigsby,PHI,RB,12,81,1,0,40,1,0
Owen Wright,TB,RB,1,3,0,0,1,0,0
Trey Benson,ARZ,RB,6,21,0,0,12,0,0
Bijan Robinson,ATL,RB,117,631,3,0,390,28,0
LeQuint Allen,JAX,RB,3,9,0,0,6,0,0
Jaleel McLaughlin,DEN,RB,14,74,0,0,32,2,0
Kenneth Walker,SEA,RB,48,200,3,0,76,9,0
De'Von Achane,MIA,RB,64,333,2,0,147,8,0
Javonte Williams,DAL,RB,77,414,2,0,244,14,0
Tyjae Spears,TEN,RB,16,44,1,0,28,0,0
Cam Akers,SEA,RB,2,4,0,0,4,0,0
DJ Giddens,IND,RB,8,22,0,0,18,1,0
Nick Chubb,HST,RB,32,84,0,0,58,1,0
Chris Rodriguez,WAS,RB,39,210,2,0,145,9,0
Michael Carter,ARZ,RB,37,108,0,0,47,3,0
Omarion Hampton,LAC,RB,44,254,3,0,123,12,0
Bucky Irving,TB,RB,45,178,0,0,107,7,0
Ulysses Bentley,IND,RB,1,0,0,0,1,0,0
Antonio Gibson,NE,RB,5,16,0,0,13,0,0
Terrell Jennings,NE,RB,2,3,0,0,2,0,0
Audric Estime,NO,RB,15,82,1,0,48,4,0
Keaton Mitchell,BLT,RB,11,51,0,0,7,1,0
Jacory Croskey-Merritt,WAS,RB,48,290,1,0,133,8,0
British Brooks,HST,FB,2,24,0,0,23,1,0
Jonathan Taylor,IND,RB,66,455,5,0,227,17,0
Raheim Sanders,CLV,RB,9,19,1,0,18,0,0
