"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","James Cook","BUF","RB","17","2025","309","1621","95.4","5.25","12","6","68","5.2","435","26.8","37.2","3.9","56.6","40.8","48","0.16","758","2.45","46.8","2.79","151","48.9","828","4","5.48","59.6","156","50.5","782","8","5.01","53.8","18.0","305.2","252.4","14.8"
"2","Derrick Henry","BLT","RB","17","2025","307","1595","93.8","5.20","16","4","79","6.8","605","37.9","84.4","5.2","53.1","45.0","39","0.13","736","2.40","46.1","2.80","187","60.9","964","3","5.16","50.8","119","38.8","631","13","5.30","57.1","16.6","282.5","233.4","13.7"
"3","Jonathan Taylor","IND","RB","17","2025","323","1585","93.2","4.91","18","1","84","5.0","524","33.1","65.7","5.6","51.7","44.3","47","0.15","787","2.44","49.7","2.47","135","41.8","540","2","4.00","45.9","185","57.3","1023","15","5.53","55.1","21.4","363.3","303.8","17.9"
"4","Bijan Robinson","ATL","RB","17","2025","287","1478","86.9","5.15","7","3","63","5.6","472","31.9","43.5","2.4","51.6","41.5","75","0.26","879","3.06","59.5","2.09","224","78.0","1201","6","5.36","50.0","54","18.8","215","1","3.98","55.6","22.0","373.8","317.5","18.7"
"5","De'Von Achane","MIA","RB","16","2025","238","1350","84.4","5.67","8","1","56","10.1","622","46.1","38.5","3.4","49.2","45.8","42","0.18","625","2.63","46.3","3.05","136","57.1","685","3","5.04","46.3","88","37.0","592","5","6.73","52.3","20.2","322.8","267.3","16.7"
"6","Kyren Williams","LA","RB","17","2025","259","1252","73.6","4.83","10","2","74","4.6","247","19.7","52.9","3.9","62.9","31.7","40","0.15","610","2.36","48.7","2.48","135","52.1","700","6","5.19","63.7","124","47.9","552","4","4.45","62.1","15.6","265.3","243.5","14.3"
"7","Jahmyr Gibbs","DET","RB","17","2025","243","1223","71.9","5.03","13","2","56","5.8","497","40.6","38.5","5.3","48.1","46.9","63","0.26","533","2.19","43.6","2.84","138","56.8","514","4","3.72","45.7","99","40.7","660","8","6.67","50.5","21.6","367.9","286.1","16.8"
"8","Christian McCaffrey","SF","RB","17","2025","311","1202","70.7","3.86","10","1","70","3.5","214","17.8","76.9","3.2","48.6","46.9","47","0.15","608","1.95","50.6","1.91","212","68.2","809","6","3.82","47.2","93","29.9","392","4","4.22","52.7","24.5","416.6","407.8","24.0"
"9","Javonte Williams","DAL","RB","16","2025","252","1201","75.1","4.77","11","1","67","5.2","308","25.6","66.7","4.4","56.0","40.5","31","0.12","734","2.91","61.1","1.85","132","52.4","597","4","4.52","59.1","116","46.0","590","7","5.09","52.6","15.3","244.8","252.2","15.8"
"10","Saquon Barkley","PHI","RB","16","2025","280","1140","71.3","4.07","7","0","48","4.6","344","30.2","46.7","2.5","46.1","50.0","39","0.14","548","1.96","48.1","2.11","170","60.7","673","4","3.96","49.4","102","36.4","434","2","4.25","39.2","14.6","233.3","243.0","15.2"
