teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingTouchdownsTotal,opponentStatsPassingRunPassOptionPercentage
9,Dallas,Cowboys,True,WAS,NFC,NFC East,Open,Open,Cover 2,17,83,73,0.7945205479452054,1,50,0.684931506849315,0.7536231884057971,-0.00010115849275360578,3,1,19,0.0273972602739726,475,6.506849315068493,0.7326315789473684,3.8227848101265822,528,3,6,1,5,-38,0.07228915662650602,No,No,31,0.37349397590361444,0.0018506024096385644,No,0.136986301369863,7,0.0958904109589041,0.0547945205479452,0.0273972602739726,0.5753424657534246,0.0684931506849315,0.589041095890411,3.0246575342465754,3.9499999999999997,3.775,2.5580645161290323,7.6521739130434785,69.1,No,Yes,16,,
2,Atlanta,Falcons,True,CAR,NFC,NFC South,Closed,Open,Cover 2,17,57,56,0.8392857142857143,,46,0.8214285714285714,0.8392857142857143,0.07787636448214286,,,4,0.017857142857142856,444,7.928571428571429,0.5743243243243243,8.285714285714286,378,,,,,,,Yes,No,7,0.12280701754385964,-0.21461491228070173,No,0.16071428571428573,8,0.14285714285714285,,0.03571428571428571,0.6071428571428571,0.19642857142857142,0.5892857142857143,2.5660714285714286,,6.5,2.642857142857143,6.75,105.7,No,Yes,19,1,
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Open,Open,Cover 2,17,14,14,0.7142857142857143,,9,0.6428571428571429,0.75,-0.06729860349999994,1,1,,,74,5.285714285714286,0.6891891891891891,5.285714285714286,42,,,,,,,Yes,No,4,0.2857142857142857,-0.06235357142857145,No,0.14285714285714285,1,0.07142857142857142,,0.07142857142857142,0.6428571428571429,0.07142857142857142,0.5,2.5928571428571425,,,2.25,3.5,77.7,No,Yes,2,,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Open,Cover 2,17,96,80,0.7625,,54,0.675,0.8356164383561644,0.046554032602739714,5,1,35,0.0875,530,6.625,0.590566037735849,3.352272727272727,386,5,8,3,5,-50,0.08333333333333333,Yes,No,29,0.3020833333333333,0.0038124999999999964,No,0.15,1,0.0125,0.0625,,0.625,0.075,0.5375,2.65,3.7625,4.9875,2.4827586206896552,5.216216216216216,68.2,No,Yes,22,2,0.03125
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Open,Cover 2,17,91,83,0.7951807228915663,1,58,0.6987951807228916,0.7777777777777778,0.0397532881234568,2,,99,0.060240963855421686,748,9.012048192771084,0.5762032085561497,7.944444444444445,694,1,7,1,1,-48,0.07692307692307693,No,No,36,0.3956043956043956,0.0616576923076923,Yes,0.18072289156626506,13,0.1566265060240964,0.024096385542168676,0.060240963855421686,0.5783132530120482,0.1686746987951807,0.6385542168674698,2.697590361445783,3.557142857142857,3.2,2.625,8.567901234567902,104.9,No,Yes,25,3,
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Cover 2,17,104,88,0.7727272727272727,3,54,0.6136363636363636,0.775,0.04497967001250003,5,2,66,0.09090909090909091,556,6.318181818181818,0.4766187050359712,5.904255319148936,640,,6,4,5,-41,0.057692307692307696,No,No,33,0.3173076923076923,0.022575480769230778,No,0.13636363636363635,10,0.11363636363636363,0.022727272727272728,0.045454545454545456,0.5568181818181818,0.13636363636363635,0.45454545454545453,2.5943181818181817,3.533333333333333,4.470000000000001,2.503030303030303,7.901234567901234,87.1,No,Yes,21,2,0.038461538461538464
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Open,Cover 2,17,116,97,0.7628865979381443,3,69,0.711340206185567,0.7802197802197802,0.017225221241758182,4,1,4,0.020618556701030927,615,6.34020618556701,0.5609756097560976,3.854368932038835,694,4,6,1,6,-38,0.05172413793103448,No,Yes,36,0.3103448275862069,0.030600431034482758,No,0.16494845360824742,12,0.12371134020618557,0.030927835051546393,0.041237113402061855,0.5773195876288659,0.15463917525773196,0.5051546391752577,2.5144329896907216,3.3000000000000003,4.176923076923076,2.4722222222222223,7.543478260869565,70.6,No,No,29,,0.04310344827586207
27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,Open,Open,Cover 2,17,99,89,0.7640449438202247,4,63,0.7078651685393258,0.825,0.06730776592499987,4,4,26,0.033707865168539325,659,7.404494382022472,0.5386949924127465,6.5638297872340425,557,2,5,4,6,-32,0.050505050505050504,Yes,No,35,0.35353535353535354,-0.005087878787878809,No,0.11235955056179775,10,0.11235955056179775,0.02247191011235955,0.0449438202247191,0.48314606741573035,0.14606741573033707,0.6292134831460674,2.8876404494382024,4.1,3.84,2.6142857142857143,6.8765432098765435,97.5,No,Yes,29,4,0.010101010101010102
1,Arizona,Cardinals,True,SF,NFC,NFC West,Open,Open,Cover 2,17,108,93,0.8494623655913979,1,74,0.7956989247311828,0.8636363636363636,0.10566689937500007,4,1,25,0.021505376344086023,782,8.408602150537634,0.5601023017902813,6.89,585,1,7,2,5,-48,0.06481481481481481,No,No,29,0.26851851851851855,-0.05958009259259257,No,0.0967741935483871,11,0.11827956989247312,0.03225806451612903,0.021505376344086023,0.5053763440860215,0.16129032258064516,0.5913978494623656,2.7838709677419353,3.7142857142857144,5.8,2.6620689655172414,6.6477272727272725,97.2,No,Yes,38,,0.046296296296296294
4,Buffalo,Bills,,NE,AFC,AFC East,Closed,Open,Cover 2,17,120,112,0.8571428571428571,,88,0.7857142857142857,0.8598130841121495,0.0623716941682243,4,1,24,0.03571428571428571,891,7.955357142857143,0.6442199775533108,7.111111111111111,540,1,5,,2,-34,0.041666666666666664,No,No,27,0.225,-0.09670083333333336,No,0.08035714285714286,11,0.09821428571428571,0.017857142857142856,0.044642857142857144,0.6607142857142857,0.125,0.7232142857142857,2.5732142857142857,3,4.133333333333334,2.640740740740741,5.046728971962617,99.1,No,Yes,44,1,0.03333333333333333
