teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingTowThrowPercentage
9,Dallas,Cowboys,True,WAS,NFC,NFC East,Closed,Closed,Cover 1,17,216,216,0.8935185185185185,5,169,0.7824074074074074,0.8518518518518519,0.04196755830555554,62,0.06944444444444445,1518,7.027777777777778,0.505270092226614,7.2592592592592595,988,7,2,8,No,No,51,0.2361111111111111,-0.08060555555555553,Yes,0.032407407407407406,0.10185185185185185,0.004629629629629629,0.7453703703703703,0.06018518518518518,0.6342592592592593,2.411111111111111,2.323529411764706,4.574074074074074,102.9,Yes,Yes,69,
2,Atlanta,Falcons,True,CAR,NFC,NFC South,Open,Open,Red Zone,17,245,245,0.8816326530612245,7,196,0.8,0.8401639344262295,0.03389944615983609,45,0.036734693877551024,1551,6.330612244897959,0.44165054803352677,6.677551020408163,1135,11,3,6,No,Yes,36,0.1469387755102041,-0.18750510204081633,No,0.00816326530612245,0.11020408163265306,,0.689795918367347,0.11836734693877551,0.6040816326530613,2.513877551020408,2.4361111111111113,4.653061224489796,102.9,No,Yes,84,0.024489795918367346
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Open,Open,Cover 6,17,216,216,0.8333333333333334,10,157,0.7268518518518519,0.8055555555555556,-0.008984528347222187,70,0.0787037037037037,1181,5.467592592592593,0.45893310753598643,5.699074074074074,918,7,2,1,No,No,40,0.18518518518518517,-0.0935974537037037,No,0.009259259259259259,0.16203703703703703,,0.7314814814814815,0.08796296296296297,0.5833333333333334,2.1912037037037035,2.32,4.25,92.4,No,Yes,62,0.013888888888888888
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Closed,Cover 3,17,236,236,0.8050847457627118,10,170,0.7203389830508474,0.7711864406779662,-0.0362378933940678,53,0.05084745762711865,1378,5.838983050847458,0.4753265602322206,5.182203389830509,1081,8,7,2,No,Yes,40,0.1694915254237288,-0.14669724576271184,No,0.0211864406779661,0.17796610169491525,,0.6779661016949152,0.07627118644067797,0.5296610169491526,2.408050847457627,2.3825,4.580508474576271,85.4,No,Yes,68,0.038135593220338986
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Open,Cover 4,17,195,195,0.882051282051282,6,148,0.7589743589743589,0.8205128205128205,0.020358780251282016,69,0.06153846153846154,1419,7.276923076923077,0.5214940098661028,7.866666666666666,951,8,1,6,No,No,52,0.26666666666666666,-0.0246025641025641,Yes,0.020512820512820513,0.11282051282051282,0.005128205128205128,0.7333333333333333,0.07692307692307693,0.6205128205128205,2.2635897435897436,2.3923076923076922,4.876923076923077,107.2,No,No,71,0.010256410256410256
32,Washington,Commanders,,DAL,NFC,NFC East,Closed,Closed,Cover 1,17,202,202,0.8613861386138614,11,149,0.7376237623762376,0.801980198019802,0.002457233356435662,74,0.06435643564356436,1351,6.688118811881188,0.5048112509252406,7.232673267326732,992,10,2,4,No,No,24,0.1188118811881188,-0.15055742574257425,Yes,0.019801980198019802,0.13861386138613863,,0.7673267326732673,0.04950495049504951,0.5198019801980198,2.1366336633663368,2.3125,4.910891089108911,103.8,Yes,Yes,75,0.009900990099009901
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,218,218,0.8761467889908257,10,177,0.8119266055045872,0.8433179723502304,0.025510495718894077,30,0.027522935779816515,1506,6.908256880733945,0.5159362549800797,6.724770642201835,917,7,4,1,No,No,31,0.14220183486238533,-0.14324151376146788,No,0.03211009174311927,0.10550458715596331,,0.6834862385321101,0.08256880733944955,0.5504587155963303,2.229816513761468,2.390322580645161,4.238532110091743,98.5,No,Yes,81,0.009174311926605505
27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,Open,Closed,Cover 3,17,248,248,0.8830645161290323,8,198,0.7983870967741935,0.8467741935483871,0.04114010081854835,60,0.04838709677419355,1794,7.233870967741935,0.5161649944258639,7.254032258064516,1133,7,3,1,No,Yes,39,0.15725806451612903,-0.14237862903225806,No,0.020161290322580645,0.10887096774193548,,0.717741935483871,0.0846774193548387,0.5806451612903226,2.3120967741935483,2.4717948717948715,4.568548387096774,101.2,No,Yes,82,0.020161290322580645
1,Arizona,Cardinals,True,SF,NFC,NFC West,Closed,Closed,Cover 1,17,237,237,0.8523206751054853,11,188,0.7932489451476793,0.8270042194092827,0.024396441962025284,46,0.03375527426160337,1555,6.561181434599156,0.4514469453376206,6.561181434599156,1140,9,4,3,No,Yes,39,0.16455696202531644,-0.1441509493670886,No,0.02531645569620253,0.1308016877637131,0.004219409282700422,0.6286919831223629,0.10126582278481013,0.5738396624472574,2.3646835443037975,2.5,4.810126582278481,99.6,No,No,88,0.02109704641350211
4,Buffalo,Bills,,NE,AFC,AFC East,Closed,Closed,Cover 1,17,230,230,0.8826086956521739,9,186,0.808695652173913,0.8565217391304348,0.046158704108695714,41,0.04782608695652174,1531,6.656521739130435,0.46701502286087526,7.069565217391304,1040,7,1,,No,No,57,0.24782608695652175,-0.05864891304347825,Yes,0.021739130434782608,0.1,,0.7347826086956522,0.13478260869565217,0.6869565217391305,2.3517391304347823,2.4438596491228073,4.521739130434782,102.7,No,Yes,86,0.021739130434782608
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Closed,Cover 3,17,190,190,0.8578947368421053,6,143,0.7526315789473684,0.8052631578947368,-0.0020853179578946834,41,0.05263157894736842,1173,6.173684210526316,0.4595055413469736,6.331578947368421,887,6,2,,Yes,No,37,0.19473684210526315,-0.1318657894736842,No,0.010526315789473684,0.1368421052631579,,0.6473684210526316,0.1,0.5842105263157895,2.468421052631579,2.424324324324324,4.668421052631579,96.7,No,Yes,62,0.021052631578947368
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Red Zone,17,203,203,0.9064039408866995,12,162,0.7980295566502463,0.8472906403940886,0.04547821136945818,53,0.04926108374384237,1293,6.369458128078818,0.41453982985305493,7.1330049261083746,986,10,1,3,No,Yes,17,0.08374384236453201,-0.2199243842364532,No,0.034482758620689655,0.07881773399014778,,0.6945812807881774,0.09359605911330049,0.5812807881773399,2.3354679802955665,2.5352941176470587,4.857142857142857,107.6,No,Yes,75,0.024630541871921183
