teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingIncompletionsBatted,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingRunPassOptionPercentage
14,Indianapolis,Colts,True,JAX,AFC,AFC South,Closed,Open,Cover 2,13,16,16,0.1875,1,0.125,-0.43221061149999995,10,0.125,-45,305,16,1,No,No,3,0.1875,-0.27176875,Yes,0.8125,8,0.5,0.8125,0.8125,3.2375,2.6999999999999997,19.0625,No,No,,,,,,
10,Denver,Broncos,,CIN,AFC,AFC North,Open,Open,Cover 2,13,15,15,0.06666666666666667,4,,-0.6369568601428571,,,-45,185,15,,No,Yes,2,0.13333333333333333,-0.20906666666666668,Yes,0.8,1,0.06666666666666667,0.7333333333333333,0.7333333333333333,2.56,2.95,12.333333333333334,No,No,,,,,,
30,Tampa Bay,Buccaneers,True,NO,NFC,NFC South,Open,Open,Cover 4,11,7,7,,,,-0.5753456777142858,,,-45,119,7,,No,No,4,0.5714285714285714,0.21227142857142858,No,0.8571428571428571,2,0.2857142857142857,0.7142857142857143,0.7142857142857143,2.6571428571428575,2.375,17,No,No,,,,,,
31,Tennessee,Titans,,JAX,AFC,AFC South,Open,Open,Cover 6,15,11,11,,,,-0.5680670411,,,-45,181,11,1,No,No,7,0.6363636363636364,0.23060909090909087,No,0.9090909090909091,5,0.45454545454545453,0.8181818181818182,0.5454545454545454,2.9272727272727277,2.3714285714285714,16.454545454545453,No,No,,,,,,
17,Los Angeles,Rams,True,SEA,NFC,NFC West,Closed,Open,Cover 2,12,13,13,0.23076923076923078,2,0.16666666666666666,-0.45403250758333336,14,0.15384615384615385,-45,178,13,1,No,No,7,0.5384615384615384,0.0763730769230769,Yes,0.6923076923076923,4,0.3076923076923077,0.7692307692307693,0.46153846153846156,3.253846153846154,2.3857142857142857,14.833333333333334,No,No,1,0.15384615384615385,,,,
22,New England,Patriots,,BUF,AFC,AFC East,Closed,Closed,Cover 1,10,7,7,0.2857142857142857,3,0.14285714285714285,-0.40725250271428565,,0.14285714285714285,-45,147,7,,No,No,4,0.5714285714285714,0.16052142857142856,Yes,0.7142857142857143,3,0.42857142857142855,0.7142857142857143,0.5714285714285714,2.957142857142857,3.25,21,No,No,,,,,,
28,Seattle,Seahawks,,LA,NFC,NFC West,Closed,Open,Cover 2,15,13,13,,1,,-0.6232105980833333,,,-45,171,13,,No,No,5,0.38461538461538464,0.04991153846153849,Yes,0.9230769230769231,4,0.3076923076923077,0.9230769230769231,0.9230769230769231,2.5153846153846158,2.3,13.153846153846153,No,No,,,,,,
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Open,Cover 4,14,4,4,,1,,-0.48812873225,,,-45,110,4,,No,No,1,0.25,-0.090675,Yes,1,2,0.5,0.75,1,2.55,1.8,27.5,No,No,,,,,,
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Open,Open,Cover 6,12,13,13,0.07692307692307693,1,0.07692307692307693,-0.4333037275384615,4,0.07692307692307693,-45,273,13,,No,No,5,0.38461538461538464,0.05787307692307691,No,0.9230769230769231,6,0.46153846153846156,0.8461538461538461,0.8461538461538461,2.4692307692307693,2.2600000000000002,21,No,No,,0.07692307692307693,,,,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Closed,Closed,Cover 3,14,15,15,0.2,1,0.07692307692307693,-0.5479959506923078,4,0.06666666666666667,-45,174,15,,No,No,4,0.26666666666666666,-0.10448333333333336,No,0.5333333333333333,4,0.26666666666666666,0.6666666666666666,0.7333333333333333,2.7266666666666666,2.25,11.6,Yes,Yes,,,,,,
