teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToPressure,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,teamIsHomeTeam,opponentStatsPassingRunPassOptionPercentage
7,Cincinnati,Bengals,PIT,AFC,AFC North,Open,Open,Cover 6,16,36,-6.027777777777778,36,7,4,-217,1,No,Yes,35,0.9722222222222222,0.9722222222222222,No,3.5250000000000004,2.5028571428571427,No,No,,
8,Cleveland,Browns,BLT,AFC,AFC North,Closed,Closed,Cover 3,17,41,-6.512195121951219,41,12,2,-267,1,No,Yes,41,1,1,Yes,3.112195121951219,2.2756097560975608,No,No,,
26,Philadelphia,Eagles,NYG,NFC,NFC East,Closed,Closed,Cover 3,17,41,-7.439024390243903,41,6,3,-305,1,No,Yes,41,1,1,Yes,3.2560975609756095,2.4365853658536585,No,No,True,
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Closed,Cover 3,17,31,-6.032258064516129,31,11,4,-187,1,No,Yes,31,1,1,No,3.803225806451613,2.6903225806451614,No,No,True,
32,Washington,Commanders,DAL,NFC,NFC East,Closed,Open,Cover 4,17,43,-6.3023255813953485,43,14,2,-271,1,No,Yes,43,1,1,Yes,3.427906976744186,2.558139534883721,No,No,,
4,Buffalo,Bills,NE,AFC,AFC East,Open,Closed,Cover 3,16,39,-6.589743589743589,39,10,2,-257,1,No,No,37,0.9487179487179487,0.9487179487179487,No,3.246153846153846,2.5486486486486486,No,No,,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 2,16,41,-6.2439024390243905,41,16,6,-256,1,Yes,Yes,41,1,1,No,3.6707317073170733,2.6097560975609757,No,No,True,
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Closed,Cover 3,16,32,-6.96875,32,18,1,-223,1,No,Yes,32,1,1,No,3.809375,2.5,No,No,,0.03125
6,Chicago,Bears,GB,NFC,NFC North,Open,Closed,Cover 3,17,40,-6.35,40,10,9,-254,1,No,Yes,38,0.95,0.95,No,3.6700000000000004,2.5210526315789474,No,No,,
24,New York,Giants,PHI,NFC,NFC East,Closed,Closed,Cover 3,17,45,-6.4222222222222225,45,9,9,-289,1,No,Yes,44,0.9777777777777777,0.9777777777777777,Yes,3.586666666666667,2.459090909090909,No,No,,0.022222222222222223
16,Kansas City,Chiefs,DEN,AFC,AFC West,Closed,Closed,Cover 1,17,39,-6.410256410256411,39,7,2,-250,1,No,Yes,39,1,1,No,3.5743589743589745,2.471794871794872,No,No,,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Open,Cover 6,17,40,-6.875,40,14,,-275,1,No,Yes,40,1,1,No,3.285,2.3375,No,No,True,0.05
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 2,17,37,-5.351351351351352,37,11,7,-198,1,Yes,Yes,36,0.972972972972973,0.972972972972973,No,3.6432432432432433,2.513888888888889,No,No,,
10,Denver,Broncos,KC,AFC,AFC West,Closed,Closed,Cover 1,17,63,-5.714285714285714,63,18,6,-360,1,No,Yes,63,1,1,No,3.515873015873016,2.528571428571429,No,No,True,
14,Indianapolis,Colts,JAX,AFC,AFC South,Closed,Closed,Cover 1,16,36,-6.75,36,12,,-243,1,No,Yes,35,0.9722222222222222,0.9722222222222222,Yes,3.5027777777777778,2.5542857142857143,No,No,True,
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 4,16,38,-8.236842105263158,38,13,1,-313,1,No,Yes,38,1,1,No,3.6263157894736846,2.5789473684210527,No,No,True,
22,New England,Patriots,BUF,AFC,AFC East,Open,Closed,Cover 3,17,28,-5.464285714285714,28,6,2,-153,1,No,No,28,1,1,No,3.625,2.567857142857143,No,No,True,
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Open,Closed,Cover 1,17,46,-6.891304347826087,46,16,2,-317,1,Yes,Yes,44,0.9565217391304348,0.9565217391304348,Yes,3.467391304347826,2.6113636363636363,No,No,True,
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Open,Cover 4,17,45,-7.266666666666667,45,16,7,-327,1,No,Yes,44,0.9777777777777777,0.9777777777777777,No,3.6622222222222223,2.6204545454545456,No,No,,
31,Tennessee,Titans,HST,AFC,AFC South,Open,Open,Red Zone,16,32,-6.3125,32,13,4,-202,1,No,Yes,32,1,1,No,3.675,2.6125,No,No,True,
25,New York,Jets,MIA,AFC,AFC East,Open,Open,Cover 6,17,43,-7.27906976744186,43,9,5,-313,1,No,Yes,40,0.9302325581395349,0.9302325581395349,No,3.6023255813953488,2.4274999999999998,No,No,True,
20,Miami,Dolphins,NYJ,AFC,AFC East,Open,Open,Cover 6,17,35,-7.057142857142857,35,13,4,-247,1,No,Yes,35,1,1,No,3.505714285714286,2.3657142857142857,No,No,,
3,Baltimore,Ravens,CLV,AFC,AFC North,Closed,Closed,Cover 3,17,54,-5.888888888888889,54,15,3,-318,1,No,Yes,53,0.9814814814814815,0.9814814814814815,Yes,3.6425925925925924,2.5830188679245283,No,No,True,0.018518518518518517
12,Green Bay,Packers,CHI,NFC,NFC North,Open,Closed,Cover 3,16,45,-6.688888888888889,45,6,3,-301,1,No,Yes,45,1,1,No,3.1799999999999997,2.4422222222222225,No,No,True,
15,Jacksonville,Jaguars,IND,AFC,AFC South,Closed,Closed,Cover 1,17,34,-6.764705882352941,34,10,,-230,1,No,Yes,33,0.9705882352941176,0.9705882352941176,Yes,3.4941176470588236,2.7090909090909094,No,No,,0.029411764705882353
18,Los Angeles,Chargers,LV,AFC,AFC West,Closed,Closed,Cover 1,17,46,-5.326086956521739,46,14,4,-245,1,Yes,Yes,45,0.9782608695652174,0.9782608695652174,No,3.582608695652174,2.5577777777777775,No,No,,0.021739130434782608
11,Detroit,Lions,MIN,NFC,NFC North,Closed,Closed,Red Zone,17,37,-6.918918918918919,37,4,6,-256,1,Yes,Yes,37,1,1,No,3.381081081081081,2.608108108108108,No,No,True,
23,New Orleans,Saints,TB,NFC,NFC South,Open,Closed,Cover 1,17,39,-6.153846153846154,39,9,,-240,1,Yes,Yes,37,0.9487179487179487,0.9487179487179487,Yes,3.717948717948718,2.710810810810811,No,No,,
21,Minnesota,Vikings,DET,NFC,NFC North,Closed,Closed,Red Zone,17,49,-7.040816326530612,49,11,3,-345,1,Yes,Yes,46,0.9387755102040817,0.9387755102040817,No,3.579591836734694,2.567391304347826,No,No,,
13,Houston,Texans,TEN,AFC,AFC South,Open,Open,Red Zone,17,49,-6.857142857142857,49,6,6,-336,1,No,Yes,48,0.9795918367346939,0.9795918367346939,No,3.395918367346939,2.4125,No,No,,
9,Dallas,Cowboys,WAS,NFC,NFC East,Closed,Open,Cover 4,17,52,-6.480769230769231,52,12,5,-337,1,No,Yes,51,0.9807692307692307,0.9807692307692307,Yes,3.6826923076923075,2.3705882352941177,No,No,True,
19,Las Vegas,Raiders,LAC,AFC,AFC West,Closed,Closed,Cover 1,17,38,-8.236842105263158,38,16,1,-313,1,Yes,Yes,38,1,1,No,3.3105263157894735,2.2973684210526315,No,No,True,
