teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingIncompletionsBatted
1,Arizona,Cardinals,True,SF,NFC,NFC West,Closed,Closed,Cover 1,17,178,107,0.6261682242990654,10,59,0.5514018691588785,0.7209302325581395,0.010963432139534879,20,15,0.028037383177570093,758,7.08411214953271,0.4050131926121372,3.4594594594594597,843,5,2,41,16,28,-256,0.2303370786516854,No,Yes,178,1,0.6701206460674157,No,0.0056179775280898875,0.1588785046728972,13,0.12149532710280374,0.009345794392523364,0.056074766355140186,0.29906542056074764,0.12149532710280374,0.37383177570093457,3.756355140186916,3.6707317073170733,5.496666666666667,2.601123595505618,9.689655172413794,85.3,No,No,37,
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Closed,Cover 1,17,189,131,0.5648854961832062,5,62,0.4732824427480916,0.6666666666666666,0.0014472720490195101,22,26,0.04580152671755725,957,7.305343511450381,0.2988505747126437,2.662721893491124,1277,2,7,38,9,24,-232,0.20105820105820105,No,Yes,189,1,0.6462695767195767,Yes,,0.22900763358778625,22,0.16793893129770993,0.07633587786259542,0.04580152671755725,0.37404580152671757,0.12213740458015267,0.3053435114503817,3.5335877862595417,3.7210526315789476,4.715,2.5783068783068783,12.065420560747663,54.8,No,No,40,2
24,New York,Giants,,PHI,NFC,NFC East,Open,Closed,Cover 3,17,192,124,0.5725806451612904,10,56,0.45161290322580644,0.6078431372549019,-0.09313214477450982,16,47,0.04838709677419355,716,5.774193548387097,0.33100558659217877,1.9880952380952381,1015,4,4,44,9,19,-282,0.22916666666666666,No,Yes,192,1,0.7140354166666666,No,0.010416666666666666,0.25,16,0.12903225806451613,0.03225806451612903,0.04032258064516129,0.45161290322580644,0.0967741935483871,0.33064516129032256,3.141935483870968,3.6181818181818177,4.466666666666667,2.4739583333333335,9.822429906542055,61.1,No,Yes,28,1
13,Houston,Texans,,TEN,AFC,AFC South,Open,Closed,Cover 3,17,219,144,0.4930555555555556,7,55,0.3819444444444444,0.5299145299145299,-0.13267303577777778,13,79,0.04861111111111111,724,5.027777777777778,0.43922651933701656,1.9791666666666667,1509,8,4,48,6,14,-324,0.2191780821917808,No,Yes,219,1,0.6928952054794522,No,0.0045662100456621,0.3333333333333333,25,0.1736111111111111,0.06944444444444445,0.020833333333333332,0.4375,0.125,0.2222222222222222,3.2826388888888887,3.4104166666666664,4.9,2.4794520547945207,12.023255813953488,61.8,No,Yes,30,2
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 0,17,239,171,0.5964912280701754,11,88,0.5146198830409356,0.6713286713286714,-0.018618306881118762,17,43,0.04678362573099415,998,5.83625730994152,0.36072144288577157,2.4193548387096775,1483,8,7,46,10,21,-318,0.19246861924686193,No,Yes,239,1,0.6661420502092049,Yes,0.008368200836820083,0.2222222222222222,28,0.16374269005847952,0.05263157894736842,0.04093567251461988,0.38596491228070173,0.1695906432748538,0.391812865497076,3.2801169590643275,3.652173913043478,4.918181818181818,2.465271966527197,10.053691275167786,67.8,No,No,51,5
11,Detroit,Lions,True,MIN,NFC,NFC North,Open,Open,Cover 0,17,213,145,0.4689655172413793,14,55,0.3793103448275862,0.5357142857142857,-0.11073606150000004,24,50,0.034482758620689655,765,5.275862068965517,0.3542483660130719,1.8076923076923077,1452,,4,37,4,33,-256,0.17370892018779344,No,Yes,213,1,0.6400058685446011,Yes,0.004694835680751174,0.30344827586206896,27,0.18620689655172415,0.05517241379310345,0.027586206896551724,0.4068965517241379,0.05517241379310345,0.2896551724137931,3.6406896551724137,3.381081081081081,4.841935483870968,2.6769953051643194,12.091666666666667,44.2,No,No,32,1
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Closed,Cover 3,17,234,158,0.5189873417721519,12,75,0.47468354430379744,0.6694214876033058,-0.00215578507438019,25,80,0.0379746835443038,1095,6.930379746835443,0.4392694063926941,4.805128205128205,1341,10,3,37,9,21,-223,0.1581196581196581,No,Yes,234,1,0.6411863247863248,Yes,0.01282051282051282,0.25316455696202533,28,0.17721518987341772,0.05063291139240506,0.08227848101265822,0.33544303797468356,0.16455696202531644,0.31645569620253167,3.6556962025316455,3.7756756756756755,5.456410256410257,2.7162393162393164,10.515625,83.7,No,Yes,43,5
9,Dallas,Cowboys,True,WAS,NFC,NFC East,Open,Closed,Cover 1,17,212,138,0.6811594202898551,10,72,0.5217391304347826,0.6610169491525424,-0.004262764559321952,15,68,0.043478260869565216,943,6.833333333333333,0.41039236479321317,4.08994708994709,1471,8,,51,12,24,-330,0.24056603773584906,No,Yes,212,1,0.6685558962264152,Yes,,0.15942028985507245,29,0.21014492753623187,0.028985507246376812,0.057971014492753624,0.4420289855072464,0.10144927536231885,0.43478260869565216,3.5268115942028984,3.7196078431372546,5.27391304347826,2.4768867924528304,12.057377049180328,93.4,No,No,39,1
19,Las Vegas,Raiders,True,LAC,AFC,AFC West,Open,Open,Cover 6,17,173,114,0.5964912280701754,12,56,0.49122807017543857,0.6630434782608695,-0.024117334108695654,17,54,0.043859649122807015,548,4.807017543859649,0.2864963503649635,2.0065789473684212,960,8,2,38,16,20,-313,0.21965317919075145,No,Yes,173,1,0.6912531791907515,No,0.017341040462427744,0.20175438596491227,14,0.12280701754385964,0.017543859649122806,0.05263157894736842,0.38596491228070173,0.09649122807017543,0.42105263157894735,3.2912280701754386,3.3105263157894735,5.019047619047619,2.391907514450867,10.329787234042554,79.1,No,Yes,37,3
12,Green Bay,Packers,True,CHI,NFC,NFC North,Closed,Closed,Cover 1,17,213,138,0.572463768115942,8,66,0.4782608695652174,0.6517857142857143,-0.08237926417857133,19,104,0.050724637681159424,573,4.1521739130434785,0.3787085514834206,0.8306010928961749,963,3,4,45,6,20,-301,0.2112676056338028,No,Yes,213,1,0.6810450704225353,Yes,0.004694835680751174,0.2318840579710145,13,0.09420289855072464,0.057971014492753624,0.007246376811594203,0.3333333333333333,0.14492753623188406,0.37681159420289856,3.428985507246377,3.1799999999999997,5.12,2.547417840375587,8.23076923076923,54.4,No,No,31,2
