teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingTouchdownsTotal,opponentStatsPassingRunPassOptionPercentage
14,Indianapolis,Colts,True,JAX,AFC,AFC South,Open,Open,Cover 2,15,27,27,0.6296296296296297,3,15,0.5555555555555556,0.5555555555555556,0.000941786925925947,340,12.592592592592593,0.25882352941176473,10.925925925925926,482,1,7,No,Yes,20,0.7407407407407407,0.020885185185185198,No,0.37037037037037035,9,0.3333333333333333,0.07407407407407407,0.1111111111111111,0.5185185185185185,4.748148148148148,2.63,17.85185185185185,85,No,Yes,14,,,,
10,Denver,Broncos,True,KC,AFC,AFC West,Open,Open,Cover 6,17,36,36,0.6944444444444444,5,19,0.5277777777777778,0.6111111111111112,-0.08196432674999987,326,9.055555555555555,0.35276073619631904,9.472222222222221,367,1,7,No,No,29,0.8055555555555556,0.11413055555555553,Yes,0.3055555555555556,4,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.4444444444444444,4.583333333333333,2.737931034482759,10.194444444444445,100,No,Yes,13,22,0.08333333333333333,3,
22,New England,Patriots,True,BUF,AFC,AFC East,Open,Open,Cover 4,17,30,30,0.6333333333333333,6,17,0.5666666666666667,0.5666666666666667,-0.0377322708333333,243,8.1,0.2757201646090535,5.1,466,2,3,No,Yes,27,0.9,0.18902499999999994,No,0.36666666666666664,8,0.26666666666666666,0.06666666666666667,,0.3,4.696666666666667,2.785185185185185,15.533333333333333,55.3,No,No,14,,,,
30,Tampa Bay,Buccaneers,True,NO,NFC,NFC South,Closed,Closed,Cover 3,17,20,20,0.6,4,12,0.6,0.631578947368421,0.049504953789473616,198,9.9,0.3383838383838384,12.9,320,,2,No,Yes,17,0.85,0.1289625,Yes,0.35,5,0.25,0.1,0.15,0.5,4.755,2.5,16.25,132.9,No,No,9,,,3,
17,Los Angeles,Rams,True,ARZ,NFC,NFC West,Closed,Closed,Cover 3,14,25,25,0.6,2,14,0.56,0.6,0.026655771760000002,238,9.52,0.18067226890756302,5.72,422,3,9,No,Yes,21,0.84,-0.0026500000000000056,Yes,0.36,9,0.36,0.12,0.04,0.48,5.46,2.9761904761904763,16.88,75.5,No,No,12,7,0.04,2,
31,Tennessee,Titans,True,CIN,AFC,AFC North,Open,Open,Red Zone,11,22,22,0.5909090909090909,3,12,0.5454545454545454,0.5909090909090909,-0.050845257090909035,226,10.272727272727273,0.3805309734513274,8,295,2,6,No,Yes,20,0.9090909090909091,0.15912045454545456,Yes,0.4090909090909091,4,0.18181818181818182,,0.22727272727272727,0.36363636363636365,4.922727272727273,2.645,13.409090909090908,82.8,No,Yes,11,16,0.045454545454545456,2,
28,Seattle,Seahawks,,CHI,NFC,NFC North,Open,Open,Cover 4,15,23,23,0.5217391304347826,5,9,0.391304347826087,0.5,-0.14530071436363634,137,5.956521739130435,0.32116788321167883,6.826086956521739,283,,3,No,Yes,18,0.782608695652174,-0.024191304347826088,No,0.4782608695652174,4,0.17391304347826086,,0.043478260869565216,0.2608695652173913,5.252173913043478,2.95,12.652173913043478,74,No,Yes,7,17,0.08695652173913043,1,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Closed,Closed,Cover 3,17,32,32,0.71875,5,22,0.6875,0.6875,0.040079418406249956,286,8.9375,0.2062937062937063,11.90625,396,1,8,No,Yes,25,0.78125,0.04274687499999996,No,0.28125,6,0.1875,0.03125,0.125,0.5,4.85625,2.6519999999999997,12.375,123.2,No,No,18,,,7,0.03125
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Open,Cover 2,17,26,26,0.6153846153846154,4,12,0.46153846153846156,0.5769230769230769,-0.010709141923077037,152,5.846153846153846,0.26973684210526316,5.846153846153846,466,,5,No,No,20,0.7692307692307693,0.006594230769230773,No,0.38461538461538464,8,0.3076923076923077,,0.038461538461538464,0.5,4.996153846153846,2.665,17.923076923076923,64.9,No,Yes,8,76,0.11538461538461539,,
2,Atlanta,Falcons,True,CAR,NFC,NFC South,Open,Open,Red Zone,15,26,26,0.6923076923076923,7,13,0.5,0.5384615384615384,-0.09536340653846154,179,6.884615384615385,0.2346368715083799,9.192307692307692,363,,3,No,Yes,22,0.8461538461538461,0.0032384615384615065,No,0.3076923076923077,5,0.19230769230769232,,0.038461538461538464,0.38461538461538464,5.461538461538462,2.5772727272727276,13.961538461538462,110.9,No,Yes,10,13,0.038461538461538464,3,0.038461538461538464
