teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingTowThrowPercentage,opponentStatsPassingInterceptionsTotal
19,Las Vegas,Raiders,True,LAC,AFC,AFC West,Closed,Open,Cover 2,17,58,58,1,2,43,0.7413793103448276,0.8103448275862069,0.08689296587931039,38,0.06896551724137931,477,8.224137931034482,0.4381551362683438,8.913793103448276,481,2,No,No,8,0.13793103448275862,-0.17957543103448279,No,0.017241379310344827,6,0.10344827586206896,0.017241379310344827,0.7068965517241379,0.034482758620689655,2.415689655172414,2.3375,8.293103448275861,109.6,No,Yes,23,,,
2,Atlanta,Falcons,True,CAR,NFC,NFC South,Open,Closed,Cover 3,17,47,47,1,6,38,0.8085106382978723,0.8936170212765957,0.1679567415531915,30,0.0851063829787234,376,8,0.31648936170212766,10.553191489361701,380,6,No,No,15,0.3191489361702128,-0.05290638297872339,No,,7,0.14893617021276595,0.0851063829787234,0.6808510638297872,0.1276595744680851,2.7319148936170214,2.54,8.085106382978724,139.6,Yes,Yes,21,1,0.02127659574468085,
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Cover 4,17,51,51,1,6,41,0.803921568627451,0.8823529411764706,0.16969454900000003,28,0.0784313725490196,431,8.450980392156863,0.3039443155452436,10.803921568627452,463,6,No,No,6,0.11764705882352941,-0.17279999999999998,Yes,0.0196078431372549,7,0.13725490196078433,0.058823529411764705,0.8235294117647058,0.0784313725490196,2.2588235294117647,2.4166666666666665,9.07843137254902,141.1,No,Yes,23,,,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Open,Cover 2,17,43,43,1,4,34,0.7906976744186046,0.8604651162790697,0.09899550190697681,14,0.06976744186046512,314,7.3023255813953485,0.5191082802547771,8.232558139534884,286,2,No,No,7,0.16279069767441862,-0.18530581395348836,No,0.046511627906976744,3,0.06976744186046512,0.046511627906976744,0.6046511627906976,0.09302325581395349,2.5930232558139537,3,6.651162790697675,112.6,No,Yes,15,,,
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Open,Cover 0,17,38,38,1,4,25,0.6578947368421053,0.8157894736842105,0.06476150400000003,58,0.15789473684210525,241,6.342105263157895,0.5269709543568465,7.921052631578948,273,3,No,No,8,0.21052631578947367,-0.07476710526315791,Yes,,3,0.07894736842105263,0.02631578947368421,0.8157894736842105,0.05263157894736842,2.2289473684210526,2.1875,7.184210526315789,109.6,No,Yes,13,,,
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,35,35,1,4,27,0.7714285714285715,0.8857142857142857,0.15364357194285716,17,0.11428571428571428,312,8.914285714285715,0.3108974358974359,10.628571428571428,288,3,No,Yes,10,0.2857142857142857,-0.037957142857142856,No,,5,0.14285714285714285,0.02857142857142857,0.6857142857142857,0.14285714285714285,2.4514285714285715,2.34,8.228571428571428,132.1,No,Yes,18,,,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Closed,Cover 1,17,51,51,1,2,40,0.7843137254901961,0.8235294117647058,0.11701273190196082,31,0.0392156862745098,486,9.529411764705882,0.3374485596707819,9.92156862745098,499,1,No,No,9,0.17647058823529413,-0.1538882352941177,Yes,0.0392156862745098,8,0.1568627450980392,0.0784313725490196,0.7254901960784313,0.09803921568627451,2.4901960784313726,2.5444444444444447,9.784313725490197,112.9,No,Yes,23,1,,
27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,Open,Open,Cover 2,17,51,51,1,5,37,0.7254901960784313,0.8235294117647058,0.10983408901960778,52,0.09803921568627451,416,8.156862745098039,0.3389423076923077,8.941176470588236,498,2,No,No,13,0.2549019607843137,-0.08053039215686277,No,,4,0.0784313725490196,0.058823529411764705,0.6862745098039216,0.09803921568627451,2.519607843137255,2.338461538461538,9.764705882352942,109.6,No,Yes,23,1,,
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Closed,Cover 3,16,39,39,1,5,30,0.7692307692307693,0.7948717948717948,0.09254819435897432,14,0.02564102564102564,317,8.128205128205128,0.4637223974763407,9.666666666666666,313,3,No,No,4,0.10256410256410256,-0.2250628205128205,No,,3,0.07692307692307693,0.07692307692307693,0.7435897435897436,0.05128205128205128,2.4743589743589745,2.9000000000000004,8.025641025641026,125.7,Yes,Yes,19,1,0.02564102564102564,
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Closed,Cover 1,17,52,52,1,6,38,0.7307692307692307,0.8653846153846154,0.17043922450000004,86,0.1346153846153846,412,7.923076923076923,0.3786407766990291,8.98076923076923,489,5,Yes,Yes,15,0.28846153846153844,-0.07642980769230771,No,,10,0.19230769230769232,0.057692307692307696,0.6923076923076923,0.09615384615384616,2.6903846153846156,2.7333333333333334,9.403846153846153,120,No,Yes,20,,,1
