teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,teamIsHomeTeam
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Open,Cover 2,15,29,29,5,-0.70086263775,-1.5517241379310345,276,1,1,No,Yes,13,0.4482758620689655,0.020458620689655146,No,0.034482758620689655,1,4,0.13793103448275862,0.06896551724137931,0.5517241379310345,0.10344827586206896,3.055172413793103,2.4076923076923076,9.793103448275861,25.2,No,No,
22,New England,Patriots,BUF,AFC,AFC East,Open,Closed,Cover 3,15,19,19,1,-0.6927373507894736,,182,,,No,No,3,0.15789473684210525,-0.14328684210526318,No,,1,2,0.10526315789473684,0.05263157894736842,0.8421052631578947,0.05263157894736842,2.3210526315789473,2.3666666666666667,9.578947368421053,39.6,No,No,True
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Open,Closed,Cover 1,16,23,23,3,-0.7013394385217392,-1.9565217391304348,246,1,,No,No,5,0.21739130434782608,-0.1409086956521739,No,,1,4,0.17391304347826086,0.08695652173913043,0.6956521739130435,0.08695652173913043,2.652173913043478,2.54,10.695652173913043,21.5,No,No,True
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 2,17,24,24,1,-0.6825859860833333,-1.875,257,1,,No,Yes,6,0.25,-0.09355000000000002,No,0.041666666666666664,1,3,0.125,0.08333333333333333,0.75,,2.566666666666667,2.3333333333333335,10.708333333333334,22.2,No,No,True
31,Tennessee,Titans,HST,AFC,AFC South,Open,Closed,Cover 1,15,24,24,1,-0.7573816254583333,-3.75,154,2,1,No,No,9,0.375,0.02929374999999997,Yes,0.041666666666666664,1,1,0.041666666666666664,0.08333333333333333,0.75,0.08333333333333333,2.5791666666666666,2.588888888888889,6.416666666666667,4.9,No,No,True
14,Indianapolis,Colts,JAX,AFC,AFC South,Open,Open,Cover 2 Man,17,20,20,2,-0.7552056269499999,,141,,,No,No,7,0.35,0.026575000000000015,No,,1,1,0.05,,0.7,0.15,2.45,2.1714285714285713,7.05,39.6,No,No,True
10,Denver,Broncos,KC,AFC,AFC West,Closed,Closed,Cover 1,16,20,20,2,-0.71979033715,,179,,,Yes,No,5,0.25,-0.0432375,No,,1,2,0.1,,0.8,,2.275,2.6,8.95,39.6,No,No,True
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Open,Cover 6,15,22,22,2,-0.7021712320909091,,214,,,No,No,10,0.45454545454545453,0.061336363636363606,No,0.09090909090909091,1,2,0.09090909090909091,,0.6818181818181818,0.045454545454545456,2.854545454545455,2.6900000000000004,9.727272727272727,39.6,No,No,True
29,San Francisco,49ers,ARZ,NFC,NFC West,Closed,Closed,Cover 1,17,19,19,3,-0.6900016426315789,,198,,,No,Yes,5,0.2631578947368421,-0.09794473684210525,No,0.05263157894736842,1,4,0.21052631578947367,0.05263157894736842,0.42105263157894735,0.21052631578947367,2.668421052631579,2.34,10.421052631578947,39.6,No,No,
16,Kansas City,Chiefs,DEN,AFC,AFC West,Closed,Closed,Cover 1,15,18,18,4,-0.6602644064117648,,204,,1,Yes,No,10,0.5555555555555556,0.1564222222222222,No,,1,5,0.2777777777777778,,0.5,0.05555555555555555,2.888888888888889,2.2600000000000002,12,39.6,No,No,
