teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingTouchdownsTotal
19,Las Vegas,Raiders,True,LAC,AFC,AFC West,Open,Open,Cover 2,11,9,9,1,9,1,1,0.06115664422222222,68,7.555555555555555,1.3676470588235294,7.555555555555555,-25,No,No,-0.08288333333333334,No,0.3333333333333333,1,0.6666666666666666,1.0555555555555556,-2.7777777777777777,98.1,No,Yes,2,,,,,,,
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Closed,Cover 3,9,3,3,1,3,1,1,0.0664034533333333,4,1.3333333333333333,2.5,1.3333333333333333,-6,Yes,No,-0.1078,No,0.6666666666666666,1,0.6666666666666666,1.2,-2,79.2,No,Yes,1,,,,,,,
2,Atlanta,Falcons,,WAS,NFC,NFC East,Open,Open,Cover 6,9,14,14,1,14,1,1,0.06189621042857141,70,5,1.6142857142857143,5,-43,No,No,-0.10040714285714285,No,0.7142857142857143,1,0.8571428571428571,1.157142857142857,-3.0714285714285716,87.5,No,Yes,5,,,,,,,
7,Cincinnati,Bengals,True,DEN,AFC,AFC West,Closed,Open,Cover 6,13,12,12,1,10,0.8333333333333334,1,0.06168563883333322,87,7.25,1.367816091954023,7.25,-37,Yes,No,-0.12505,No,0.8333333333333334,1,0.75,1.3,-3.0833333333333335,96.9,No,Yes,3,-5,0.16666666666666666,,,,,
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Open,Open,Cover 6,14,11,11,1,9,0.8181818181818182,1,0.06220184354545455,30,2.727272727272727,2.033333333333333,2.727272727272727,-38,Yes,No,-0.09995909090909091,No,0.7272727272727273,1,0.5454545454545454,1.1545454545454545,-3.4545454545454546,79.2,No,Yes,3,-7,0.18181818181818182,,,,,
8,Cleveland,Browns,True,MIA,AFC,AFC East,Open,Closed,Cover 3,6,4,4,0.75,3,0.75,0.75,-0.17585347275000007,45,11.25,1.2,11.25,-9,Yes,No,-0.099175,No,0.75,1,0.75,1.1500000000000001,-2.25,111.5,No,Yes,2,,,0.25,,,,
16,Kansas City,Chiefs,,PIT,AFC,AFC North,Open,Closed,Cover 3,9,9,9,1,9,1,1,0.06083873255555561,25,2.7777777777777777,2.2,2.7777777777777777,-30,Yes,No,-0.10396666666666668,Yes,0.7777777777777778,1,0.6666666666666666,1.1777777777777778,-3.3333333333333335,79.2,No,Yes,1,,,,,,,
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Open,Cover 4,6,4,4,1,4,1,1,0.0658777465,33,8.25,1.2424242424242424,8.25,-8,Yes,No,-0.081925,No,1,1,1,1.05,-2,101,No,Yes,2,,,,,,,
27,Pittsburgh,Steelers,True,KC,AFC,AFC West,Open,Closed,Cover 3,6,9,9,1,9,1,1,0.062269250666666665,49,5.444444444444445,1.489795918367347,5.444444444444445,-24,Yes,No,-0.11355000000000001,Yes,0.6666666666666666,1,0.8888888888888888,1.2333333333333334,-2.6666666666666665,89.4,No,Yes,2,,,,,,,
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Open,Cover 2,12,10,10,1,10,1,1,0.06045779649999994,53,5.3,1.6037735849056605,5.3,-32,Yes,No,-0.09745000000000001,No,0.6,1,0.9,1.1400000000000001,-3.2,88.8,No,Yes,2,,,,,,,
