teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingSackedAvoidedTotal
21,Minnesota,Vikings,DET,NFC,NFC North,Open,Open,Cover 0,17,49,49,0.9387755102040817,42,0.8571428571428571,0.9183673469387755,-0.008540883816326561,-16,0.061224489795918366,275,5.612244897959184,1.4472727272727273,5.510204081632653,-155,2,1,No,No,2,0.04081632653061224,-0.14056020408163264,Yes,0.061224489795918366,0.061224489795918366,0.02040816326530612,1,0.6326530612244898,1.626530612244898,2.45,-3.163265306122449,95.2,No,Yes,12,,
16,Kansas City,Chiefs,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,34,34,0.9705882352941176,32,0.9411764705882353,0.9705882352941176,0.03509017682352933,-2,0.029411764705882353,234,6.882352941176471,1.5,7.470588235294118,-122,1,,Yes,No,2,0.058823529411764705,-0.12863088235294118,No,0.11764705882352941,0.029411764705882353,,1,0.7941176470588235,1.661764705882353,2.1,-3.588235294117647,105.1,No,Yes,9,,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Open,Cover 2,17,35,35,0.8857142857142857,30,0.8571428571428571,0.8857142857142857,-0.050324531600000055,-5,0.02857142857142857,166,4.742857142857143,1.6566265060240963,3.4571428571428573,-127,,1,Yes,No,2,0.05714285714285714,-0.1314857142857143,No,0.11428571428571428,0.11428571428571428,0.02857142857142857,1,0.7142857142857143,1.6685714285714286,2.05,-3.6285714285714286,74.5,No,Yes,8,True,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 2,17,36,36,0.9444444444444444,34,0.9444444444444444,0.9444444444444444,0.011195749111110986,,,224,6.222222222222222,1.4910714285714286,7.333333333333333,-126,2,,No,No,2,0.05555555555555555,-0.13945277777777776,No,0.027777777777777776,0.05555555555555555,,1,0.8055555555555556,1.7055555555555555,2.25,-3.5,111.1,No,Yes,10,True,
4,Buffalo,Bills,NE,AFC,AFC East,Open,Closed,Cover 3,17,61,61,0.9508196721311475,53,0.8688524590163934,0.9344262295081968,0.0019013559672130809,-13,0.06557377049180328,353,5.786885245901639,1.4362606232294617,5.704918032786885,-178,2,1,Yes,No,3,0.04918032786885246,-0.16805819672131148,No,0.03278688524590164,0.04918032786885246,0.01639344262295082,1,0.7377049180327869,1.8344262295081968,2.1999999999999997,-2.918032786885246,94.9,No,Yes,19,,
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Open,Cover 6,17,47,47,0.9787234042553191,44,0.9361702127659575,0.9787234042553191,0.0448961301914893,-3,0.0425531914893617,405,8.617021276595745,1.3209876543209877,8.617021276595745,-136,,,No,No,1,0.02127659574468085,-0.13423617021276596,No,0.10638297872340426,0.02127659574468085,,1,0.7872340425531915,1.476595744680851,2.3,-2.893617021276596,102.6,No,Yes,16,,
6,Chicago,Bears,GB,NFC,NFC North,Closed,Open,Cover 2,17,44,44,0.9545454545454546,42,0.9545454545454546,0.9545454545454546,0.02400148550000003,,,375,8.522727272727273,1.392,8.977272727272727,-151,1,,No,No,2,0.045454545454545456,-0.16976590909090908,No,0.1590909090909091,0.045454545454545456,0.022727272727272728,1,0.7727272727272727,1.8227272727272728,1.9000000000000001,-3.4318181818181817,109.8,No,Yes,14,,
24,New York,Giants,PHI,NFC,NFC East,Closed,Closed,Cover 1,17,41,41,0.975609756097561,39,0.9512195121951219,0.975609756097561,0.04383137468292686,-3,0.024390243902439025,304,7.414634146341464,1.3980263157894737,7.902439024390244,-132,1,,Yes,No,1,0.024390243902439025,-0.1583,No,0.17073170731707318,0.024390243902439025,,1,0.6829268292682927,1.6341463414634145,1.5,-3.2195121951219514,105.7,No,Yes,17,,
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 2,17,49,49,1,48,0.9795918367346939,1,0.0668340587959183,-6,0.02040816326530612,293,5.979591836734694,1.484641638225256,6.795918367346939,-148,2,,No,No,1,0.02040816326530612,-0.1775142857142857,No,0.08163265306122448,,,1,0.8367346938775511,1.722448979591837,1.7,-3.020408163265306,105.2,No,Yes,12,,
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Open,Cover 6,17,45,45,0.9777777777777777,44,0.9777777777777777,0.9777777777777777,0.041575809911111095,,,254,5.644444444444445,1.6968503937007875,6.533333333333333,-185,2,,No,No,1,0.022222222222222223,-0.15917777777777778,No,0.15555555555555556,0.022222222222222223,0.022222222222222223,1,0.9111111111111111,1.6266666666666667,1.5,-4.111111111111111,105,No,Yes,12,True,
