teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingReceptionsHero
9,Dallas,Cowboys,1,TB,NFC,NFC South,Open,Open,Cover 2 Man,11,11,No,No,No,52,9,No,1,Yes,7,0.7778,0.1731,6,0.6667,85,57,7,60,2,0.3333,0.1111,0.2222,0.2222,0.4444,7,0.7778,1,0.1111,6.6667,97,1.6346,9.4444,2.2131,14.1667,9.5,1.1667,6,2,,,,,,,
32,Washington,Commanders,1,ATL,NFC,NFC South,Open,Open,Cover 2 Man,9,18,No,No,No,87,15,No,4,No,10,0.6667,0.1724,8,0.5333,120,41,9,205,,,0.0667,,0.6,0.3333,10,0.6667,,,13.6667,52.1,1.3793,8,-0.9951,15,5.125,1.125,8,,2,,,,,,
2,Atlanta,Falcons,,WAS,NFC,NFC East,Open,Open,Cover 2 Man,14,12,No,No,No,58,10,No,1,No,6,0.6,0.1724,5,0.5,70,29,14,130,2,0.4,0.1,,0.4,0.5,7,0.7,,,13,106.3,1.2069,7,-1.1126,14,5.8,2.8,4,,,2,1,1,1,0.1,
7,Cincinnati,Bengals,1,DEN,AFC,AFC West,Open,Open,Cover 2 Man,13,14,No,Yes,No,66,12,No,3,No,7,0.5833,0.1818,6,0.5,68,30,24,115,3,0.5,0.0833,0.0833,0.3333,0.5,8,0.6667,1,0.0833,9.5833,27.8,1.0303,5.6667,-2.0506,11.3333,5,4,3,,1,,,,,,
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Cover 2 Man,7,1,No,No,No,5,1,No,,Yes,1,1,0.2,1,1,14,8,3,6,,,,1,,,,,,,6,118.8,2.8,14,6.907,14,8,3,1,,,,,,,,
26,Philadelphia,Eagles,1,PIT,AFC,AFC North,Open,Open,Cover 2 Man,4,5,No,Yes,No,25,3,No,1,No,2,0.6667,0.12,1,0.3333,6,5,4,11,,,0.3333,,0.3333,0.3333,2,0.6667,,,3.6667,42.4,0.24,2,-4.2428,6,5,4,,,,,,,1,0.3333,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Open,Open,Cover 2 Man,13,34,No,Yes,No,154,28,No,3,No,19,0.6786,0.1818,16,0.5714,119,66,33,233,2,0.125,0.1071,0.0714,0.5,0.3214,20,0.7143,1,0.0357,8.3214,52.5,0.7727,4.25,-3.6084,7.4375,4.125,2.0625,8,,1,,,,1,0.0357,
29,San Francisco,49ers,1,DET,NFC,NFC North,Open,Open,Cover 2 Man,7,3,No,No,No,12,3,No,1,Yes,2,0.6667,0.25,1,0.3333,10,13,5,15,,,,,0.6667,0.3333,2,0.6667,1,0.3333,5,43.8,0.8333,3.3333,-3.9151,10,13,5,1,1,,,,,1,0.3333,
1,Arizona,Cardinals,,MIN,NFC,NFC North,Open,Open,Cover 2 Man,4,4,No,Yes,No,20,3,No,,No,3,1,0.15,3,1,35,17,3,18,,,0.3333,,0.6667,,2,0.6667,,,6,154.9,1.75,11.6667,4.3926,11.6667,5.6667,1,3,1,,,1,,,,
4,Buffalo,Bills,,DET,NFC,NFC North,Open,Open,Cover 2 Man,9,20,No,No,No,88,14,Yes,4,Yes,11,0.7857,0.1591,9,0.6429,157,36,10,177,1,0.1111,0.2143,,0.2143,0.5714,11,0.7857,1,0.0714,12.6429,126.2,1.7841,11.2143,2.4342,17.4444,4,1.1111,7,1,3,2,1,1,1,0.0714,1
