teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsReceivingTouchdownsTotal,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsInEndzone
17,Los Angeles,Rams,1,SEA,NFC,NFC West,Open,Open,Cover 2,17,85,Yes,Yes,Yes,361,71,No,4,No,58,0.8169,0.1967,52,3,1,0.7324,526,275,99,494,4,4,0.0769,0.3099,0.1127,0.2676,0.3099,38,0.5352,9,0.1268,6.9577,88.1,1.4571,7.4085,-0.0217,0.0563,10.1154,5.2885,1.9038,22,,,,
12,Green Bay,Packers,1,CHI,NFC,NFC North,Closed,Open,Cover 2,17,165,No,No,No,708,132,No,10,Yes,111,0.8409,0.1864,103,5,,0.7803,991,570,167,677,2,12,0.1165,0.2955,0.1212,0.2727,0.3106,81,0.6136,20,0.1515,5.1288,91,1.3997,7.5076,0.6299,0.0152,9.6214,5.534,1.6214,39,1,2,,
3,Baltimore,Ravens,1,CLV,AFC,AFC North,Open,Open,Cover 2,17,97,No,No,Yes,414,79,No,6,Yes,69,0.8734,0.1908,62,4,,0.7848,571,314,90,493,5,9,0.1452,0.1899,0.1519,0.2658,0.3924,54,0.6835,10,0.1266,6.2405,79.9,1.3792,7.2278,-0.0517,0.0633,9.2097,5.0645,1.4516,25,1,4,2,1
20,Miami,Dolphins,,NYJ,AFC,AFC East,Closed,Open,Cover 2,17,143,Yes,Yes,Yes,604,120,Yes,9,Yes,108,0.9,0.1987,92,2,3,0.7667,862,500,174,692,11,22,0.2391,0.1833,0.1333,0.3333,0.35,77,0.6417,15,0.125,5.7667,87.6,1.4272,7.1833,0.0976,0.0917,9.3696,5.4348,1.8913,38,2,4,2,1
25,New York,Jets,1,MIA,AFC,AFC East,Closed,Open,Cover 2,17,33,Yes,Yes,Yes,133,26,Yes,1,Yes,24,0.9231,0.1955,23,1,,0.8846,229,113,46,163,1,4,0.1739,0.1923,0.1154,0.4231,0.2692,17,0.6538,4,0.1538,6.2692,103.4,1.7218,8.8077,1.2529,0.0385,9.9565,4.913,2,11,,1,,
18,Los Angeles,Chargers,,LV,AFC,AFC West,Closed,Open,Cover 2,17,99,No,No,No,443,82,No,5,Yes,65,0.7927,0.1851,57,1,1,0.6951,554,211,79,655,5,9,0.1579,0.1707,0.1098,0.378,0.3415,52,0.6341,6,0.0732,7.9878,85.1,1.2506,6.7561,-0.9643,0.061,9.7193,3.7018,1.386,26,3,8,5,1
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Open,Open,Cover 2,17,178,No,Yes,No,796,151,No,15,Yes,134,0.8874,0.1897,122,9,2,0.8079,1403,743,245,1104,6,23,0.1885,0.245,0.1523,0.2649,0.3377,88,0.5828,13,0.0861,7.3113,111.5,1.7626,9.2914,1.8909,0.0397,11.5,6.0902,2.0082,59,4,13,5,1
13,Houston,Texans,,TEN,AFC,AFC South,Open,Open,Cover 2,17,69,No,No,No,304,63,No,2,Yes,49,0.7778,0.2072,47,2,,0.746,434,206,75,437,2,9,0.1915,0.1905,0.1111,0.381,0.3175,41,0.6508,10,0.1587,6.9365,96.9,1.4276,6.8889,-0.4529,0.0317,9.234,4.383,1.5957,18,2,3,,
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 2,17,174,No,No,No,730,146,No,10,Yes,118,0.8082,0.2,108,5,3,0.7397,1013,467,138,1224,7,4,0.037,0.1644,0.0959,0.3562,0.3836,95,0.6507,20,0.137,8.3836,78.4,1.3877,6.9384,-0.8025,0.0479,9.3796,4.3241,1.2778,43,,5,5,
23,New Orleans,Saints,,TB,NFC,NFC South,Open,Open,Cover 2,17,160,No,No,No,691,130,No,7,Yes,114,0.8769,0.1881,106,4,1,0.8154,1088,593,253,801,5,29,0.2736,0.2308,0.1385,0.2615,0.3692,71,0.5462,17,0.1308,6.1615,106,1.5745,8.3692,1.097,0.0385,10.2642,5.5943,2.3868,42,3,6,5,3
11,Detroit,Lions,1,MIN,NFC,NFC North,Open,Open,Cover 2,17,87,No,No,No,359,73,No,4,Yes,63,0.863,0.2033,59,4,,0.8082,628,304,113,439,4,7,0.1186,0.1233,0.1644,0.4247,0.2603,40,0.5479,8,0.1096,6.0137,96.8,1.7493,8.6027,1.4444,0.0548,10.6441,5.1525,1.9153,22,,1,,
19,Las Vegas,Raiders,1,LAC,AFC,AFC West,Closed,Open,Cover 2,17,123,No,No,No,561,102,No,6,Yes,88,0.8627,0.1818,85,5,,0.8333,841,409,130,570,1,12,0.1412,0.2745,0.1078,0.3627,0.2549,50,0.4902,8,0.0784,5.5882,99.4,1.4991,8.2451,1.17,0.0098,9.8941,4.8118,1.5294,35,2,2,1,1
9,Dallas,Cowboys,1,WAS,NFC,NFC East,Open,Open,Cover 2,17,83,No,No,No,349,69,No,7,Yes,58,0.8406,0.1977,50,3,1,0.7246,475,348,135,528,2,16,0.32,0.3043,0.087,0.3333,0.2754,42,0.6087,13,0.1884,7.6522,73,1.361,6.8841,-0.7487,0.029,9.5,6.96,2.7,16,,4,1,
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Closed,Open,Cover 2,17,57,Yes,No,No,242,56,No,4,Yes,47,0.8393,0.2314,46,4,,0.8214,444,255,76,378,1,8,0.1739,0.2143,0.125,0.3036,0.3571,34,0.6071,6,0.1071,6.75,105.7,1.8347,7.9286,0.3459,0.0179,9.6522,5.5435,1.6522,19,1,5,,
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Cover 2,17,104,No,No,No,435,80,No,13,Yes,68,0.85,0.1839,54,6,,0.675,556,265,92,640,8,2,0.037,0.175,0.05,0.4375,0.3,49,0.6125,11,0.1375,8,95.6,1.2782,6.95,-0.7508,0.1,10.2963,4.9074,1.7037,21,2,3,3,2
