teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam
13,Houston,Texans,TEN,AFC,AFC South,Open,Closed,Cover 3,17,325,No,Yes,No,1307,326,No,20,Yes,326,1,11,0.2494,326,20,6,1,3753,1988,661,1827,31,11,43,0.1319,0.1871,0.0951,0.3098,0.4049,258,0.7914,69,0.2117,5.6043,146.3,2.8715,11.5123,4.456,11.5123,6.0982,2.0276,172,31,
24,New York,Giants,PHI,NFC,NFC East,Open,Closed,Cover 3,17,349,No,Yes,No,1429,349,No,20,Yes,349,1,14,0.2442,349,20,7,1,3869,1845,665,2087,23,14,46,0.1318,0.1862,0.1003,0.2779,0.4327,256,0.7335,49,0.1404,5.9799,134.8,2.7075,11.086,4.0022,11.086,5.2865,1.9054,177,41,
6,Chicago,Bears,GB,NFC,NFC North,Closed,Closed,Prevent,17,325,No,No,No,1320,325,No,18,Yes,325,1,11,0.2462,325,18,8,1,3959,1933,608,2075,17,11,34,0.1046,0.1662,0.1662,0.3108,0.3569,233,0.7169,57,0.1754,6.3846,134.9,2.9992,12.1815,4.9004,12.1815,5.9477,1.8708,177,34,
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Open,Red Zone,17,360,No,Yes,No,1477,360,No,25,Yes,360,1,24,0.2437,360,25,7,1,4043,1907,622,2256,35,24,49,0.1361,0.2,0.1111,0.2833,0.4028,255,0.7083,57,0.1583,6.2667,145.9,2.7373,11.2306,3.9046,11.2306,5.2972,1.7278,205,61,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Open,Cover 6,17,382,No,No,No,1649,382,No,32,Yes,382,1,16,0.2317,382,32,7,1,4151,2038,724,2181,23,16,48,0.1257,0.1571,0.123,0.2984,0.4215,262,0.6859,45,0.1178,5.7094,132,2.5173,10.8665,3.7993,10.8665,5.3351,1.8953,193,42,1
4,Buffalo,Bills,NE,AFC,AFC East,Closed,Closed,Cover 1,17,396,No,No,No,1607,396,No,36,Yes,396,1,15,0.2464,396,36,5,1,4100,2077,662,2094,28,15,52,0.1313,0.2045,0.1237,0.3561,0.3157,290,0.7323,71,0.1793,5.2879,133.4,2.5513,10.3535,3.3093,10.3535,5.2449,1.6717,217,55,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 2,17,370,No,No,No,1564,370,No,26,Yes,370,1,10,0.2366,370,26,5,1,3930,2006,632,1955,20,10,49,0.1324,0.2027,0.127,0.3135,0.3568,234,0.6324,50,0.1351,5.2838,128.9,2.5128,10.6216,3.7138,10.6216,5.4216,1.7081,200,43,1
16,Kansas City,Chiefs,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,375,Yes,No,No,1512,375,No,34,Yes,375,1,17,0.248,375,34,14,1,3970,2053,601,1987,24,17,38,0.1013,0.1573,0.1307,0.4373,0.2747,273,0.728,59,0.1573,5.2987,132.1,2.6257,10.5867,3.6638,10.5867,5.4747,1.6027,191,49,
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 2,17,338,No,No,No,1396,338,No,28,Yes,338,1,14,0.2421,338,28,5,1,3476,1882,538,1654,25,14,46,0.1361,0.2249,0.1331,0.287,0.355,245,0.7249,63,0.1864,4.8935,134.2,2.49,10.284,3.3967,10.284,5.568,1.5917,181,52,
7,Cincinnati,Bengals,PIT,AFC,AFC North,Open,Open,Cover 6,17,372,No,No,No,1561,372,No,27,Yes,372,1,21,0.2383,372,27,2,1,4016,2032,837,2100,30,21,57,0.1532,0.1774,0.1613,0.3199,0.3387,241,0.6478,50,0.1344,5.6452,138.5,2.5727,10.7957,3.7201,10.7957,5.4624,2.25,192,35,
26,Philadelphia,Eagles,NYG,NFC,NFC East,Open,Closed,Cover 3,17,337,No,Yes,No,1421,337,No,22,Yes,337,1,15,0.2372,337,22,10,1,3266,1636,626,1702,22,15,50,0.1484,0.1929,0.1217,0.3501,0.3294,245,0.727,49,0.1454,5.0504,128.8,2.2984,9.6914,2.7779,9.6914,4.8546,1.8576,160,47,1
8,Cleveland,Browns,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,316,No,No,No,1288,316,No,27,Yes,316,1,15,0.2453,316,27,7,1,3884,1932,595,2017,26,15,50,0.1582,0.1361,0.1329,0.2848,0.4462,236,0.7468,47,0.1487,6.3829,145.3,3.0155,12.2911,5.0137,12.2911,6.1139,1.8829,176,37,
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Open,Red Zone,17,403,No,Yes,No,1625,404,No,35,Yes,404,1,17,0.2486,404,35,8,1,4004,2001,642,2081,34,17,54,0.1337,0.2079,0.1015,0.3144,0.3738,295,0.7302,67,0.1658,5.151,136,2.464,9.9109,3.0131,9.9109,4.953,1.5891,200,73,1
32,Washington,Commanders,DAL,NFC,NFC East,Open,Open,Cover 0,17,307,No,No,Yes,1256,307,Yes,29,Yes,307,1,16,0.2444,307,29,7,1,3492,1575,533,1974,25,16,36,0.1173,0.1401,0.0945,0.3485,0.4039,234,0.7622,41,0.1336,6.43,141.2,2.7803,11.3746,4.0786,11.3746,5.1303,1.7362,175,32,
22,New England,Patriots,BUF,AFC,AFC East,Closed,Closed,Cover 1,17,346,No,No,No,1399,346,No,19,Yes,346,1,13,0.2473,346,19,8,1,3749,1739,629,2075,27,13,47,0.1358,0.1329,0.1387,0.3353,0.3931,248,0.7168,48,0.1387,5.9971,137.8,2.6798,10.8353,3.6997,10.8353,5.026,1.8179,189,44,1
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Closed,Closed,Cover 1,17,417,No,No,Yes,1741,418,No,23,Yes,418,1,13,0.2401,418,23,6,1,4464,2102,718,2421,27,13,82,0.1962,0.1627,0.1124,0.3134,0.4091,303,0.7249,45,0.1077,5.7919,132.7,2.564,10.6794,3.6315,10.6794,5.0287,1.7177,212,49,1
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 2 Man,17,354,No,No,No,1466,354,Yes,27,Yes,354,1,15,0.2415,354,27,7,1,4104,2130,661,2046,29,15,53,0.1497,0.1977,0.161,0.2627,0.3757,249,0.7034,57,0.161,5.7797,142.3,2.7995,11.5932,4.4959,11.5932,6.0169,1.8672,196,43,1
