teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingDropsTotal,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,teamIsHomeTeam,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
6,Chicago,Bears,GB,NFC,NFC North,Closed,Closed,Cover 3,12,11,Yes,No,No,47,9,No,1,No,0.1915,163,0.1111,0.5556,0.3333,8,0.8889,18.1111,-10.5184,1,,,,,,,,,
24,New York,Giants,PHI,NFC,NFC East,Open,Open,Cover 6,14,5,No,No,No,23,4,No,,No,0.1739,61,0.5,0.25,0.25,3,0.75,15.25,-8.9329,1,1,0.25,1,0.25,,,,,
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Open,Cover 2,15,9,No,Yes,Yes,42,8,No,,Yes,0.1905,101,0.125,0.25,0.5,4,0.5,12.625,-8.7748,1,2,0.25,1,0.125,0.125,,,,
4,Buffalo,Bills,NYJ,AFC,AFC East,Open,Open,Cover 4,12,16,No,No,No,68,13,No,2,No,0.1912,236,0.0769,0.3077,0.5385,11,0.8462,18.1538,-10.4543,2,2,0.1538,1,0.0769,0.0769,1,1,1,0.0769
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 4,13,9,No,No,Yes,39,7,No,1,No,0.1795,89,0.1429,0.5714,0.2857,6,0.8571,12.7143,-8.1174,1,1,0.1429,1,0.1429,,1,1,,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Closed,Closed,Cover 3,15,17,No,No,No,83,16,Yes,2,Yes,0.1928,253,,0.5,0.3125,14,0.875,15.8125,-9.795,3,3,0.1875,1,0.0625,0.1875,1,2,1,0.0625
16,Kansas City,Chiefs,PIT,AFC,AFC North,Open,Open,Cover 4,12,13,No,No,No,59,12,No,1,No,0.2034,202,0.0833,0.5,0.3333,7,0.5833,16.8333,-9.6982,2,1,0.0833,1,0.0833,0.0833,,4,,
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 4,15,11,No,No,Yes,48,10,No,1,No,0.2083,165,,0.5,0.4,7,0.7,16.5,-10.2912,,1,0.1,,,0.1,,,,
26,Philadelphia,Eagles,NYG,NFC,NFC East,Open,Open,Cover 6,12,13,No,No,No,62,13,No,,No,0.2097,273,0.0769,0.3846,0.3846,11,0.8462,21,-10.5981,1,1,0.0769,1,0.0769,0.1538,1,1,,
7,Cincinnati,Bengals,PIT,AFC,AFC North,Closed,Closed,Cover 3,14,15,No,No,No,66,13,Yes,3,Yes,0.197,174,0.1538,0.3077,0.5385,11,0.8462,13.3846,-9.1663,2,3,0.2308,1,0.0769,,,1,,
8,Cleveland,Browns,BLT,AFC,AFC North,Open,Open,Cover 4,14,4,No,No,Yes,15,4,No,1,No,0.2667,110,,0.5,0.5,4,1,27.5,-11.6317,1,,,,,,,1,,
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Open,Cover 2,16,12,No,Yes,Yes,50,10,No,2,Yes,0.2,191,0.2,0.3,0.5,9,0.9,19.1,-10.1674,1,1,0.1,,,,1,2,,
32,Washington,Commanders,ATL,NFC,NFC South,Closed,Closed,Cover 3,12,7,No,No,Yes,30,7,No,,No,0.2333,105,,0.2857,0.5714,6,0.8571,15,-9.0891,1,,,,,0.1429,1,,1,0.1429
31,Tennessee,Titans,JAX,AFC,AFC South,Open,Open,Cover 6,15,11,No,No,No,50,10,No,,No,0.2,181,0.2,0.1,0.6,6,0.6,18.1,-9.7957,,,,,,0.1,,,,
