teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,teamIsHomeTeam
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Open,Cover 6,17,31,Yes,Yes,No,141,No,No,
31,Tennessee,Titans,HST,AFC,AFC South,Open,Closed,Cover 3,17,41,No,Yes,No,189,No,No,1
22,New England,Patriots,BUF,AFC,AFC East,Open,Open,Cover 4,17,30,No,Yes,No,134,No,No,1
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Open,Closed,Cover 3,17,37,No,Yes,No,161,No,No,1
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 6,14,31,Yes,Yes,No,147,No,No,1
14,Indianapolis,Colts,JAX,AFC,AFC South,Closed,Closed,Cover 1,17,33,No,Yes,Yes,143,No,No,1
10,Denver,Broncos,KC,AFC,AFC West,Closed,Closed,Cover 3,17,35,Yes,No,No,158,No,No,1
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Open,Cover 6,17,14,No,Yes,No,64,No,No,1
16,Kansas City,Chiefs,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,50,Yes,No,No,218,No,No,
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 4,17,17,No,No,No,80,No,No,
24,New York,Giants,IND,AFC,AFC South,Closed,Closed,Cover 3,15,29,Yes,Yes,No,127,No,No,1
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Closed,Cover 3,17,32,Yes,Yes,Yes,146,No,No,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 4,16,39,No,No,No,178,No,No,1
4,Buffalo,Bills,NE,AFC,AFC East,Open,Open,Cover 4,17,24,No,Yes,No,112,No,No,
6,Chicago,Bears,GB,NFC,NFC North,Open,Open,Cover 6,16,23,No,Yes,No,113,No,No,
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Closed,Cover 3,16,45,Yes,Yes,Yes,198,No,No,1
32,Washington,Commanders,DAL,NFC,NFC East,Open,Closed,Cover 1,17,32,No,Yes,Yes,143,No,No,
26,Philadelphia,Eagles,DAL,NFC,NFC East,Closed,Closed,Cover 3,16,37,No,Yes,No,169,No,No,1
8,Cleveland,Browns,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,31,No,Yes,No,123,No,No,
7,Cincinnati,Bengals,PIT,AFC,AFC North,Open,Open,Cover 6,17,44,No,Yes,No,201,No,No,
19,Las Vegas,Raiders,LAC,AFC,AFC West,Open,Closed,Cover 3,16,29,Yes,No,No,117,No,No,1
9,Dallas,Cowboys,WAS,NFC,NFC East,Open,Closed,Cover 1,16,33,No,Yes,Yes,146,No,No,1
13,Houston,Texans,TEN,AFC,AFC South,Open,Closed,Cover 3,17,33,No,Yes,No,149,No,No,
21,Minnesota,Vikings,DET,NFC,NFC North,Open,Closed,Cover 1,17,26,No,Yes,No,110,No,No,
23,New Orleans,Saints,TB,NFC,NFC South,Open,Closed,Cover 3,17,45,No,Yes,No,208,No,No,
11,Detroit,Lions,MIN,NFC,NFC North,Open,Closed,Cover 1,16,39,No,Yes,No,165,No,No,1
18,Los Angeles,Chargers,LV,AFC,AFC West,Open,Closed,Cover 3,16,39,Yes,No,No,184,No,No,
15,Jacksonville,Jaguars,IND,AFC,AFC South,Closed,Closed,Cover 1,17,44,No,Yes,Yes,198,No,No,
3,Baltimore,Ravens,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,27,No,Yes,No,121,No,No,1
12,Green Bay,Packers,CHI,NFC,NFC North,Open,Open,Cover 6,16,36,No,Yes,No,166,No,No,1
20,Miami,Dolphins,NYJ,AFC,AFC East,Closed,Closed,Cover 1,16,23,No,Yes,Yes,92,No,No,
25,New York,Jets,MIA,AFC,AFC East,Closed,Closed,Cover 1,16,32,No,Yes,Yes,148,No,No,1
