teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Open,Open,Red Zone,17,190,No,Yes,No,840,98,No,18,Yes,71,0.7245,12,0.1167,60,8,4,0.6122,873,259,109,1142,10,5,2,8,0.1333,0.1735,0.102,0.3469,0.3776,44,0.449,1,0.0102,11.6531,111.5,1.0393,8.9082,0.4688,0.0204,14.55,4.3167,1.8167,39,19
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Closed,Cover 1,17,159,No,Yes,Yes,703,77,No,6,No,53,0.6883,8,0.1095,45,5,1,0.5844,625,213,53,915,2,2,6,4,0.0889,0.1169,0.1039,0.2987,0.4416,33,0.4286,1,0.013,11.8831,87.9,0.889,8.1169,-0.5188,0.0779,13.8889,4.7333,1.1778,28,12
26,Philadelphia,Eagles,1,NYG,NFC,NFC East,Open,Closed,Cover 3,17,188,No,Yes,No,855,96,No,9,Yes,64,0.6667,4,0.1123,51,2,1,0.5312,648,267,87,1051,3,,6,11,0.2157,0.1979,0.0833,0.2812,0.4375,53,0.5521,2,0.0208,10.9479,63.2,0.7579,6.75,-1.3868,0.0625,12.7059,5.2353,1.7059,27,10
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Closed,Cover 3,17,200,No,Yes,No,905,100,No,17,No,69,0.69,11,0.1105,60,8,1,0.6,671,284,105,931,10,7,1,9,0.15,0.14,0.14,0.29,0.41,39,0.39,1,0.01,9.31,100.9,0.7414,6.71,-1.4023,0.01,11.1833,4.7333,1.75,38,13
8,Cleveland,Browns,,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,229,No,Yes,No,999,134,No,12,No,90,0.6716,16,0.1341,72,7,5,0.5373,908,377,131,1629,9,6,13,10,0.1389,0.1418,0.1642,0.2836,0.4104,70,0.5224,2,0.0149,12.1567,94.4,0.9089,6.7761,-1.6834,0.097,12.6111,5.2361,1.8194,43,15
27,Pittsburgh,Steelers,1,CIN,AFC,AFC North,Open,Closed,Cover 3,17,197,No,Yes,No,899,119,No,11,No,79,0.6639,15,0.1324,67,7,4,0.563,931,376,114,1278,7,6,7,11,0.1642,0.1681,0.1345,0.2437,0.4538,50,0.4202,2,0.0168,10.7395,80.2,1.0356,7.8235,-0.4824,0.0588,13.8955,5.6119,1.7015,41,18
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Open,Open,Cover 6,17,196,No,Yes,No,860,101,No,7,No,59,0.5842,17,0.1174,50,4,4,0.495,727,365,97,1020,7,4,6,5,0.1,0.198,0.1386,0.3069,0.3564,40,0.396,2,0.0198,10.099,84.1,0.8453,7.198,-1.0843,0.0594,14.54,7.3,1.94,33,22
29,San Francisco,49ers,,ARZ,NFC,NFC West,Closed,Closed,Cover 1,17,147,No,Yes,No,681,80,No,8,No,50,0.625,9,0.1175,40,1,1,0.5,398,159,27,979,2,2,1,2,0.05,0.1625,0.075,0.4,0.3625,37,0.4625,1,0.0125,12.2375,46.8,0.5844,4.975,-3.5642,0.0125,9.95,3.975,0.675,20,13
24,New York,Giants,,PHI,NFC,NFC East,Open,Closed,Cover 3,17,192,No,Yes,No,856,103,No,14,Yes,71,0.6893,10,0.1203,56,5,3,0.5437,716,237,92,1051,4,3,6,6,0.1071,0.1845,0.1165,0.2913,0.4078,56,0.5437,1,0.0097,10.2039,77.2,0.8364,6.9515,-1.1033,0.0583,12.7857,4.2321,1.6429,28,12
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Closed,Cover 1,17,189,No,Yes,Yes,859,104,No,12,No,74,0.7115,5,0.1211,62,6,4,0.5962,957,286,75,1291,2,1,6,5,0.0806,0.1731,0.1827,0.2308,0.4135,49,0.4712,2,0.0192,12.4135,76.5,1.1141,9.2019,0.473,0.0577,15.4355,4.6129,1.2097,40,12
