teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero
12,Green Bay,Packers,1,CHI,NFC,NFC North,Closed,Open,Cover 2,17,67,No,No,No,110,66,No,Yes,63,0.9545,0.6,60,0.9091,460,670,141,-230,3,1,11,0.1833,0.4394,0.0455,0.3333,0.1818,66,1,66,1,-3.4848,110.9,4.1818,6.9697,1.5794,0.0152,7.6667,11.1667,2.35,21,10,,,
17,Los Angeles,Rams,1,SEA,NFC,NFC West,Open,Closed,Cover 1,17,59,Yes,No,No,118,59,No,Yes,57,0.9661,0.5,57,0.9661,464,641,164,-181,3,,15,0.2632,0.4068,0.1186,0.322,0.1525,59,1,59,1,-3.0678,116.4,3.9322,7.8644,2.3961,,8.1404,11.2456,2.8772,17,9,,,
22,New England,Patriots,1,BUF,AFC,AFC East,Open,Closed,Cover 3,17,50,Yes,No,No,92,50,No,Yes,50,1,0.5435,47,0.94,264,419,128,-162,2,2,8,0.1702,0.12,0.1,0.42,0.36,50,1,50,1,-3.24,102,2.8696,5.28,0.1101,0.04,5.617,8.9149,2.7234,11,7,1,,
30,Tampa Bay,Buccaneers,1,NO,NFC,NFC South,Open,Open,Cover 6,17,50,No,No,No,103,50,No,Yes,48,0.96,0.4854,44,0.88,211,374,91,-181,1,3,14,0.3182,0.26,0.08,0.26,0.4,50,1,50,1,-3.62,90.9,2.0485,4.22,-1.1238,0.06,4.7955,8.5,2.0682,3,12,1,,
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Closed,Cover 1,17,68,Yes,No,No,148,68,No,Yes,62,0.9118,0.4595,60,0.8824,442,653,156,-231,2,2,12,0.2,0.3382,0.0735,0.4265,0.1324,68,1,68,1,-3.3971,103.6,2.9865,6.5,1.4995,0.0294,7.3667,10.8833,2.6,16,8,,,
31,Tennessee,Titans,1,HST,AFC,AFC South,Open,Closed,Cover 1,17,72,No,No,No,136,72,No,No,68,0.9444,0.5294,65,0.9028,384,625,196,-261,3,3,14,0.2154,0.25,0.0833,0.4444,0.2222,72,1,72,1,-3.625,102.8,2.8235,5.3333,0.0896,0.0417,5.9077,9.6154,3.0154,13,12,,,
10,Denver,Broncos,1,KC,AFC,AFC West,Closed,Closed,Cover 3,17,53,Yes,No,No,122,53,No,Yes,51,0.9623,0.4344,51,0.9623,311,472,137,-166,,,14,0.2745,0.2642,0.1509,0.2264,0.3585,53,1,53,1,-3.1321,91.1,2.5492,5.8679,0.4904,,6.098,9.2549,2.6863,12,7,,,
14,Indianapolis,Colts,1,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,70,Yes,No,No,134,70,No,No,66,0.9429,0.5224,62,0.8857,401,621,187,-251,2,4,14,0.2258,0.3571,0.0857,0.2857,0.2571,70,1,70,1,-3.5857,100.1,2.9925,5.7286,0.4025,0.0571,6.4677,10.0161,3.0161,17,9,,,
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Closed,Cover 3,17,79,Yes,No,No,148,79,No,Yes,76,0.962,0.5338,71,0.8987,493,712,187,-243,2,4,19,0.2676,0.3038,0.1646,0.3418,0.1899,79,1,79,1,-3.0759,95.8,3.3311,6.2405,0.8252,0.0506,6.9437,10.0282,2.6338,25,15,,,
1,Arizona,Cardinals,1,SF,NFC,NFC West,Open,Open,Cover 2,17,54,No,No,No,115,54,No,Yes,51,0.9444,0.4696,50,0.9259,372,533,111,-183,2,1,11,0.22,0.2778,0.037,0.3889,0.2963,54,1,54,1,-3.3889,107.7,3.2348,6.8889,1.9081,0.0185,7.44,10.66,2.22,15,10,,,
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Cover 6,17,61,No,No,No,115,61,No,Yes,59,0.9672,0.5304,57,0.9344,483,650,144,-174,,2,8,0.1404,0.1639,0.1148,0.2951,0.4098,61,1,61,1,-2.8525,99.7,4.2,7.918,2.6064,0.0328,8.4737,11.4035,2.5263,22,10,,,
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Open,Cover 2,17,59,No,No,No,102,58,No,Yes,56,0.9655,0.5686,56,0.9655,460,647,140,-191,1,,8,0.1429,0.2931,0.1379,0.3966,0.1724,58,1,58,1,-3.2931,105.5,4.5098,7.931,2.6643,,8.2143,11.5536,2.5,19,8,,,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,60,Yes,No,No,118,60,No,Yes,59,0.9833,0.5085,58,0.9667,319,531,156,-217,2,1,10,0.1724,0.2,0.05,0.5833,0.1667,60,1,60,1,-3.6167,99.9,2.7034,5.3167,0.2761,0.0167,5.5,9.1552,2.6897,13,10,1,1,
24,New York,Giants,,PHI,NFC,NFC East,Closed,Closed,Cover 1,17,51,Yes,No,No,99,51,No,Yes,50,0.9804,0.5152,49,0.9608,349,508,136,-170,1,1,4,0.0816,0.2745,0.0392,0.3529,0.3137,51,1,51,1,-3.3333,101.7,3.5253,6.8431,1.5115,0.0196,7.1224,10.3673,2.7755,21,6,,,
27,Pittsburgh,Steelers,1,CIN,AFC,AFC North,Open,Open,Cover 2,17,49,Yes,No,No,104,49,No,Yes,45,0.9184,0.4712,44,0.898,247,386,92,-157,,1,10,0.2273,0.3469,0.0408,0.3061,0.3061,49,1,49,1,-3.2041,79.2,2.375,5.0408,-0.1876,0.0204,5.6136,8.7727,2.0909,10,7,,,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Open,Cover 2,17,57,Yes,No,No,115,57,No,Yes,53,0.9298,0.4957,50,0.8772,354,526,184,-196,1,3,14,0.28,0.3158,0.1053,0.386,0.193,57,1,57,1,-3.4386,98.4,3.0783,6.2105,0.8921,0.0526,7.08,10.52,3.68,14,6,1,1,
26,Philadelphia,Eagles,1,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,57,Yes,No,No,110,57,No,Yes,55,0.9649,0.5182,49,0.8596,227,412,131,-211,,5,14,0.2857,0.3158,0.0526,0.3509,0.2807,57,1,57,1,-3.7018,83.3,2.0636,3.9825,-1.2469,0.0877,4.6327,8.4082,2.6735,12,10,1,,
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Closed,Cover 3,17,53,No,No,Yes,133,53,No,Yes,48,0.9057,0.3985,47,0.8868,315,488,118,-195,,1,8,0.1702,0.283,0.1509,0.2453,0.3208,53,1,53,1,-3.6792,91.4,2.3684,5.9434,0.5762,0.0189,6.7021,10.383,2.5106,9,6,,,
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Open,Cover 2,17,66,No,No,No,142,66,No,Yes,64,0.9697,0.4648,63,0.9545,436,617,176,-193,3,1,13,0.2063,0.3788,0.1061,0.2879,0.2273,66,1,66,1,-2.9242,109.3,3.0704,6.6061,1.1236,0.0152,6.9206,9.7937,2.7937,21,15,1,1,
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Open,Open,Cover 6,17,69,No,No,No,114,69,No,Yes,67,0.971,0.6053,67,0.971,376,639,172,-276,3,,14,0.209,0.2754,0.029,0.3333,0.3623,69,1,69,1,-4,103.9,3.2982,5.4493,0.4224,,5.6119,9.5373,2.5672,20,21,2,2,
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Cover 2,17,47,No,No,No,88,47,No,Yes,43,0.9149,0.5341,41,0.8723,257,408,99,-183,,1,5,0.122,0.3617,0.0638,0.383,0.1915,47,1,47,1,-3.8936,80.6,2.9205,5.4681,0.187,0.0213,6.2683,9.9512,2.4146,11,4,1,,
9,Dallas,Cowboys,1,WAS,NFC,NFC East,Open,Open,Cover 2,17,71,No,No,No,144,71,No,Yes,69,0.9718,0.4931,66,0.9296,515,731,188,-235,3,3,14,0.2121,0.338,0.0704,0.3099,0.2817,71,1,71,1,-3.3099,99.2,3.5764,7.2535,1.8947,0.0423,7.803,11.0758,2.8485,18,10,1,,
19,Las Vegas,Raiders,1,LAC,AFC,AFC West,Open,Open,Cover 0,17,58,Yes,No,Yes,104,58,No,Yes,56,0.9655,0.5577,53,0.9138,341,506,146,-174,1,1,11,0.2075,0.2586,0.1034,0.2931,0.3448,58,1,58,1,-3,89.7,3.2788,5.8793,0.4863,0.0172,6.434,9.5472,2.7547,15,5,2,,
11,Detroit,Lions,1,MIN,NFC,NFC North,Open,Open,Cover 2,17,53,No,No,No,110,53,No,Yes,52,0.9811,0.4818,50,0.9434,303,475,145,-184,2,2,13,0.26,0.283,0.1132,0.3396,0.2453,53,1,53,1,-3.4717,103.1,2.7545,5.717,0.5036,0.0377,6.06,9.5,2.9,13,7,,,
23,New Orleans,Saints,,TB,NFC,NFC South,Open,Open,Cover 6,17,59,No,No,No,114,58,No,Yes,54,0.931,0.5088,52,0.8966,309,494,176,-209,2,1,12,0.2308,0.2931,0.1207,0.3621,0.2241,58,1,58,1,-3.6034,100.4,2.7105,5.3276,0.1436,0.0172,5.9423,9.5,3.3846,13,8,3,2,
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 2,17,75,No,No,No,147,75,No,Yes,71,0.9467,0.5102,64,0.8533,386,574,173,-238,2,6,8,0.125,0.24,0.04,0.2933,0.4267,75,1,75,1,-3.1733,91.4,2.6259,5.1467,0.0546,0.08,6.0312,8.9688,2.7031,17,10,1,1,
13,Houston,Texans,,TEN,AFC,AFC South,Open,Closed,Cover 1,17,75,No,No,No,150,75,No,No,72,0.96,0.5,69,0.92,437,678,185,-275,2,3,12,0.1739,0.3867,0.0533,0.3333,0.2267,75,1,75,1,-3.6667,99.8,2.9133,5.8267,0.5002,0.04,6.3333,9.8261,2.6812,21,11,1,1,
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Closed,Closed,Cover 3,17,57,Yes,No,No,107,57,No,No,56,0.9825,0.5327,53,0.9298,323,511,163,-205,1,3,14,0.2642,0.3158,0.0702,0.4386,0.1579,57,1,57,1,-3.5965,96.1,3.0187,5.6667,0.4971,0.0526,6.0943,9.6415,3.0755,12,11,,,
18,Los Angeles,Chargers,,LV,AFC,AFC West,Open,Open,Cover 0,17,55,Yes,No,Yes,110,54,No,Yes,50,0.9259,0.4909,47,0.8704,277,453,122,-195,1,2,12,0.2553,0.3704,0.0556,0.2778,0.2963,54,1,54,1,-3.6111,94.2,2.5182,5.1296,-0.2647,0.037,5.8936,9.6383,2.5957,11,6,1,,
25,New York,Jets,1,MIA,AFC,AFC East,Closed,Open,Cover 2,17,64,Yes,No,No,121,64,No,Yes,60,0.9375,0.5289,56,0.875,434,613,220,-194,1,2,12,0.2143,0.2812,0.1094,0.3281,0.2812,64,1,64,1,-3.0312,100.1,3.5868,6.7812,1.5179,0.0312,7.75,10.9464,3.9286,15,12,3,1,1
20,Miami,Dolphins,,NYJ,AFC,AFC East,Closed,Open,Cover 2,17,61,Yes,No,No,109,61,No,Yes,59,0.9672,0.5596,56,0.918,354,541,175,-211,1,2,19,0.3393,0.2295,0.0656,0.4426,0.2623,61,1,61,1,-3.459,96.3,3.2477,5.8033,0.7043,0.0328,6.3214,9.6607,3.125,14,9,2,1,
3,Baltimore,Ravens,1,CLV,AFC,AFC North,Open,Closed,Cover 3,17,57,No,No,Yes,109,57,No,Yes,55,0.9649,0.5229,51,0.8947,380,559,80,-205,2,3,9,0.1765,0.2982,0.1228,0.386,0.193,57,1,57,1,-3.5965,106.1,3.4862,6.6667,1.3037,0.0526,7.451,10.9608,1.5686,15,11,,,
