teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Open,Open,Cover 6,17,72,No,No,No,329,72,Yes,12,Yes,57,0.7917,4,0.2188,49,6,0.6806,515,248,78,565,3,2,3,5,0.102,0.1806,0.1528,0.3194,0.3472,7.8472,96.7,1.5653,7.1528,-0.2976,0.0417,10.5102,5.0612,1.5918,24,10,
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Cover 2,17,51,Yes,Yes,No,229,51,No,5,No,40,0.7843,3,0.2227,35,2,0.6863,474,216,114,533,,,2,3,0.0857,0.1765,0.098,0.3529,0.3333,10.451,98,2.0699,9.2941,1.2309,0.0392,13.5429,6.1714,3.2571,24,5,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Open,Cover 6,17,81,No,No,No,380,81,No,7,Yes,71,0.8765,4,0.2132,64,4,0.7901,653,333,141,594,2,2,4,7,0.1094,0.1605,0.1605,0.2222,0.4568,7.3333,103.3,1.7184,8.0617,0.7446,0.0494,10.2031,5.2031,2.2031,29,5,
26,Philadelphia,Eagles,1,NYG,NFC,NFC East,Closed,Closed,Cover 3,17,76,No,Yes,No,359,76,No,7,Yes,57,0.75,4,0.2117,48,4,0.6316,465,211,90,597,3,3,6,10,0.2083,0.1184,0.1974,0.2368,0.4342,7.8553,87.9,1.2953,6.1184,-1.3513,0.0789,9.6875,4.3958,1.875,23,11,2
27,Pittsburgh,Steelers,1,CIN,AFC,AFC North,Open,Open,Cover 6,17,88,No,No,No,414,88,No,9,Yes,70,0.7955,7,0.2126,65,8,0.7386,713,248,101,715,5,3,4,6,0.0923,0.1023,0.125,0.3182,0.4545,8.125,111.6,1.7222,8.1023,0.3739,0.0455,10.9692,3.8154,1.5538,31,12,2
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Closed,Cover 3,17,60,No,No,No,270,60,No,7,Yes,46,0.7667,6,0.2222,42,3,0.7,547,224,68,654,5,3,2,11,0.2619,0.0667,0.1167,0.35,0.4667,10.9,126.2,2.0259,9.1167,0.9044,0.0333,13.0238,5.3333,1.619,27,10,
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Closed,Cover 3,17,70,No,No,No,333,70,No,11,No,57,0.8143,4,0.2102,51,7,0.7286,578,232,88,610,2,1,2,5,0.098,0.1714,0.1571,0.2429,0.4286,8.7143,94.8,1.7357,8.2571,0.522,0.0286,11.3333,4.549,1.7255,30,11,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Open,Cover 4,17,78,No,No,No,353,78,No,6,Yes,57,0.7308,7,0.221,50,5,0.641,568,309,86,699,3,2,4,3,0.06,0.1795,0.1282,0.2949,0.3974,8.9615,82.6,1.6091,7.2821,-0.3773,0.0513,11.36,6.18,1.72,27,14,1
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Closed,Cover 1,17,62,No,No,Yes,292,62,No,7,Yes,46,0.7419,3,0.2123,41,3,0.6613,374,162,38,449,3,2,2,3,0.0732,0.1129,0.2097,0.1935,0.4839,7.2419,91.7,1.2808,6.0323,-1.1974,0.0323,9.122,3.9512,0.9268,24,9,3
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Closed,Cover 1,17,60,No,No,No,276,60,No,11,Yes,48,0.8,4,0.2174,44,9,0.7333,490,187,74,552,3,2,1,8,0.1818,0.2167,0.1,0.2333,0.45,9.2,106.9,1.7754,8.1667,-0.0193,0.0167,11.1364,4.25,1.6818,28,9,
1,Arizona,Cardinals,1,SF,NFC,NFC West,Open,Closed,Cover 3,17,99,No,No,No,453,99,No,7,No,77,0.7778,8,0.2185,73,6,0.7374,819,330,119,835,,,2,4,0.0548,0.1818,0.1717,0.2929,0.3535,8.4343,93.8,1.8079,8.2727,0.611,0.0202,11.2192,4.5205,1.6301,39,13,1
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Cover 6,17,80,No,No,No,367,80,Yes,9,Yes,68,0.85,7,0.218,55,3,0.6875,819,303,121,843,8,5,6,11,0.2,0.175,0.15,0.2375,0.4375,10.5375,135.4,2.2316,10.2375,1.9944,0.075,14.8909,5.5091,2.2,35,15,3
14,Indianapolis,Colts,1,JAX,AFC,AFC South,Closed,Closed,Prevent,17,73,No,No,No,350,73,Yes,4,Yes,64,0.8767,6,0.2086,61,3,0.8356,590,268,111,485,6,4,2,14,0.2295,0.2192,0.2055,0.3288,0.2466,6.6438,116.3,1.6857,8.0822,0.8755,0.0274,9.6721,4.3934,1.8197,31,14,2
24,New York,Giants,,PHI,NFC,NFC East,Closed,Closed,Cover 3,17,70,No,Yes,No,327,70,No,3,Yes,57,0.8143,2,0.2141,48,1,0.6857,508,247,80,441,2,1,5,6,0.125,0.2143,0.1429,0.2714,0.3714,6.3,93,1.5535,7.2571,0.2302,0.0714,10.5833,5.1458,1.6667,22,11,1
10,Denver,Broncos,1,KC,AFC,AFC West,Closed,Open,Cover 4,17,68,No,No,No,316,68,No,9,Yes,56,0.8235,2,0.2152,49,5,0.7206,595,260,58,558,3,1,4,5,0.102,0.0882,0.1471,0.3971,0.3529,8.2059,101,1.8829,8.75,1.0363,0.0588,12.1429,5.3061,1.1837,30,4,
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2 Man,17,105,No,No,No,482,105,Yes,12,Yes,81,0.7714,7,0.2178,71,6,0.6762,729,442,173,722,3,2,4,11,0.1549,0.2476,0.1429,0.2571,0.3524,6.8762,96.9,1.5124,6.9429,-0.1936,0.0381,10.2676,6.2254,2.4366,35,11,4
22,New England,Patriots,1,BUF,AFC,AFC East,Open,Closed,Cover 1,17,75,No,No,No,344,75,No,9,Yes,57,0.76,6,0.218,52,6,0.6933,587,196,76,839,2,1,3,5,0.0962,0.0933,0.1733,0.2933,0.44,11.1867,95.8,1.7064,7.8267,-0.1594,0.04,11.2885,3.7692,1.4615,29,5,2
30,Tampa Bay,Buccaneers,1,NO,NFC,NFC South,Open,Open,Cover 2,17,80,No,No,No,366,80,No,6,Yes,66,0.825,4,0.2186,59,4,0.7375,605,214,72,679,5,3,4,12,0.2034,0.1125,0.15,0.325,0.4125,8.4875,105.5,1.653,7.5625,0.0343,0.05,10.2542,3.6271,1.2203,28,7,1
17,Los Angeles,Rams,1,SEA,NFC,NFC West,Open,Open,Cover 2 Man,17,82,No,No,No,378,82,Yes,6,Yes,66,0.8049,6,0.2169,60,3,0.7317,653,332,113,580,5,3,3,12,0.2,0.1341,0.1707,0.2805,0.4146,7.0732,101.3,1.7275,7.9634,0.6738,0.0366,10.8833,5.5333,1.8833,31,12,1
31,Tennessee,Titans,1,HST,AFC,AFC South,Open,Open,Cover 6,17,52,No,No,No,234,52,No,8,Yes,44,0.8462,5,0.2222,40,7,0.7692,417,161,65,437,4,4,3,3,0.075,0.0962,0.1923,0.3462,0.3654,8.4038,109.2,1.7821,8.0192,0.4026,0.0577,10.425,4.025,1.625,22,9,1
12,Green Bay,Packers,1,CHI,NFC,NFC North,Closed,Closed,Cover 1,17,94,No,No,Yes,432,94,No,5,Yes,82,0.8723,7,0.2176,73,2,0.7766,743,327,104,646,6,4,6,10,0.137,0.1702,0.2021,0.266,0.3617,6.8723,120.9,1.7199,7.9043,0.5556,0.0638,10.1781,4.4795,1.4247,37,10,2
3,Baltimore,Ravens,1,CLV,AFC,AFC North,Open,Closed,Cover 3,17,96,No,No,No,454,96,No,19,Yes,77,0.8021,6,0.2115,67,12,0.6979,736,289,111,864,2,1,5,9,0.1343,0.1979,0.125,0.2708,0.3958,9,77.4,1.6211,7.6667,-0.2901,0.0521,10.9851,4.3134,1.6567,33,10,
20,Miami,Dolphins,,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,80,No,No,Yes,379,80,No,8,Yes,66,0.825,3,0.2111,60,4,0.75,662,260,104,621,,,4,10,0.1667,0.0875,0.15,0.4,0.3625,7.7625,99.1,1.7467,8.275,0.7633,0.05,11.0333,4.3333,1.7333,32,10,1
