teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Open,Open,Red Zone,15,26,No,Yes,No,118,26,No,8,Yes,18,0.6923,7,0.2203,13,3,2,0.5,179,42,10,363,3,2,1,0.0385,0.0769,0.5,0.3846,13.9615,110.9,1.5169,6.8846,-1.9878,0.0385,13.7692,3.2308,0.7692,10,7,,
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Cover 0,15,29,No,Yes,Yes,132,29,No,2,No,16,0.5517,6,0.2197,10,2,,0.3448,154,42,19,340,,,6,0.1034,0.0345,0.3448,0.4483,11.7241,38.6,1.1667,5.3103,-3.3451,0.2069,15.4,4.2,1.9,8,7,1,0.1
26,Philadelphia,Eagles,1,NYG,NFC,NFC East,Closed,Closed,Cover 3,17,16,No,Yes,No,74,16,No,3,Yes,7,0.4375,,0.2162,5,1,1,0.3125,177,51,8,304,1,,1,0.0625,0.0625,0.375,0.5,19,69,2.3919,11.0625,0.9924,0.0625,35.4,10.2,1.6,5,,3,0.6
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Closed,Closed,Cover 3,17,32,No,Yes,No,148,32,No,4,No,23,0.7188,5,0.2162,22,3,1,0.6875,286,59,14,396,7,5,,0.0312,0.125,0.375,0.4688,12.375,123.2,1.9324,8.9375,0.0896,,13,2.6818,0.6364,18,5,1,0.0455
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Open,Cover 2,17,26,No,No,No,117,26,No,1,Yes,16,0.6154,4,0.2222,12,1,1,0.4615,152,41,25,466,,,3,0.0769,0.1154,0.3077,0.5,17.9231,64.9,1.2991,5.8462,-3.4531,0.1154,12.6667,3.4167,2.0833,8,3,1,0.0833
27,Pittsburgh,Steelers,1,CIN,AFC,AFC North,Closed,Closed,Cover 3,17,28,No,Yes,No,131,28,No,2,No,18,0.6429,7,0.2137,14,1,,0.5,242,71,11,415,5,4,2,0.0714,0.2143,0.3571,0.3571,14.8214,119.3,1.8473,8.6429,-0.7986,0.0714,17.2857,5.0714,0.7857,11,5,2,0.1429
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Open,Open,Cover 6,16,30,No,No,Yes,137,30,No,4,Yes,17,0.5667,6,0.219,13,1,2,0.4333,204,52,9,408,2,1,1,,0.1333,0.3,0.5667,13.6,74.9,1.4891,6.8,-2.1998,0.0333,15.6923,4,0.6923,9,7,2,0.1538
29,San Francisco,49ers,,ARZ,NFC,NFC West,Closed,Closed,Cover 1,14,18,No,Yes,No,87,18,No,1,No,10,0.5556,1,0.2069,8,,1,0.4444,77,7,2,249,,,,0.1111,0.0556,0.5556,0.2778,13.8333,33.8,0.8851,4.2778,-4.366,,9.625,0.875,0.25,4,2,2,0.25
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Red Zone,17,18,No,Yes,No,82,18,No,1,Yes,12,0.6667,4,0.2195,11,1,1,0.6111,130,23,15,265,4,4,,0.2222,0.1667,0.1111,0.5,14.7222,83.1,1.5854,7.2222,-1.7097,,11.8182,2.0909,1.3636,10,4,1,0.0909
6,Chicago,Bears,,GB,NFC,NFC North,Open,Closed,Cover 3,16,22,No,Yes,No,103,22,No,2,Yes,16,0.7273,2,0.2136,13,1,1,0.5909,296,45,14,403,2,1,1,0.0455,0.0909,0.4091,0.4545,18.3182,133.7,2.8738,13.4545,3.3506,0.0455,22.7692,3.4615,1.0769,13,1,1,0.0769
1,Arizona,Cardinals,1,SF,NFC,NFC West,Closed,Closed,Cover 1,17,23,No,Yes,No,111,23,No,4,No,18,0.7826,3,0.2072,15,1,,0.6522,180,56,22,229,2,2,1,0.1739,0.1739,0.3478,0.3043,9.9565,118,1.6216,7.8261,-0.2,0.0435,12,3.7333,1.4667,10,6,2,0.1333
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Open,Cover 4,17,27,No,Yes,No,123,27,No,3,No,18,0.6667,3,0.2195,15,2,1,0.5556,173,61,6,323,5,3,1,0.0741,0.0741,0.4074,0.4444,11.963,99.2,1.4065,6.4074,-1.8624,0.037,11.5333,4.0667,0.4,11,5,,
