teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone
20,Miami,Dolphins,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,37,Yes,No,Yes,152,37,No,6,Yes,37,1,0.2434,32,3,1,0.8649,374,182,57,265,2,8,0.25,0.1622,0.2162,0.2162,0.4054,24,0.6486,6,0.1622,7.1622,108.8,2.4605,10.1081,2.2773,0.0541,11.6875,5.6875,1.7812,16,2,,,,
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Closed,Closed,Cover 3,17,47,No,Yes,Yes,203,47,No,10,Yes,47,1,0.2315,36,4,3,0.766,338,123,26,369,4,6,0.1667,0.0638,0.1702,0.2979,0.4681,35,0.7447,2,0.0426,7.8511,110.1,1.665,7.1915,-0.7115,0.0851,9.3889,3.4167,0.7222,15,3,1,2,2,1
12,Green Bay,Packers,CHI,NFC,NFC North,Closed,Closed,Cover 3,16,48,Yes,No,No,203,48,No,8,Yes,48,1,0.2365,33,3,,0.6875,359,150,52,343,7,7,0.2121,0.2708,0.0417,0.4167,0.2708,33,0.6875,5,0.1042,7.1458,94,1.7685,7.4792,0.0181,0.1458,10.8788,4.5455,1.5758,17,5,1,3,3,3
3,Baltimore,Ravens,CLV,AFC,AFC North,Open,Open,Cover 0,17,56,No,No,Yes,252,56,No,16,Yes,56,1,0.2222,43,10,3,0.7679,483,129,40,524,5,1,0.0233,0.0357,0.125,0.2857,0.5357,37,0.6607,3,0.0536,9.3571,106.5,1.9167,8.625,0.6099,0.0893,11.2326,3,0.9302,25,7,1,3,2,2
31,Tennessee,Titans,HST,AFC,AFC South,Open,Open,Cover 2,16,49,No,No,No,197,49,No,13,Yes,49,1,0.2487,39,8,,0.7959,341,171,60,315,6,6,0.1538,0.1429,0.0816,0.4082,0.3673,37,0.7551,8,0.1633,6.4286,135.2,1.731,6.9592,-0.2801,0.1224,8.7436,4.3846,1.5385,19,7,1,6,6,5
25,New York,Jets,MIA,AFC,AFC East,Closed,Closed,Cover 3,16,40,Yes,No,Yes,164,40,No,7,Yes,40,1,0.2439,32,3,1,0.8,333,105,45,349,3,3,0.0938,0.125,0.125,0.3,0.45,32,0.8,8,0.2,8.725,118,2.0305,8.325,0.1252,0.075,10.4062,3.2812,1.4062,17,7,1,4,2,2
18,Los Angeles,Chargers,LV,AFC,AFC West,Closed,Open,Cover 2,16,58,No,No,No,255,58,No,14,Yes,58,1,0.2275,44,5,1,0.7586,511,218,109,438,5,7,0.1591,0.0862,0.1379,0.3448,0.431,43,0.7414,6,0.1034,7.5517,107.8,2.0039,8.8103,1.3097,0.0862,11.6136,4.9545,2.4773,22,7,,4,1,1
15,Jacksonville,Jaguars,IND,AFC,AFC South,Open,Closed,Cover 1,17,40,No,Yes,No,177,40,Yes,8,Yes,40,1,0.226,31,2,3,0.775,364,113,32,403,2,3,0.0968,0.25,0.1,0.225,0.425,24,0.6,2,0.05,10.075,121.3,2.0565,9.1,0.6491,0.05,11.7419,3.6452,1.0323,20,5,,3,2,2
13,Houston,Texans,TEN,AFC,AFC South,Open,Open,Cover 2,17,51,No,No,No,229,52,No,14,Yes,52,1,0.2271,40,6,3,0.7692,449,133,46,540,4,1,0.025,0.0962,0.0192,0.4038,0.4615,38,0.7308,1,0.0192,10.3846,127.8,1.9607,8.6346,0.4376,0.0769,11.225,3.325,1.15,22,6,,7,4,3
11,Detroit,Lions,MIN,NFC,NFC North,Open,Open,Cover 6,17,70,No,No,Yes,295,70,Yes,17,Yes,70,1,0.2373,57,11,6,0.8143,685,283,118,523,7,9,0.1579,0.1286,0.1143,0.3,0.4571,49,0.7,6,0.0857,7.4714,117,2.322,9.7857,2.0784,0.1,12.0175,4.9649,2.0702,39,10,1,4,2,2
23,New Orleans,Saints,TB,NFC,NFC South,Closed,Closed,Cover 3,17,39,No,Yes,Yes,169,39,No,9,Yes,39,1,0.2308,33,4,2,0.8462,412,112,37,412,1,5,0.1515,0.0256,0.0769,0.359,0.5385,27,0.6923,2,0.0513,10.5641,115,2.4379,10.5641,2.3332,0.0256,12.4848,3.3939,1.1212,21,3,,3,3,3
21,Minnesota,Vikings,DET,NFC,NFC North,Open,Open,Cover 6,17,74,No,No,Yes,300,74,Yes,14,Yes,74,1,0.2467,59,10,4,0.7973,749,242,91,674,10,3,0.0508,0.1216,0.1351,0.2703,0.473,57,0.7703,9,0.1216,9.1081,113.3,2.4967,10.1216,1.9437,0.1351,12.6949,4.1017,1.5424,35,5,,2,1,1
9,Dallas,Cowboys,WAS,NFC,NFC East,Open,Open,Cover 4,17,44,No,No,Yes,193,44,No,10,Yes,44,1,0.228,36,5,3,0.8182,546,228,94,501,3,6,0.1667,0.1364,0.0455,0.2955,0.5227,35,0.7955,3,0.0682,11.3864,131.6,2.829,12.4091,3.9145,0.0682,15.1667,6.3333,2.6111,26,6,1,5,3,3
19,Las Vegas,Raiders,LAC,AFC,AFC West,Closed,Open,Cover 2,17,58,No,No,No,244,58,No,15,Yes,58,1,0.2377,43,5,2,0.7414,477,209,75,481,4,7,0.1628,0.1379,0.0517,0.3793,0.431,41,0.7069,5,0.0862,8.2931,109.6,1.9549,8.2241,0.6833,0.069,11.093,4.8605,1.7442,23,7,1,2,2,1
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Closed,Cover 3,17,47,No,No,No,204,47,Yes,11,Yes,47,1,0.2304,38,5,5,0.8085,376,119,44,380,4,4,0.1053,0.1489,0.1064,0.3404,0.4043,32,0.6809,3,0.0638,8.0851,139.6,1.8431,8,0.4061,0.0851,9.8947,3.1316,1.1579,21,12,1,6,6,4
32,Washington,Commanders,DAL,NFC,NFC East,Open,Open,Cover 4,17,51,No,No,Yes,212,51,No,11,Yes,51,1,0.2406,41,5,3,0.8039,431,131,56,463,4,5,0.122,0.0784,0.1176,0.4118,0.3922,42,0.8235,4,0.0784,9.0784,141.1,2.033,8.451,0.3505,0.0784,10.5122,3.1951,1.3659,23,7,,6,6,5
7,Cincinnati,Bengals,PIT,AFC,AFC North,Open,Open,Cover 2,17,42,No,No,No,176,43,No,8,Yes,43,1,0.2443,34,3,,0.7907,314,163,68,286,3,6,0.1765,0.1395,0.1628,0.2093,0.4651,26,0.6047,5,0.1163,6.6512,112.6,1.7841,7.3023,0.0678,0.0698,9.2353,4.7941,2,15,7,,4,2,2
