teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsInEndzone
19,Las Vegas,Raiders,1,LAC,AFC,AFC West,Open,Open,Cover 0,15,17,Yes,No,Yes,69,17,Yes,4,Yes,17,1,0.2464,11,1,1,0.6471,147,59,17,117,3,1,0.0909,0.1176,0.1765,0.4118,0.2941,14,0.8235,3,0.1765,6.8824,92,2.1304,8.6471,1.3426,0.1765,13.3636,5.3636,1.5455,7,1,,,
9,Dallas,Cowboys,1,WAS,NFC,NFC East,Closed,Closed,Cover 1,16,22,No,No,Yes,96,22,Yes,7,Yes,22,1,0.2292,8,1,,0.3636,60,26,11,233,9,1,0.125,0.1818,0.0455,0.2273,0.5455,18,0.8182,3,0.1364,10.5909,25.9,0.625,2.7273,-5.4294,0.4091,7.5,3.25,1.375,3,,,,
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Closed,Cover 1,17,17,No,Yes,No,73,17,No,2,Yes,17,1,0.2329,12,2,2,0.7059,116,35,10,114,3,1,0.0833,0.1176,0.1176,0.2353,0.5294,13,0.7647,2,0.1176,6.7059,128.6,1.589,6.8235,-0.3432,0.1765,9.6667,2.9167,0.8333,6,3,2,,
23,New Orleans,Saints,,TB,NFC,NFC South,Open,Open,Cover 4,17,30,No,No,No,132,30,No,6,Yes,30,1,0.2273,23,2,3,0.7667,221,109,48,203,2,2,0.087,0.1,0.2,0.3,0.4,19,0.6333,2,0.0667,6.7667,118.9,1.6742,7.3667,-0.0474,0.0667,9.6087,4.7391,2.087,11,7,2,2,2
11,Detroit,Lions,1,MIN,NFC,NFC North,Open,Closed,Cover 1,16,25,No,Yes,No,115,25,No,6,Yes,25,1,0.2174,16,2,2,0.64,162,49,20,257,4,2,0.125,0.04,0.12,0.6,0.24,20,0.8,1,0.04,10.28,92.4,1.4087,6.48,-1.6902,0.16,10.125,3.0625,1.25,11,5,2,5,2
13,Houston,Texans,,TEN,AFC,AFC South,Closed,Closed,Cover 1,17,24,No,No,Yes,92,24,No,3,Yes,24,1,0.2609,15,,2,0.625,194,115,16,200,5,,,0.2083,0.1667,0.375,0.25,18,0.75,5,0.2083,8.3333,127.4,2.1087,8.0833,0.4396,0.2083,12.9333,7.6667,1.0667,6,3,3,2,1
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Closed,Closed,Cover 3,17,29,No,No,No,120,29,No,3,Yes,29,1,0.2417,21,1,2,0.7241,153,84,31,135,5,3,0.1429,0.2759,0.2069,0.3448,0.1724,22,0.7586,6,0.2069,4.6552,84.4,1.275,5.2759,-1.3534,0.1724,7.2857,4,1.4762,7,1,,,
18,Los Angeles,Chargers,,LV,AFC,AFC West,Open,Open,Cover 0,15,20,Yes,No,Yes,91,20,Yes,7,Yes,20,1,0.2198,9,,2,0.45,54,14,3,178,5,,,0.2,0.15,0.35,0.3,16,0.8,1,0.05,8.9,68.8,0.5934,2.7,-4.6418,0.25,6,1.5556,0.3333,2,2,1,1,1
25,New York,Jets,1,MIA,AFC,AFC East,Open,Open,Cover 2,17,23,No,No,Yes,92,23,No,8,Yes,23,1,0.25,16,4,3,0.6957,135,45,15,132,3,2,0.125,0.1739,0.1304,0.3478,0.3478,16,0.6957,2,0.087,5.7391,99,1.4674,5.8696,-1.3101,0.1304,8.4375,2.8125,0.9375,7,5,1,1,1
12,Green Bay,Packers,1,CHI,NFC,NFC North,Open,Closed,Cover 3,17,17,No,Yes,No,72,17,No,4,Yes,17,1,0.2361,14,2,3,0.8235,140,59,8,148,1,,,0.1765,0.0588,0.2941,0.4706,11,0.6471,2,0.1176,8.7059,76.5,1.9444,8.2353,0.175,0.0588,10,4.2143,0.5714,7,1,,1,
