teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingPasserRatingWhenTargeted
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Open,Open,Cover 4,15,21,No,Yes,No,98,21,Yes,4,No,5,0.2143,380,0.0476,0.0952,0.619,0.2381,13,0.619,18.0952,-9.7614,3,,,,,
32,Washington,Commanders,1,ATL,NFC,NFC South,Open,Open,Cover 4,12,16,No,No,No,72,16,No,1,No,1,0.2222,214,0.0625,,0.375,0.5625,12,0.75,13.375,-9.0063,1,,,,,
26,Philadelphia,Eagles,1,NYG,NFC,NFC East,Open,Open,Cover 6,17,26,No,No,No,123,26,No,2,No,,0.2114,401,,0.0769,0.1923,0.7308,22,0.8462,15.4231,-9.4048,1,,,,,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Closed,Cover 3,16,25,No,No,No,107,25,No,,No,1,0.2336,391,,0.16,0.28,0.56,21,0.84,15.64,-9.478,1,1,0.04,,,
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Closed,Cover 1,17,17,No,No,Yes,75,17,No,3,No,3,0.2267,355,,0.1176,0.4118,0.4706,13,0.7647,20.8824,-10.338,2,,,1,0.0588,
27,Pittsburgh,Steelers,1,CIN,AFC,AFC North,Open,Closed,Cover 3,16,21,No,No,No,90,21,No,,No,4,0.2333,201,0.0952,0.1429,0.381,0.381,16,0.7619,9.5714,-8.3309,5,4,0.1905,,,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Open,Open,Cover 4,15,18,No,Yes,No,78,18,Yes,1,No,4,0.2308,395,0.0556,0.0556,0.2778,0.6111,10,0.5556,21.9444,-10.8508,2,,,,,
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Open,Cover 4,14,21,No,Yes,Yes,91,21,Yes,2,No,1,0.2308,361,0.0476,0.0952,0.2381,0.619,16,0.7619,17.1905,-10.4699,1,,,,,
6,Chicago,Bears,,GB,NFC,NFC North,Open,Closed,Cover 3,16,27,Yes,No,No,119,27,No,1,No,1,0.2269,436,,0.1111,0.2963,0.5926,19,0.7037,16.1481,-9.8073,4,,,,,
24,New York,Giants,,PHI,NFC,NFC East,Open,Open,Cover 6,16,12,No,No,No,55,12,No,,No,,0.2182,146,,0.0833,0.1667,0.75,9,0.75,12.1667,-8.4894,1,,,,,39.6
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Cover 4,13,10,No,Yes,No,45,10,Yes,1,No,2,0.2222,91,,0.2,0.2,0.6,5,0.5,9.1,-7.9302,2,,,,,
1,Arizona,Cardinals,1,SF,NFC,NFC West,Open,Open,Cover 4,14,19,No,Yes,Yes,84,19,Yes,2,No,6,0.2262,241,,0.2105,0.3684,0.4211,14,0.7368,12.6842,-8.1604,7,,,,,
14,Indianapolis,Colts,1,JAX,AFC,AFC South,Closed,Closed,Cover 1,15,20,No,No,No,91,20,No,,No,2,0.2198,272,0.05,,0.25,0.7,17,0.85,13.6,-9.1889,3,1,0.05,,,
4,Buffalo,Bills,,NE,AFC,AFC East,Closed,Closed,Cover 1,13,17,No,No,No,79,17,No,1,No,1,0.2152,192,0.1765,,0.3529,0.4706,15,0.8824,11.2941,-8.8099,2,1,0.0588,,,
10,Denver,Broncos,1,KC,AFC,AFC West,Open,Open,Cover 4,15,24,No,Yes,No,110,24,Yes,4,No,4,0.2182,299,0.0417,0.125,0.5417,0.2917,18,0.75,12.4583,-8.945,4,1,0.0417,,,
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2,17,22,Yes,Yes,Yes,103,22,No,1,No,2,0.2136,247,0.0455,0.0909,0.4091,0.4545,16,0.7273,11.2273,-8.4783,5,,,,,
31,Tennessee,Titans,1,HST,AFC,AFC South,Open,Open,Cover 6,16,11,No,Yes,No,50,11,No,2,No,1,0.22,223,,0.0909,0.1818,0.7273,10,0.9091,20.2727,-10.8801,1,,,,,
22,New England,Patriots,1,BUF,AFC,AFC East,Closed,Closed,Cover 1,16,24,No,No,No,107,24,No,2,No,6,0.2243,343,0.0417,0.0833,0.4167,0.4583,15,0.625,14.2917,-9.5105,4,,,,,
30,Tampa Bay,Buccaneers,1,NO,NFC,NFC South,Closed,Closed,Cover 3,16,17,No,Yes,Yes,74,17,No,,No,,0.2297,248,,0.0588,0.3529,0.5882,12,0.7059,14.5882,-9.3045,1,,,,,
17,Los Angeles,Rams,1,SEA,NFC,NFC West,Open,Open,Cover 2,13,17,Yes,Yes,Yes,76,17,No,2,No,4,0.2237,272,,0.1765,0.4118,0.4118,11,0.6471,16,-9.2349,4,,,,,
3,Baltimore,Ravens,1,CLV,AFC,AFC North,Open,Closed,Cover 1,14,21,No,No,Yes,99,21,No,2,No,3,0.2121,329,,0.0952,0.5714,0.3333,14,0.6667,15.6667,-9.3325,2,,,,,
12,Green Bay,Packers,1,CHI,NFC,NFC North,Open,Closed,Cover 3,15,17,Yes,No,No,78,17,No,,No,1,0.2179,272,0.0588,0.2353,0.2353,0.4706,14,0.8235,16,-9.5791,3,,,,,
20,Miami,Dolphins,,NYJ,AFC,AFC East,Closed,Closed,Cover 1,15,20,Yes,Yes,Yes,93,20,No,3,No,1,0.2151,237,0.15,0.1,0.2,0.55,16,0.8,11.85,-8.4564,3,,,,,
25,New York,Jets,1,MIA,AFC,AFC East,Closed,Closed,Cover 1,13,9,Yes,Yes,Yes,40,9,No,,No,1,0.225,139,0.1111,0.2222,0.1111,0.5556,7,0.7778,15.4444,-9.415,2,,,,,
18,Los Angeles,Chargers,,LV,AFC,AFC West,Open,Open,Cover 2,16,22,No,No,No,95,22,Yes,1,No,5,0.2316,301,0.0909,0.0455,0.4545,0.4091,20,0.9091,13.6818,-9.1958,4,1,0.0455,,,
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Closed,Closed,Cover 1,17,21,No,No,No,95,21,No,1,No,2,0.2211,271,0.0952,0.1429,0.2381,0.5238,15,0.7143,12.9048,-8.9435,4,1,0.0476,,,
13,Houston,Texans,,TEN,AFC,AFC South,Open,Open,Cover 6,15,29,No,Yes,No,133,29,No,1,No,2,0.218,451,0.0345,0.069,0.4138,0.4828,23,0.7931,15.5517,-9.8172,3,1,0.0345,,,
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 6,15,20,No,No,Yes,82,20,No,1,No,1,0.2439,225,,0.05,0.45,0.5,18,0.9,11.25,-8.5906,2,2,0.1,,,
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Closed,Cover 3,14,16,No,Yes,Yes,75,16,No,1,No,1,0.2133,231,,,0.4375,0.5625,9,0.5625,14.4375,-9.6721,1,,,,,
11,Detroit,Lions,1,MIN,NFC,NFC North,Open,Open,Cover 6,17,32,No,No,Yes,132,32,No,,No,6,0.2424,424,0.0625,0.0312,0.3438,0.5625,25,0.7812,13.25,-9.1749,7,,,,,
19,Las Vegas,Raiders,1,LAC,AFC,AFC West,Open,Open,Cover 2,15,13,No,No,No,51,13,Yes,1,No,1,0.2549,98,0.0769,,0.5385,0.3846,10,0.7692,7.5385,-7.5111,1,2,0.1538,,,
9,Dallas,Cowboys,,PHI,NFC,NFC East,Open,Open,Cover 4,12,12,No,No,No,50,12,No,1,No,2,0.24,183,0.0833,0.1667,0.25,0.5,6,0.5,15.25,-9.4511,3,1,0.0833,,,4.9
