teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam
15,Jacksonville,Jaguars,IND,AFC,AFC South,Open,Closed,Cover 1,17,275,No,Yes,No,1253,275,Yes,29,Yes,224,0.8145,15,0.2195,196,14,2,0.7127,2387,974,273,2209,14,7,12,15,0.0765,0.0655,0.1636,0.3273,0.44,208,0.7564,2,0.0073,8.0327,108.6,1.905,8.68,1.0704,0.0436,12.1786,4.9694,1.3929,136,35,
10,Denver,Broncos,KC,AFC,AFC West,Closed,Closed,Cover 3,17,256,Yes,No,No,1119,257,No,27,Yes,205,0.7977,11,0.2297,184,16,4,0.716,1947,816,262,1764,9,6,12,17,0.0924,0.0584,0.1323,0.4241,0.3774,198,0.7704,4,0.0156,6.8638,95.3,1.7399,7.5759,0.349,0.0467,10.5815,4.4348,1.4239,103,31,1
18,Los Angeles,Chargers,LV,AFC,AFC West,Closed,Closed,Cover 1,17,239,No,No,No,1090,239,No,30,Yes,200,0.8368,8,0.2193,169,15,5,0.7071,1898,755,300,1773,10,4,15,16,0.0947,0.0962,0.1381,0.3305,0.4351,191,0.7992,3,0.0126,7.4184,97.6,1.7413,7.9414,0.5581,0.0628,11.2308,4.4675,1.7751,96,28,
25,New York,Jets,MIA,AFC,AFC East,Open,Open,Cover 4,17,230,No,No,No,1036,230,No,32,Yes,191,0.8304,15,0.222,161,15,2,0.7,1860,675,252,1861,9,6,14,18,0.1118,0.0522,0.1478,0.3652,0.4348,180,0.7826,3,0.013,8.0913,107.2,1.7954,8.087,0.536,0.0609,11.5528,4.1925,1.5652,99,31,1
12,Green Bay,Packers,CHI,NFC,NFC North,Closed,Closed,Prevent,17,211,No,No,No,964,211,No,19,Yes,163,0.7725,9,0.2189,144,10,3,0.6825,1597,576,180,1711,6,4,9,13,0.0903,0.0948,0.1137,0.3507,0.4408,154,0.7299,3,0.0142,8.109,94,1.6566,7.5687,-0.027,0.0427,11.0903,4,1.25,89,21,1
3,Baltimore,Ravens,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,249,No,No,No,1117,249,No,36,Yes,193,0.7751,17,0.2229,161,22,5,0.6466,2000,770,207,2110,11,4,18,16,0.0994,0.0723,0.1245,0.3494,0.4498,190,0.7631,8,0.0321,8.4739,90.8,1.7905,8.0321,0.3014,0.0723,12.4224,4.7826,1.2857,106,32,1
20,Miami,Dolphins,NYJ,AFC,AFC East,Open,Open,Cover 4,17,224,No,No,No,978,224,No,20,Yes,179,0.7991,15,0.229,157,9,6,0.7009,1696,679,280,1597,11,7,13,17,0.1083,0.0491,0.1562,0.3795,0.4152,163,0.7277,7,0.0312,7.1295,101,1.7342,7.5714,0.2616,0.058,10.8025,4.3248,1.7834,97,39,
9,Dallas,Cowboys,WAS,NFC,NFC East,Open,Open,Cover 4,17,236,No,No,Yes,1034,236,No,22,Yes,198,0.839,7,0.2282,169,8,1,0.7161,1997,839,310,1897,11,7,19,20,0.1183,0.0636,0.1356,0.3136,0.4873,191,0.8093,4,0.0169,8.0381,105.5,1.9313,8.4619,0.8864,0.0805,11.8166,4.9645,1.8343,102,29,1
19,Las Vegas,Raiders,LAC,AFC,AFC West,Closed,Closed,Cover 1,17,216,No,No,No,929,216,No,27,Yes,181,0.838,15,0.2325,151,10,4,0.6991,1792,647,273,1799,13,10,13,18,0.1192,0.088,0.1019,0.3843,0.4259,148,0.6852,6,0.0278,8.3287,111.1,1.929,8.2963,0.6405,0.0602,11.8675,4.2848,1.8079,102,33,1
21,Minnesota,Vikings,DET,NFC,NFC North,Open,Open,Cover 0,17,250,No,Yes,Yes,1074,250,No,28,No,201,0.804,12,0.2328,171,17,7,0.684,1816,641,261,2067,11,6,16,18,0.1053,0.068,0.136,0.34,0.456,199,0.796,5,0.02,8.268,90.7,1.6909,7.264,-0.3857,0.064,10.6199,3.7485,1.5263,108,38,
