teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingReceptionsContested
16,Kansas City,Chiefs,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,34,Yes,No,No,74,34,No,Yes,33,0.9706,0.4595,32,0.9412,234,351,97,-122,1,1,7,0.2188,0.3235,0.0882,0.4412,0.1471,34,1,34,1,-3.5882,105.1,3.1622,6.8824,1.6735,0.0294,7.3125,10.9688,3.0312,9,9,,,
21,Minnesota,Vikings,DET,NFC,NFC North,Open,Open,Cover 0,17,49,No,No,Yes,105,49,No,Yes,46,0.9388,0.4667,42,0.8571,275,398,132,-155,2,3,7,0.1667,0.2857,0.0408,0.1633,0.5102,49,1,49,1,-3.1633,95.2,2.619,5.6122,0.4569,0.0612,6.5476,9.4762,3.1429,12,7,,,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Open,Cover 2,17,35,Yes,No,No,81,35,No,Yes,31,0.8857,0.4321,30,0.8571,166,275,62,-127,,1,7,0.2333,0.4857,0.0286,0.1714,0.3143,35,1,35,1,-3.6286,74.5,2.0494,4.7429,-0.5126,0.0286,5.5333,9.1667,2.0667,8,6,1,,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 2,17,36,No,No,No,83,36,No,Yes,34,0.9444,0.4337,34,0.9444,224,334,75,-126,2,,9,0.2647,0.3611,0.0556,0.2778,0.3056,36,1,36,1,-3.5,111.1,2.6988,6.2222,1.0378,,6.5882,9.8235,2.2059,10,9,1,,
4,Buffalo,Bills,NE,AFC,AFC East,Open,Closed,Cover 3,17,61,Yes,No,No,121,61,No,Yes,58,0.9508,0.5041,53,0.8689,353,507,135,-178,2,4,16,0.3019,0.3443,0.2131,0.2295,0.2131,61,1,61,1,-2.918,94.9,2.9174,5.7869,0.2639,0.0656,6.6604,9.566,2.5472,19,11,,,
6,Chicago,Bears,GB,NFC,NFC North,Closed,Open,Cover 2,17,44,No,No,No,78,44,No,Yes,42,0.9545,0.5641,42,0.9545,375,522,111,-151,1,,6,0.1429,0.3409,0.1364,0.3636,0.1591,44,1,44,1,-3.4318,109.8,4.8077,8.5227,3.2202,,8.9286,12.4286,2.6429,14,7,,,
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Open,Cover 6,17,47,No,No,No,98,47,No,Yes,46,0.9787,0.4796,44,0.9362,405,535,112,-136,,2,6,0.1364,0.1915,0.1489,0.2128,0.4468,47,1,47,1,-2.8936,102.6,4.1327,8.617,3.2787,0.0426,9.2045,12.1591,2.5455,16,7,,,
24,New York,Giants,PHI,NFC,NFC East,Closed,Closed,Cover 1,17,41,Yes,No,No,85,41,No,Yes,40,0.9756,0.4824,39,0.9512,304,425,112,-132,1,1,3,0.0769,0.3415,0.0488,0.2439,0.3659,41,1,41,1,-3.2195,105.7,3.5765,7.4146,1.9116,0.0244,7.7949,10.8974,2.8718,17,6,,,
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 2,17,49,No,No,No,111,49,No,Yes,49,1,0.4414,48,0.9796,293,435,128,-148,2,1,11,0.2292,0.4082,0.102,0.2245,0.2653,49,1,49,1,-3.0204,105.2,2.6396,5.9796,0.4843,0.0204,6.1042,9.0625,2.6667,12,11,,1,1
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Open,Cover 6,17,45,No,No,No,78,45,No,Yes,44,0.9778,0.5769,44,0.9778,254,431,125,-185,2,,7,0.1591,0.3556,0.0444,0.2222,0.3778,45,1,45,1,-4.1111,105,3.2564,5.6444,0.6755,,5.7727,9.7955,2.8409,12,11,1,2,2
