teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsFirstDownsPassing,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone
8,Cleveland,Browns,1,BLT,AFC,AFC North,Closed,Closed,Cover 3,1,1,No,No,No,2,1,No,Yes,1,1,0.5,1,1,1,4,5,-3,2,2,1,1,1,1,1,-3,79.2,0.5,1,-4.8652,1,4,5,1,,,,,,
12,Green Bay,Packers,1,CHI,NFC,NFC North,Closed,Closed,Cover 3,4,3,No,Yes,No,15,3,No,Yes,3,1,0.2,3,1,26,16,6,10,1,0.3333,0.3333,,,,,3.3333,102.8,1.7333,8.6667,1.8504,8.6667,5.3333,2,,0.6667,,,,,
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Open,Open,Red Zone,1,1,No,Yes,No,5,1,No,Yes,1,1,0.2,1,1,10,4,,6,,,,,,,,6,108.3,2,10,3.0509,10,4,,1,1,1,,,,
24,New York,Giants,1,DAL,NFC,NFC East,Open,Open,Cover 6,1,1,Yes,Yes,No,4,1,No,Yes,1,1,0.25,1,1,6,10,2,-4,,,1,,,,,-4,91.7,1.5,6,-0.3364,6,10,2,,,1,,,,
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Red Zone,3,2,No,Yes,No,5,2,No,Yes,1,0.5,0.4,1,0.5,3,8,,-5,,,,1,0.5,1,0.5,-2.5,56.3,0.6,1.5,-0.6867,3,8,,,,,0.5,,,
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 2,3,2,Yes,Yes,No,10,2,No,Yes,2,1,0.2,2,1,8,3,,8,,,,,,,,4,122.9,0.8,4,-2.6719,4,1.5,,1,0.5,1,0.5,1,1,1
18,Los Angeles,Chargers,1,DEN,AFC,AFC West,Closed,Closed,Cover 1,4,1,No,No,Yes,3,1,No,Yes,1,1,0.3333,1,1,,2,,-2,,,1,,,,,-2,79.2,,,-4.8511,,2,,,,,,,,
29,San Francisco,49ers,1,LA,NFC,NFC West,Closed,Closed,Cover 3,3,2,No,Yes,No,9,2,No,No,1,0.5,0.2222,1,0.5,1,4,2,2,,,0.5,1,0.5,1,0.5,1,56.3,0.1111,0.5,-5.6726,1,4,2,,0.5,,,,,
21,Minnesota,Vikings,1,CHI,NFC,NFC North,Open,Open,Cover 0,2,1,No,Yes,Yes,5,1,No,No,1,1,0.2,1,1,6,5,1,1,,,,,,,,1,91.7,1.2,6,0.2706,6,5,1,,,,1,,,
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Closed,Cover 3,2,1,No,Yes,No,5,1,No,Yes,,,0.2,,,,,,,,,,,,,,,39.6,,,-5.8271,,,,1,,,1,,,
