teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingAlignmentInlineTargetsPercentage
19,Las Vegas,Raiders,1,LAC,AFC,AFC West,Open,Closed,Cover 3,16,21,No,No,No,97,21,No,Yes,21,1,0.2165,20,0.9524,157,239,45,-87,2,1,6,0.3,0.9048,0.0952,2,0.0952,-4.1429,129.6,1.6186,7.4762,1.9633,0.0476,7.85,11.95,2.25,6,3,,,,,,,
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Open,Open,Cover 2,17,21,No,No,No,77,21,No,Yes,20,0.9524,0.2727,20,0.9524,97,193,65,-98,1,,9,0.45,0.6667,0.2857,8,0.381,-4.6667,101.8,1.2597,4.619,-0.4024,,4.85,9.65,3.25,5,6,0.0476,7,0.3333,,,,
32,Washington,Commanders,,DAL,NFC,NFC East,Closed,Open,Cover 0,13,10,No,No,Yes,33,10,No,Yes,10,1,0.303,10,1,45,96,15,-51,,,1,0.1,0.8,0.1,5,0.5,-5.1,85.4,1.3636,4.5,-0.6325,,4.5,9.6,1.5,2,1,0.1,4,0.4,,,,
8,Cleveland,Browns,1,MIA,AFC,AFC East,Open,Closed,Cover 3,15,16,No,No,No,64,16,No,Yes,16,1,0.25,15,0.9375,71,134,24,-69,,1,2,0.1333,0.8125,0.125,7,0.4375,-4.3125,85.2,1.1094,4.4375,-1.0141,0.0625,4.7333,8.9333,1.6,4,,0.0625,5,0.3125,,,,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Open,Cover 6,16,19,No,Yes,No,73,19,Yes,Yes,18,0.9474,0.2603,17,0.8947,131,199,76,-73,,,7,0.4118,0.7895,0.1579,8,0.4211,-3.8421,95.4,1.7945,6.8947,1.4514,,7.7059,11.7059,4.4706,3,2,0.0526,5,0.2632,2,1,,
26,Philadelphia,Eagles,1,NYG,NFC,NFC East,Open,Closed,Cover 3,15,23,Yes,Yes,Yes,90,23,No,Yes,23,1,0.2556,22,0.9565,174,255,106,-86,,1,10,0.4545,0.6087,0.3043,13,0.5652,-3.7391,98.2,1.9333,7.5652,2.2842,0.0435,7.9091,11.5909,4.8182,7,3,0.0435,6,0.2609,,,,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Closed,Cover 1,16,27,No,No,No,110,27,No,Yes,24,0.8889,0.2455,23,0.8519,71,177,38,-109,,1,3,0.1304,0.7407,0.2222,13,0.4815,-4.037,79.2,0.6455,2.6296,-2.4309,0.037,3.087,7.6957,1.6522,2,2,0.037,6,0.2222,,,,
27,Pittsburgh,Steelers,1,CIN,AFC,AFC North,Open,Open,Cover 6,14,20,No,Yes,No,90,20,Yes,Yes,18,0.9,0.2222,16,0.8,53,114,46,-69,1,1,6,0.375,0.9,0.1,6,0.3,-3.45,95.8,0.5889,2.65,-2.9721,0.05,3.3125,7.125,2.875,2,5,,2,0.1,,,,
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Open,Cover 4,14,20,No,No,No,83,20,No,No,17,0.85,0.241,17,0.85,118,180,66,-74,,,6,0.3529,0.95,,9,0.45,-3.7,70.4,1.4217,5.9,0.6315,,6.9412,10.5882,3.8824,5,2,0.05,3,0.15,1,1,,
4,Buffalo,Bills,1,NYJ,AFC,AFC East,Open,Open,Cover 4,15,23,No,No,No,96,23,No,Yes,19,0.8261,0.2396,18,0.7826,122,173,35,-60,,1,2,0.1111,0.7826,0.1739,6,0.2609,-2.6087,88.8,1.2708,5.3043,-0.2858,0.0435,6.7778,9.6111,1.9444,8,1,0.0435,5,0.2174,,,,
