Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,InterceptionsTotal,TowThrowPercentage,HeroThrowPercentage,TargetedReadCheckdownPercentage,AttemptsInEndzoneTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,AverageTimeToSack,RunPassOptionPercentage,ScramblesTouchdowns
Anthony Richardson,IND,QB,15,15,2,0.7692,8,0.6154,0.8182,0.1876,15,2,10,0.0769,194,14.9231,0.5876,16.4615,142,1,2,18,Yes,No,5,0.3333,5.8864,-0.0591,No,0.0769,3,0.2308,0.6923,0.3846,3.2,4.4,2.86,12.9091,131.1,No,Yes,7,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,15.5,15.5,11,,,,,,,,,,,,,,
Daniel Jones,NYG,QB,22,21,1,0.6,12,0.6,0.8,0.0233,21,2,,,104,5.2,0.3942,1.7,115,1,1,3,Yes,No,11,0.5238,8.918,0.0991,Yes,0.1,2,0.1,0.5,0.3,3.16,4.1,3.0364,6.7647,50.8,No,No,5,6.46,6.46,6.46,6.46,6.46,6.46,6.46,4.46,4.46,4.46,4.46,7.5,5.5,10,1,2,0.15,0.05,0.1,,,,,,,,,
Joe Flacco,IND,QB,5,4,4,1,4,1,1,0.2827,4,,,,43,10.75,0.3023,10.75,30,,,,No,No,,,1.6732,-0.4183,No,,,,0.75,0.75,3,,,7.5,111.5,No,No,2,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,2.15,2.15,8,,,,,,,,,,,,,,
Jacoby Brissett,NE,QB,4,4,4,0.25,1,0.25,0.25,-0.3312,4,,,,8,2,,2,74,,,,No,No,,,1.8975,-0.4744,No,0.75,1,0.25,0.75,0.25,3.325,,,18.5,39.6,No,No,1,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,8,,,,,,1,,,,,,,,
C.J. Stroud,HST,QB,26,24,2,0.8182,17,0.7727,0.8571,0.112,24,1,-6,0.0455,166,7.5455,0.3434,9.1364,169,4,2,10,No,No,7,0.2917,11.3244,-0.1802,No,0.1364,3,0.1364,0.6364,0.6818,3.5591,4.2,3,8.0476,118.6,No,No,10,22.64,22.64,22.64,22.64,22.64,22.64,22.64,21.64,21.64,21.64,21.64,24.3,23.3,17,,1,0.0455,0.0909,0.0909,4,,,,,,,,
Jared Goff,DET,QB,38,35,4,0.8333,24,0.8,0.9615,0.1469,35,4,2,0.0333,280,9.3333,0.6214,9.5484,103,1,4,25,Yes,Yes,8,0.2286,11.3346,-0.0953,No,0.0333,2,0.0667,0.6667,0.4667,2.7653,4.225,3.6625,3.9615,116.7,No,No,16,24.4,25.4,24.9,25.4,25.4,25.4,24.9,25.4,25.4,25.4,24.9,28.2,28.2,17,,,,0.0333,0.1,1,1,1,0.125,-4,0.0286,5.8,,
Kyler Murray,ARZ,QB,35,35,5,0.7667,20,0.6667,0.6897,0.0056,35,1,,,303,10.1,0.4191,9.2667,341,1,5,17,Yes,No,14,0.4,13.7737,0.0065,Yes,0.2,4,0.1333,0.8,0.6,3.2367,5.3,2.9786,11.7586,96.9,No,Yes,14,16.82,16.82,16.82,16.82,16.82,19.82,19.82,15.82,15.82,15.82,15.82,19.85,18.85,17,,1,0.0333,0.1,0.0667,3,,,,,,,,
Tanner McKee,PHI,QB,5,5,5,0.6,1,0.2,0.4,-0.3583,5,,6,0.2,16,3.2,0.3125,3.2,33,,,,Yes,Yes,3,0.6,2.057,0.1886,No,0.4,,,0.8,0.4,2.96,,2.4,6.6,40.4,Yes,Yes,1,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,2,,,,,,,,,,,,,,
Josh Johnson,BLT,QB,1,1,1,1,1,1,1,0.1052,1,,,,1,1,1,1,,,,,No,No,1,1,0.3321,0.668,No,,,,,,2.5,,2.1,,79.2,No,No,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,6,,,,,,,,,,,,,,
Tua Tagovailoa,MIA,QB,2,2,2,1,2,1,1,0.082,2,,,,5,2.5,1.6,2.5,-3,,,,No,No,,,0.5778,-0.2889,No,,,,1,1,2.25,,,-1.5,79.2,No,No,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,11,,,,,,,,,,,,,,
