Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,TouchdownsTotal,PressuredTotal,PressuredPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadCheckdownPercentage,AverageTimeToPressure,HeroThrowPercentage
Joshua Dobbs,SF,QB,16,16,16,0.75,11,0.6875,0.6875,-0.1415,16,73,4.5625,0.5479,1.75,50,1,No,No,2.4838,-0.1552,No,0.0625,0.25,0.75,0.5,1.475,3.125,52.3,No,Yes,5,1.92,1.92,1.92,1.92,1.92,1.92,1.92,0.92,0.92,0.92,0.92,2.65,1.65,2,,,,,,,,,,,,,,
Kirk Cousins,ATL,QB,147,147,147,0.8163,110,0.7483,0.8248,0.0108,147,930,6.3265,0.7247,6.5306,463,2,No,No,44.4988,-0.0918,Yes,0.0204,0.0952,0.6667,0.619,2.3299,3.3551,98.7,Yes,Yes,49,59.2,59.2,59.2,59.2,59.2,62.2,62.2,57.2,57.2,57.2,57.2,68.5,66.5,14,6,5,4,17,0.0204,6,31,0.2109,1,0.0068,0.0408,0.1361,2.4226,
Mac Jones,JAX,QB,76,76,76,0.7632,53,0.6974,0.7808,-0.0483,76,410,5.3947,0.7732,5.3289,200,1,No,Yes,23.2348,-0.1215,No,0.0526,0.1974,0.7368,0.5921,2.3474,2.7397,86,No,Yes,21,23.4,23.4,23.4,23.4,23.4,26.4,26.4,22.4,22.4,22.4,22.4,27.5,26.5,10,4,2,1,6,0.0526,2,14,0.1842,,,0.0263,0.0921,2.25,0.0132
Jimmy Garoppolo,LA,QB,18,18,18,0.7222,12,0.6667,0.6667,-0.193,18,131,7.2778,1.1527,7.2778,8,,No,No,6.5461,0.0252,No,0.0556,0.2778,0.6667,0.6111,2.6833,0.4444,88,No,No,7,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,6.55,6.55,1,,,,,,,7,0.3889,,,,0.2222,2.7,
Joe Burrow,CIN,QB,206,206,206,0.8786,159,0.7718,0.8731,0.0714,206,1223,5.9369,0.5683,6.5922,833,1,No,No,60.3638,-0.128,No,0.0243,0.0728,0.6893,0.6117,2.2738,4.2284,103.7,No,Yes,74,83.92,83.92,83.92,83.92,83.92,86.92,86.92,82.92,82.92,82.92,82.92,96.15,95.15,17,14,4,5,52,0.0631,9,34,0.165,,,0.0049,0.0922,2.4059,0.0194
Anthony Richardson,IND,QB,76,76,76,0.6711,43,0.5658,0.6667,-0.1186,76,389,5.1184,0.6504,3.6053,356,3,No,No,23.7868,-0.1025,No,0.0789,0.25,0.75,0.4474,2.3895,5.2113,58.5,No,Yes,17,16.56,16.56,16.56,16.56,16.56,19.56,19.56,13.56,13.56,13.56,13.56,20.45,17.45,11,2,2,3,21,0.0395,1,16,0.2105,,,0.0658,0.0263,2.4625,
Russell Wilson,PIT,QB,119,119,119,0.7479,78,0.6555,0.8317,0.0053,119,667,5.605,0.6957,5.9412,291,,No,Yes,39.4794,-0.046,No,0.0252,0.0924,0.5714,0.521,2.4983,2.8252,85.7,No,Yes,32,34.68,34.68,34.68,34.68,34.68,37.68,37.68,34.68,34.68,34.68,34.68,41.35,41.35,11,6,13,3,15,0.0504,2,34,0.2857,1,0.0084,0.0084,0.1345,2.6471,
Bo Nix,DEN,QB,174,174,174,0.8276,132,0.7586,0.8313,-0.0014,174,1041,5.9828,0.8434,6.5575,375,,No,No,52.2739,-0.174,Yes,0.1552,0.1207,0.6782,0.5862,2.3167,2.259,99.8,No,No,47,61.64,61.64,61.64,61.64,61.64,64.64,64.64,61.64,61.64,61.64,61.64,72.05,72.05,17,7,2,6,3,0.0345,5,22,0.1264,1,0.0057,0.0057,0.1207,2.3545,
Bailey Zappe,CLV,QB,8,8,8,0.75,6,0.75,0.75,0.0022,8,65,8.125,0.2769,10.625,55,,No,No,3.1221,-0.0153,Yes,,0.25,0.625,0.625,2.8375,6.875,138,No,Yes,4,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,7.25,7.25,1,,,,,,1,3,0.375,,,,0.125,3,
Trevor Lawrence,JAX,QB,90,90,90,0.7778,58,0.6444,0.75,-0.0483,90,419,4.6556,0.6277,5.1,369,,Yes,No,29.919,-0.0991,Yes,0.0444,0.1556,0.7222,0.4778,2.5022,4.3929,82.6,No,Yes,23,24.76,24.76,24.76,24.76,24.76,27.76,27.76,24.76,24.76,24.76,24.76,28.95,28.95,10,6,5,1,52,0.0556,2,21,0.2333,1,0.0111,,0.1,2.5619,0.0111
