Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,OpportunitiesTotal,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredOverExpected,BlitzedLabel,AverageTimeToScramble,AverageTimeToPressure,AttemptsTotal,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,ScramblesTouchdowns,RunPassOptionPercentage
Bailey Zappe,CLV,QB,1,1,1,1,3,Yes,Yes,1,1,1,No,5.1,3.1,1,No,No,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,,
Jared Goff,DET,QB,14,14,14,14,69,No,No,9,0.6429,0.6429,No,4.6286,2.8444,14,No,No,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,17,,
Kyler Murray,ARZ,QB,41,41,41,41,357,Yes,No,37,0.9024,0.9024,No,5.3659,2.8351,41,No,No,41.7,41.7,41.7,41.7,41.7,44.7,44.7,41.7,41.7,41.7,41.7,41.7,41.7,17,1,
C.J. Stroud,HST,QB,38,37,37,37,253,No,No,32,0.8649,0.8649,No,5.0946,2.9625,37,No,No,25.3,25.3,25.3,25.3,25.3,28.3,28.3,25.3,25.3,25.3,25.3,25.3,25.3,17,,
Daniel Jones,NYG,QB,15,15,15,15,80,Yes,No,13,0.8667,0.8667,Yes,5.0333,2.7154,15,No,No,8,8,8,8,8,8,8,8,8,8,8,8,8,10,,
Joe Flacco,IND,QB,3,3,3,3,26,No,No,2,0.6667,0.6667,No,4.6333,3.45,3,No,No,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,8,,
Jacoby Brissett,NE,QB,9,9,9,9,65,No,No,8,0.8889,0.8889,No,4.8778,2.5,9,No,No,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,8,,
Justin Fields,PIT,QB,19,19,19,19,113,No,No,15,0.7895,0.7895,No,4.3579,2.5667,19,No,No,29.3,29.3,29.3,29.3,29.3,32.3,32.3,29.3,29.3,29.3,29.3,29.3,29.3,10,3,
Brock Purdy,SF,QB,44,44,44,44,300,No,Yes,34,0.7727,0.7727,No,4.7591,2.6412,44,No,No,42,42,42,42,42,45,45,42,42,42,42,42,42,15,2,
Caleb Williams,CHI,QB,50,50,50,50,391,No,Yes,39,0.78,0.78,No,5.34,2.8359,50,No,No,39.1,39.1,39.1,39.1,39.1,42.1,42.1,39.1,39.1,39.1,39.1,39.1,39.1,17,,
Tua Tagovailoa,MIA,QB,7,7,7,7,57,No,No,5,0.7143,0.7143,No,4.4,2.74,7,No,No,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,11,,
