Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,TouchdownsTotal,ScramblesTouchdowns,RunPassOptionPercentage
Jacoby Brissett,NE,QB,82,82,8,0.5179,5,25,0.4464,0.6279,-0.057,82,9,15,0.0357,297,5.3036,0.4545,1.7973,474,1,18,1,0.2195,-119,0.2195,8,60,No,No,82,1,26.6851,0.6746,No,0.2679,10,0.1786,0.0357,0.0357,0.4107,0.125,0.3393,3.3375,3.7667,4.8375,2.4524,10.4681,53.9,No,No,14,15.88,15.88,15.88,15.88,15.88,15.88,14.88,13.88,13.88,13.88,13.88,18.85,16.85,8,,,,
Russell Wilson,PIT,QB,141,141,16,0.4409,9,38,0.4086,0.6094,-0.1148,141,26,-1,0.0108,486,5.2258,0.4733,2.104,577,2,32,6,0.227,-213,0.227,16,126,No,Yes,141,1,48.3721,0.6569,No,0.2473,10,0.1075,0.0323,0.0538,0.1828,0.2258,0.3118,3.5903,3.5938,4.3125,2.5695,8.7424,63.3,No,No,23,49.04,49.04,49.04,49.04,49.04,55.04,52.04,44.04,44.04,44.04,44.04,53.9,48.9,11,1,4,1,
Daniel Jones,NYG,QB,137,136,13,0.5213,5,39,0.4149,0.6164,-0.1051,136,16,60,0.0638,383,4.0745,0.4909,1.3089,684,2,29,6,0.2132,-172,0.2132,13,76,No,Yes,136,1,42.7184,0.6859,Yes,0.2234,11,0.117,0.0745,0.0106,0.4255,0.0851,0.2766,3.2096,3.4862,5.2,2.5051,9.0789,51.9,No,No,17,26.92,26.92,26.92,26.92,26.92,29.92,27.92,22.92,22.92,22.92,22.92,30.75,26.75,10,2,2,,0.0147
Joe Flacco,IND,QB,67,67,2,0.6042,4,20,0.4167,0.641,-0.0454,67,8,54,0.1042,202,4.2083,0.3614,-0.8308,415,4,17,5,0.2537,-116,0.2537,2,22,No,Yes,67,1,21.2859,0.6823,No,0.2083,7,0.1458,0.0625,,0.4167,0.1458,0.3333,3.1458,3.3353,5.45,2.5463,10.641,33.5,Yes,Yes,8,12.28,12.28,12.28,12.28,12.28,12.28,10.28,6.28,6.28,6.28,6.28,14.3,8.3,8,1,2,,0.0149
Jimmy Garoppolo,LA,QB,20,20,1,0.6875,,10,0.625,0.7333,-0.0367,20,,17,0.0625,173,10.8125,0.7225,8.3158,78,,3,,0.15,-15,0.15,1,5,Yes,Yes,20,1,5.6923,0.7154,Yes,0.25,2,0.125,,0.0625,0.375,0.3125,0.5625,2.6375,3,4,2.39,5.2,99.2,No,No,8,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,9.15,9.15,1,1,,,0.1
C.J. Stroud,HST,QB,237,236,32,0.5132,9,65,0.4276,0.584,-0.0902,236,21,96,0.0526,819,5.3882,0.326,1.8431,1451,3,52,5,0.2203,-408,0.2203,32,218,Yes,Yes,236,1,79.6586,0.6625,No,0.3026,21,0.1382,0.0197,0.0724,0.2895,0.1382,0.2829,3.6132,3.5635,5.3,2.5347,11.1615,62.9,No,Yes,41,69.56,69.56,69.56,69.56,69.56,75.56,73.56,64.56,64.56,64.56,64.56,77.75,72.75,17,1,5,,0.0042
Kyler Murray,ARZ,QB,179,179,37,0.5982,5,63,0.5625,0.7191,0.0055,179,19,3,0.0089,625,5.5804,0.3904,2.1479,843,4,30,10,0.1676,-220,0.1676,37,321,Yes,Yes,179,1,59.2869,0.6688,No,0.1875,15,0.1339,0.0536,0.0625,0.3482,0.2232,0.375,3.6438,3.3367,5.5919,2.5078,9.2637,69.2,No,No,30,74.1,74.1,74.1,74.1,74.1,80.1,79.1,69.1,69.1,69.1,69.1,80.35,75.35,17,2,4,1,
Tanner McKee,PHI,QB,20,20,18,0.7778,1,11,0.6111,0.6667,-0.1012,20,,6,0.0556,104,5.7778,0.5,4.35,117,,2,1,0.1,-17,0.1,,,No,Yes,20,1,5.8216,0.7089,No,0.2222,1,0.0556,0.0556,,0.6111,0.1667,0.3889,2.45,2.95,,2.225,6.5,77.1,No,Yes,5,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,5.2,5.2,2,,,,
Jared Goff,DET,QB,157,156,9,0.6154,6,62,0.5299,0.6842,-0.0343,156,18,38,0.0256,715,6.1111,0.4098,3.2109,886,3,30,9,0.1923,-228,0.1923,9,46,Yes,Yes,156,1,52.2876,0.6648,No,0.188,11,0.094,0.0171,0.0256,0.453,0.1111,0.4017,3.1658,3.4267,4.9222,2.6481,9.3299,78.1,No,No,37,54.2,54.2,54.2,54.2,54.2,57.2,57.2,51.2,51.2,51.2,51.2,61.35,58.35,17,2,6,,
Josh Johnson,BLT,QB,2,2,1,1,,1,1,1,0.1052,2,,,,1,1,1,-2,,,1,,0.5,-5,0.5,,,No,No,2,1,0.3321,0.834,No,,,,,,,,,2.5,1.9,,1.75,,79.2,No,No,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,6,,,,
Gardner Minshew,LV,QB,114,114,7,0.557,5,33,0.4177,0.6,-0.1365,114,16,10,0.038,395,5,0.4709,1.7383,486,3,28,8,0.2456,-154,0.2456,7,38,No,Yes,114,1,36.5302,0.6796,Yes,0.2025,8,0.1013,0.0253,0.0127,0.3291,0.1266,0.2911,3.2557,3.5357,5.4143,2.4447,7.8387,58.8,No,No,19,30.6,30.6,30.6,30.6,30.6,33.6,31.6,25.6,25.6,25.6,25.6,34.55,29.55,10,1,4,,0.0088
Tua Tagovailoa,MIA,QB,100,100,5,0.7432,6,47,0.6351,0.7879,0.0354,100,7,32,0.0676,445,6.0135,0.3416,3.8526,470,1,21,7,0.21,-154,0.21,5,42,Yes,Yes,100,1,30.6955,0.693,Yes,0.1351,4,0.0541,0.0405,0.0135,0.4595,0.1757,0.4865,2.9797,3.4476,4.76,2.325,7.1212,101.5,No,Yes,31,43,43,43,43,43,46,44,40,40,40,40,47.45,44.45,11,1,6,,0.02
Caleb Williams,CHI,QB,227,227,39,0.4754,11,51,0.418,0.6552,-0.0171,227,31,49,0.0492,599,4.9098,0.3706,0.3032,1003,4,66,18,0.2907,-442,0.2907,39,270,No,Yes,227,1,73.1523,0.6777,Yes,0.2295,18,0.1475,0.0246,0.041,0.2705,0.082,0.2787,4.0511,3.6364,5.4077,2.6524,11.2697,54.6,No,No,35,61.96,61.96,61.96,61.96,61.96,67.96,66.96,56.96,56.96,56.96,56.96,67.95,62.95,17,2,4,,
Nick Mullens,MIN,QB,2,1,1,1,,1,1,1,0.453,1,,,,24,24,0.25,24,18,,,,,,,,,No,No,1,1,0.2631,0.7369,No,,,,,,1,,,2.1,,,2,18,118.8,No,No,1,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.2,1.2,4,,,,
Brock Purdy,SF,QB,183,182,34,0.6083,11,64,0.5333,0.697,0.0024,182,12,39,0.0417,739,6.1583,0.2896,3.7568,994,4,28,8,0.1538,-143,0.1538,34,229,No,Yes,182,1,59.7525,0.6717,Yes,0.2,14,0.1167,0.05,0.075,0.4,0.1083,0.3,3.4617,4.1964,5.2382,2.561,9.8137,77.7,No,No,39,81.46,81.46,81.46,81.46,81.46,87.46,86.46,76.46,76.46,76.46,76.46,88.85,83.85,15,6,7,1,
Justin Fields,PIT,QB,78,78,15,0.5957,1,21,0.4468,0.641,-0.0502,78,7,26,0.0851,251,5.3404,0.3745,2.0159,424,,16,7,0.2051,-124,0.2051,15,95,No,No,78,1,23.3861,0.7002,No,0.234,8,0.1702,0.0426,,0.3404,0.1702,0.3404,3.4596,3.5875,4.5733,2.6269,10.6,61.6,No,No,9,24.54,24.54,24.54,24.54,24.54,24.54,23.54,23.54,23.54,23.54,23.54,27.05,26.05,10,,,1,
Geno Smith,SEA,QB,198,197,17,0.5496,12,66,0.5038,0.6667,0.0002,197,18,18,0.0153,807,6.1603,0.3147,0.4333,1161,12,49,12,0.2487,-329,0.2487,17,162,Yes,Yes,197,1,63.4913,0.6777,No,0.2061,18,0.1374,0.084,0.0534,0.374,0.1374,0.3435,3.3847,3.302,4.6118,2.4883,11.2617,49.4,No,Yes,40,70.48,70.48,70.48,70.48,70.48,76.48,76.48,58.48,58.48,58.48,58.48,78.55,66.55,17,6,7,1,
