Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
C.J. Stroud,HST,QB,86,86,86,0.7442,5,52,0.6047,0.686,-0.0185,86,78,0.0814,581,6.7558,0.4148,5.8837,854,3,3,Yes,Yes,26,0.3023,37.6816,-0.1358,No,0.2558,13,0.1512,0.0349,0.0349,0.3837,3.1151,2.6462,9.9302,77.7,No,Yes,25,32.24,32.24,32.24,32.24,32.24,35.24,35.24,29.24,29.24,29.24,29.24,38.05,35.05,17,
Kirk Cousins,ATL,QB,72,72,72,0.8194,1,53,0.7361,0.7778,0.0478,72,19,0.0417,695,9.6528,0.3942,7.0833,581,2,5,No,No,18,0.25,29.0653,-0.1537,Yes,0.1528,4,0.0556,0.1111,0.0278,0.625,2.9153,2.6056,8.0694,84,No,No,30,30.8,30.8,30.8,30.8,30.8,33.8,33.8,25.8,25.8,25.8,25.8,37.75,32.75,14,
Mac Jones,JAX,QB,24,24,24,0.9167,2,20,0.8333,0.875,0.0793,24,16,0.0417,138,5.75,0.5,6.5833,114,1,,No,No,4,0.1667,9.0905,-0.2121,No,0.0833,1,0.0417,,,0.625,2.7708,2.525,4.75,104.5,Yes,Yes,8,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,10.9,10.9,10,
Russell Wilson,PIT,QB,33,33,33,0.8182,,25,0.7576,0.7879,0.0654,33,11,0.0303,320,9.697,0.4719,9.5455,319,2,1,No,No,9,0.2727,12.0789,-0.0933,No,0.1818,6,0.1818,0.0303,0.0606,0.6061,2.697,2.4667,9.6667,113.2,No,Yes,17,19.8,19.8,19.8,19.8,19.8,22.8,22.8,18.8,18.8,18.8,18.8,23,22,11,
Anthony Richardson,IND,QB,26,26,26,0.7692,1,14,0.5385,0.5769,-0.0918,26,14,0.0385,155,5.9615,0.5032,6.7308,260,1,,No,No,9,0.3462,11.997,-0.1153,No,0.2308,3,0.1154,0.0385,0.0385,0.5385,3.25,2.5,10,84.6,No,No,8,10.1,11.1,10.6,11.1,11.1,11.1,10.6,11.1,11.1,11.1,10.6,12.65,12.65,11,
Joshua Dobbs,SF,QB,13,13,13,0.7692,1,10,0.7692,0.7692,0.0006,13,,,100,7.6923,0.33,7.6923,75,,,No,No,2,0.1538,2.9539,-0.0734,No,0.2308,,,,,0.6923,1.8923,2.1,5.7692,98.2,No,No,5,4,4,4,4,4,4,4,4,4,4,4,5,5,2,
Joe Burrow,CIN,QB,95,95,95,0.8526,9,75,0.7895,0.8298,0.0646,95,19,0.0316,729,7.6737,0.4883,7.8316,599,3,1,Yes,Yes,26,0.2737,35.5985,-0.101,Yes,0.1368,4,0.0421,0.0105,0.0316,0.6105,2.7474,2.5808,6.3474,104.8,Yes,Yes,41,40.16,40.16,40.16,40.16,40.16,43.16,43.16,39.16,39.16,39.16,39.16,47.45,46.45,17,0.0105
Trevor Lawrence,JAX,QB,25,25,25,0.76,3,16,0.64,0.72,0.0168,25,18,0.08,217,8.68,0.3779,6.88,263,,1,Yes,No,3,0.12,10.078,-0.2831,No,0.24,2,0.08,0.04,,0.44,2.912,2.5667,10.52,74.9,No,No,10,7.68,7.68,7.68,7.68,7.68,7.68,7.68,6.68,6.68,6.68,6.68,9.85,8.85,10,
Jimmy Garoppolo,LA,QB,9,9,9,0.8889,1,5,0.5556,0.6667,-0.0522,9,17,0.1111,36,4,0.4167,6.2222,78,1,,No,No,4,0.4444,3.9027,0.0108,No,0.1111,,,,,0.7778,3.0889,2.725,8.6667,102.1,Yes,Yes,3,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.8,5.8,1,
Bo Nix,DEN,QB,78,78,78,0.8205,5,58,0.7436,0.7564,0.0075,78,50,0.0128,559,7.1667,0.5474,8.1282,620,6,1,No,No,13,0.1667,28.6254,-0.2003,No,0.141,9,0.1154,0.0385,0.0385,0.5897,2.7026,2.5154,7.9487,114.2,No,Yes,26,45.36,45.36,45.36,45.36,45.36,48.36,48.36,44.36,44.36,44.36,44.36,50.95,49.95,17,0.0256
