Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,TouchdownsTotal,InterceptionsTotal,TowThrowPercentage,HeroThrowPercentage,RunPassOptionPercentage
Jacoby Brissett,NE,QB,11,11,11,0.8182,8,0.7273,0.9,0.1989,11,10,0.0909,85,7.7273,0.2118,7.7273,88,No,No,10,0.9091,7.758,0.2038,No,0.1818,1,0.0909,0.5455,4.6636,2.63,8.7273,94.9,No,No,5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4.25,4.25,8,,,,,,
Joe Burrow,CIN,QB,41,41,41,0.7561,26,0.6341,0.7073,0.0776,41,47,0.0732,413,10.0732,0.3317,12.3902,536,No,Yes,39,0.9512,30.2258,0.214,Yes,0.2195,8,0.1951,0.439,4.8488,2.6487,13.0732,126.3,No,Yes,24,43.52,43.52,43.52,43.52,43.52,46.52,46.52,42.52,42.52,42.52,42.52,47.65,46.65,17,10,7,1,0.0244,0.1463,
Russell Wilson,PIT,QB,22,22,22,0.5909,11,0.5,0.5455,-0.1275,22,7,0.0455,140,6.3636,0.2143,5.2273,246,No,Yes,17,0.7727,14.6019,0.109,No,0.4091,2,0.0909,0.4545,4.4227,2.8471,11.1818,66.5,No,No,8,8.6,8.6,8.6,8.6,8.6,8.6,8.6,7.6,7.6,7.6,7.6,10,9,11,4,1,1,0.0455,,
Anthony Richardson,IND,QB,12,12,12,0.3333,3,0.25,0.3333,-0.2755,12,3,0.0833,27,2.25,0.0741,2.25,203,No,No,11,0.9167,8.0729,0.2439,No,0.6667,4,0.3333,0.0833,4.475,2.5182,16.9167,39.6,No,No,2,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,11,,,,,,
Kirk Cousins,ATL,QB,6,6,6,0.5,3,0.5,0.5,-0.0701,6,,,41,6.8333,0.0976,2.6667,95,No,No,4,0.6667,4.183,-0.0305,No,0.5,2,0.3333,0.3333,4.6167,2.575,15.8333,72.2,No,No,3,4.64,4.64,4.64,4.64,4.64,4.64,4.64,3.64,3.64,3.64,3.64,5.05,4.05,14,2,1,1,0.1667,,
Mac Jones,JAX,QB,14,14,14,0.7857,11,0.7857,0.7857,0.0508,14,,,139,9.9286,0.295,6.7143,112,No,Yes,14,1,9.5995,0.3143,No,0.2143,,,0.6429,4.55,2.4357,8,78.3,No,Yes,8,4.56,4.56,4.56,4.56,4.56,4.56,4.56,3.56,3.56,3.56,3.56,5.95,4.95,10,,,1,,,
Joshua Dobbs,SF,QB,1,1,1,,,,,-0.7119,1,,,,,,,8,No,Yes,1,1,1.0048,-0.0048,No,1,,,,6.4,3.3,8,39.6,No,No,,,,,,,,,,,,,,,2,,,,,,
Andy Dalton,CAR,QB,2,2,2,0.5,1,0.5,0.5,-0.1269,2,,,10,5,0.4,5,27,No,No,2,1,0.8711,0.5645,No,0.5,1,0.5,,3.1,2.3,13.5,64.6,No,No,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,6,,,,,,
Sam Darnold,MIN,QB,15,15,15,0.6667,7,0.4667,0.6429,-0.0272,15,14,0.1333,116,7.7333,0.1724,8.7333,174,No,Yes,12,0.8,13.0192,-0.0679,Yes,0.3333,3,0.2,0.5333,5.6067,3.0667,11.4667,85,No,No,6,15.64,15.64,15.64,15.64,15.64,15.64,15.64,14.64,14.64,14.64,14.64,16.8,15.8,17,4,3,1,0.1333,0.1333,
Jayden Daniels,WAS,QB,19,19,19,0.5789,8,0.4211,0.4211,-0.2106,19,,,152,8,0.2566,4.0526,292,No,No,12,0.6316,13.6402,-0.0863,No,0.4211,4,0.2105,0.1579,4.7368,2.775,15.3684,70.5,No,No,5,15.08,15.08,15.08,15.08,15.08,15.08,15.08,12.08,12.08,12.08,12.08,16.6,13.6,17,3,3,3,0.0526,0.1053,
Brandon Allen,SF,QB,1,1,1,,,,,-0.8948,1,,,,,,,,No,No,1,1,0.5046,0.4954,No,1,,,,3.5,3,,39.6,No,No,,,,,,,,,,,,,,,3,,,,,,
