Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsInEndzoneTotal,CompletionsOverExpected,OpportunitiesTotal,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsGamesPlayed,TargetedReadCheckdownPercentage,YardsAdjustedNetPercentage,InterceptionsTotal,RunPassOptionPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Tim Boyle,NYG,QB,3,3,3,1,-0.5625,3,50,Yes,No,1,0.3333,1.3066,-0.1022,No,1,1,0.3333,0.6667,0.6667,3.1,1.8,16.6667,39.6,No,No,3,,,,,,,,,,,,,,,,,
Jameis Winston,CLV,QB,4,4,4,,-0.7066,4,36,No,No,1,0.25,1.7767,-0.1942,Yes,1,,,0.25,0.75,3.15,2.9,9,39.6,No,No,12,,,,,,,,,,,,,,,,,
Skylar Thompson,MIA,QB,1,1,1,1,-0.6364,1,11,No,No,,,0.2113,-0.2113,No,1,,,1,1,1.8,,11,39.6,No,No,3,,,,,,,,,,,,,,,,,
Josh Allen,BUF,QB,11,11,11,,-0.7134,11,107,No,No,6,0.5455,4.7221,0.1162,No,1,1,0.0909,0.0909,0.3636,3.0636,2.3833,9.7273,39.6,No,No,17,0.0909,,,,,,,,,,,,,,,,
Jake Haener,NO,QB,2,2,2,,-0.687,2,21,No,No,2,1,1.3024,0.3488,No,1,,,,,4.35,3.9,10.5,39.6,No,No,8,0.5,,,,,,,,,,,,,,,,
Michael Penix,ATL,QB,1,1,1,,-0.819,1,5,No,No,,,0.2113,-0.2113,No,1,,,,1,1.8,,5,39.6,No,No,5,,,,,,,,,,,,,,,,,
Drew Lock,NYG,QB,9,9,9,,-0.7177,9,80,No,No,4,0.4444,3.6267,0.0415,No,1,2,0.2222,0.2222,0.6667,2.9111,2.4,8.8889,,No,No,7,0.1111,-5,1,0.1111,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Jalen Hurts,PHI,QB,8,8,8,2,-0.6547,8,103,Yes,No,1,0.125,2.8806,-0.2351,No,1,1,0.125,0.25,0.75,2.6625,3,12.875,,No,No,15,0.125,-5.625,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Cooper Rush,DAL,QB,10,10,10,2,-0.7072,10,95,No,No,2,0.2,2.803,-0.0803,No,1,1,0.1,0.1,0.7,2.2,2.65,9.5,39.6,No,No,12,,,,,,,,,,,,,,,,,
Malik Willis,GB,QB,1,1,1,,-0.827,1,3,No,No,,,0.1595,-0.1595,No,1,,,,1,1.5,,3,39.6,No,No,7,,,,,,,,,,,,,,,,,
Davis Mills,HST,QB,2,2,2,1,-0.7298,2,15,No,No,1,0.5,0.6296,0.1852,No,1,,,,0.5,2.4,1.7,7.5,39.6,No,No,4,,,,,,,,,,,,,,,,,
Desmond Ridder,LV,QB,3,3,3,,-0.781,3,12,No,No,1,0.3333,0.8236,0.0588,No,1,,,0.3333,0.6667,2.1667,2.6,5.6667,39.6,No,No,5,,,,,,,,,,,,,,,,,
